length(m),height(cm),condition,color_type,X1,X2,breed_category,pet_category
0.85,39.96,0.0,Tortie,13,9,1.0,Aother
0.74,29.89,2.0,Calico,13,9,1.0,Aother
0.82,11.71,1.0,Black,13,9,0.0,Aother
0.89,12.24,2.0,Buff,13,9,1.0,Aother
0.44,28.94,3.0,Brown,0,3,2.0,Aother
0.82,17.11,0.0,Red,0,7,1.0,Aother
0.69,38.72,1.0,Black,0,1,0.0,Aother
0.55,8.71,0.0,Blue,7,1,1.0,Aother
0.94,16.98,1.0,Blue,0,1,0.0,Aother
0.69,5.29,2.0,Orange,13,9,0.0,Aother
0.68,15.2,1.0,Brown Brindle,13,9,0.0,Aother
0.01,17.47,2.0,Sable,13,9,1.0,Aother
0.79,39.0,3.0,Blue Tabby,13,9,2.0,Aother
0.76,5.75,2.0,Calico,16,9,1.0,Aother
0.77,33.07,0.0,White,0,7,1.0,Aother
0.85,27.88,0.0,Red,0,7,1.0,Aother
0.52,14.79,0.0,Brown Brindle,0,7,1.0,Aother
0.55,19.55,0.0,Brown,0,1,1.0,Aother
0.22,44.32,1.0,White,0,1,0.0,Aother
0.45,7.67,2.0,White,0,3,0.0,category0
1.0,13.23,2.0,Blue,13,9,1.0,Aother
0.16,19.23,1.0,Blue Merle,0,1,0.0,Aother
0.39,42.85,1.0,Brown,0,7,0.0,Aother
0.22,49.45,1.0,Red,0,1,0.0,Aother
0.04,36.14,0.0,Blue,13,9,1.0,Aother
0.04,45.48,2.0,Tan,0,7,0.0,Aother
0.24,12.13,0.0,Black,0,1,1.0,Aother
0.2,7.66,2.0,Brown Tabby,16,9,0.0,Aother
0.92,11.19,1.0,Black,0,1,0.0,Aother
0.93,23.7,0.0,Tortie,0,1,1.0,Aother
0.12,36.22,0.0,Fawn,0,1,1.0,Aother
0.95,22.64,0.0,Fawn,0,7,1.0,Aother
0.86,15.19,0.0,Blue Tabby,0,1,1.0,Aother
0.78,40.91,0.0,White,0,1,1.0,Aother
0.66,47.04,0.0,Black,9,2,1.0,Aother
0.26,34.62,2.0,Seal Point,9,2,0.0,Aother
0.65,7.39,1.0,Black,0,1,0.0,Aother
0.37,35.59,0.0,Black,0,7,1.0,Aother
0.45,20.93,0.0,Brown Tabby,13,9,1.0,Aother
0.07,21.4,2.0,Brown Tabby,13,9,0.0,Aother
0.13,14.53,0.0,Black,0,1,1.0,Aother
0.22,34.88,1.0,Black,0,1,0.0,Aother
0.1,14.58,0.0,Brown Tabby,0,1,1.0,Aother
0.85,25.29,2.0,Orange Tabby,0,7,1.0,Aother
0.97,32.53,1.0,Black,13,9,0.0,Aother
0.17,14.94,2.0,Brown,13,9,1.0,Aother
0.17,48.52,3.0,Black,18,4,2.0,Aother
0.77,22.42,1.0,Gray,13,9,0.0,Aother
0.31,12.43,0.0,Brown Brindle,0,1,1.0,Aother
0.28,36.1,0.0,Tan,0,1,1.0,Aother
0.46,21.82,2.0,Brown Tabby,13,9,0.0,Aother
0.88,11.92,2.0,Calico,16,9,1.0,Aother
0.83,35.07,0.0,Black,0,7,1.0,Aother
0.44,29.18,1.0,Blue,0,7,0.0,Aother
0.18,47.06,3.0,Orange Tabby,18,4,2.0,Aother
0.36,18.31,1.0,Brown,0,1,0.0,Aother
0.73,5.0,2.0,White,13,9,0.0,Aother
0.38,31.92,0.0,Red,0,7,1.0,Aother
0.44,22.88,0.0,Blue,0,1,1.0,Aother
0.9,28.91,3.0,Brown Tabby,16,9,2.0,Aother
0.83,28.94,2.0,Brown,13,9,1.0,Aother
0.46,5.2,0.0,White,0,7,1.0,Aother
0.28,18.7,1.0,Black,7,1,0.0,Aother
0.37,30.51,2.0,Sable,13,9,1.0,Aother
0.57,20.7,2.0,Brown,13,9,0.0,Aother
0.38,37.82,2.0,Brown Tabby,13,9,0.0,Aother
0.81,10.29,1.0,Blue,0,1,0.0,Aother
0.29,49.69,1.0,Blue,0,1,0.0,Aother
0.6,44.12,2.0,Black,13,9,1.0,Aother
0.21,26.14,1.0,Black,7,1,0.0,Aother
0.38,15.62,0.0,Black,0,7,1.0,Aother
0.91,8.42,0.0,White,0,1,1.0,Aother
0.01,10.93,0.0,Tan,0,1,1.0,Aother
0.97,41.05,2.0,Black,13,9,0.0,Aother
0.38,10.98,3.0,Red,15,4,2.0,Aother
0.15,5.97,0.0,Blue,0,1,1.0,Aother
0.59,12.99,0.0,Fawn,0,1,1.0,Aother
0.1,10.6,2.0,Brown Tabby,9,2,0.0,Aother
0.53,33.19,0.0,Chocolate,0,1,1.0,Aother
0.44,39.98,0.0,Tricolor,13,9,1.0,Aother
0.67,47.9,2.0,Black,13,9,1.0,Aother
0.73,38.21,1.0,Red,7,1,0.0,Aother
0.64,49.48,1.0,Brown,0,1,0.0,Aother
0.82,40.53,0.0,Black,0,7,1.0,Aother
0.84,37.74,1.0,Black,0,1,0.0,Aother
0.85,10.11,1.0,White,13,9,0.0,Aother
0.18,19.68,0.0,White,0,1,1.0,Aother
0.09,36.91,1.0,Brown Brindle,0,1,0.0,Aother
0.58,18.16,2.0,Brown Tabby,13,9,0.0,Aother
0.03,14.87,1.0,Black,0,7,0.0,Aother
0.66,11.05,1.0,Black,0,8,0.0,Aother
0.91,40.98,0.0,Black,0,7,1.0,Aother
0.38,25.27,1.0,Orange Tabby,13,9,0.0,Aother
0.77,48.09,1.0,Brown Tabby,0,1,0.0,Aother
0.49,19.94,2.0,Tan,13,9,0.0,Aother
0.8,35.07,1.0,Brown,0,1,0.0,Aother
0.24,32.72,0.0,Brown Tabby,16,9,1.0,Aother
0.65,6.95,1.0,White,0,1,0.0,Aother
0.3,45.16,1.0,Black,7,1,0.0,Aother
0.92,41.37,1.0,Brown,0,1,0.0,Aother
0.48,26.07,1.0,Chocolate,0,7,0.0,Aother
0.47,47.02,0.0,Black,0,7,1.0,Aother
0.87,40.42,0.0,Brown Tabby,0,7,1.0,Aother
0.17,48.07,0.0,Calico,7,1,1.0,Aother
0.18,22.05,2.0,Brown Tabby,13,9,0.0,Aother
0.96,33.75,1.0,Black,0,1,0.0,Aother
0.73,16.76,2.0,Brown Tabby,0,1,0.0,Aother
0.18,38.41,0.0,Tan,0,7,1.0,Aother
0.93,18.6,1.0,Red,0,1,0.0,Aother
0.15,19.81,0.0,Tan,0,1,1.0,Aother
0.26,7.06,0.0,Brown,13,9,1.0,Aother
0.12,12.56,1.0,Black,0,7,0.0,Aother
0.72,43.23,1.0,Black Smoke,0,1,0.0,Aother
0.08,47.11,1.0,Black,0,7,0.0,Aother
0.06,21.71,1.0,Tan,13,9,0.0,Aother
0.52,13.33,0.0,Brown Tabby,0,7,1.0,Aother
0.45,12.48,1.0,Black,13,9,0.0,Aother
0.72,13.26,2.0,Red,0,1,1.0,category0
0.15,10.56,0.0,Brown Tabby,0,1,1.0,Aother
0.57,32.49,0.0,White,0,7,1.0,Aother
0.5,5.93,1.0,Tan,0,1,0.0,Aother
0.99,31.57,0.0,Torbie,0,1,1.0,Aother
0.0,22.2,0.0,Tan,0,7,1.0,Aother
0.55,29.0,2.0,Black,13,9,1.0,Aother
0.17,33.69,0.0,Tan,0,1,1.0,Aother
0.8,10.16,0.0,Black,0,7,1.0,Aother
0.83,8.5,0.0,Black,0,7,1.0,Aother
0.47,44.05,2.0,White,8,2,1.0,Aother
0.86,29.28,0.0,Brown,0,7,1.0,Aother
1.0,31.49,3.0,Brown Tabby,13,9,2.0,Aother
0.16,32.14,1.0,Tan,0,1,0.0,Aother
0.29,47.11,1.0,Brown Tabby,0,1,0.0,Aother
0.07,7.09,0.0,Black,16,9,1.0,Aother
0.77,27.82,1.0,Black,0,7,0.0,Aother
0.62,13.78,1.0,Blue,0,7,0.0,Aother
0.37,26.05,2.0,Brown Tabby,18,4,0.0,Aother
0.76,23.19,1.0,Black,7,1,0.0,Aother
0.4,46.39,1.0,Black,0,1,0.0,Aother
0.71,5.58,1.0,Tan,7,1,0.0,Aother
0.36,30.11,0.0,Brown,13,9,1.0,Aother
0.86,23.06,0.0,Black,7,1,1.0,Aother
0.66,44.63,0.0,Apricot,13,9,1.0,Aother
0.29,21.9,0.0,Brown Tabby,0,1,1.0,Aother
0.79,11.03,1.0,Black,13,9,0.0,Aother
0.26,38.19,1.0,Blue,13,9,0.0,Aother
0.31,10.36,0.0,Lynx Point,7,1,1.0,Aother
0.41,5.88,1.0,Tan,0,7,0.0,Aother
0.48,17.94,1.0,Blue Tabby,0,1,0.0,Aother
0.58,21.99,0.0,Black,7,1,1.0,Aother
0.09,13.22,2.0,Brown Tabby,13,9,1.0,Aother
0.51,48.49,2.0,Brown Tabby,13,9,1.0,Aother
0.26,37.37,1.0,Brown Brindle,0,1,0.0,Aother
0.6,39.37,1.0,Cream Tabby,0,1,0.0,Aother
0.18,32.45,0.0,Black,0,1,1.0,Aother
0.78,46.5,2.0,Brown Tabby,13,9,1.0,Aother
0.25,26.94,0.0,Black,0,1,1.0,Aother
0.85,45.56,1.0,Brown Tabby,16,9,0.0,Aother
0.12,42.22,0.0,Black,0,1,1.0,Aother
0.85,16.24,2.0,Blue,13,9,1.0,Aother
0.14,40.2,0.0,Seal Point,7,1,1.0,Aother
0.75,45.59,1.0,Black,0,1,0.0,Aother
