temp,atemp,hum,windspeed,casual,registered,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,cnt
0.36,0.3333,0.34,0.3582,106,226,winter,2012,March,14,0,Sunday,0,Clear,332
0.3,0.2879,0.56,0.2537,14,137,fall,2012,November,21,0,Tuesday,1,Mist,151
0.48,0.4697,0.67,0.1045,5,59,spring,2012,April,0,0,Friday,1,Clear,64
0.64,0.6212,0.47,0.2537,66,525,fall,2011,October,17,0,Wednesday,1,Clear,591
0.22,0.2273,0.8,0.1343,0,1,winter,2012,February,4,0,Monday,1,Clear,1
0.2,0.197,0.64,0.2537,11,473,winter,2012,February,8,0,Thursday,1,Clear,484
0.74,0.6818,0.58,0.2239,13,102,summer,2011,July,6,0,Tuesday,1,Clear,115
0.6,0.5758,0.78,0.0,32,262,spring,2012,May,9,0,Friday,1,Clear,294
0.32,0.303,0.66,0.2836,12,63,spring,2011,April,10,0,Friday,1,Clear,75
0.18,0.2121,0.55,0.0896,1,15,winter,2011,January,1,0,Saturday,0,Mist,16
0.4,0.4091,0.5,0.2985,2,67,winter,2011,February,14,0,Thursday,1,Mist,69
0.62,0.5909,0.78,0.0,17,221,fall,2011,September,20,0,Tuesday,1,Clear,238
0.66,0.6212,0.74,0.0,191,314,summer,2012,July,11,0,Sunday,0,Mist,505
0.42,0.4242,0.58,0.2836,3,43,spring,2011,April,6,0,Monday,1,Clear,46
0.3,0.3182,0.49,0.1045,17,144,fall,2012,November,10,0,Wednesday,1,Clear,161
0.88,0.7879,0.37,0.1642,27,149,summer,2012,June,14,0,Thursday,1,Clear,176
0.36,0.3333,0.46,0.3284,108,292,fall,2012,November,16,0,Saturday,0,Mist,400
0.7,0.6667,0.79,0.1642,9,25,spring,2011,June,0,0,Wednesday,1,Clear,34
0.64,0.5758,0.89,0.1343,0,7,summer,2012,August,4,0,Friday,1,Clear,7
0.64,0.5758,0.89,0.1343,17,79,summer,2012,September,0,0,Friday,1,Clear,96
0.22,0.2121,0.47,0.2836,3,24,winter,2012,December,0,0,Sunday,0,Clear,27
0.46,0.4545,0.94,0.194,4,8,fall,2011,November,1,0,Monday,1,Light Snow,12
0.18,0.2121,0.86,0.1045,1,62,winter,2012,January,11,0,Saturday,0,Mist,63
0.68,0.6364,0.83,0.0896,0,6,summer,2011,July,4,0,Wednesday,1,Mist,6
0.52,0.5,0.52,0.194,19,96,spring,2011,May,8,0,Saturday,0,Clear,115
0.24,0.2576,0.6,0.1045,5,53,winter,2012,December,22,0,Sunday,0,Clear,58
0.66,0.6212,0.39,0.4627,73,375,spring,2012,June,16,0,Monday,1,Clear,448
0.4,0.4091,0.37,0.2985,146,264,winter,2012,March,12,0,Sunday,0,Clear,410
0.32,0.2879,0.49,0.4627,11,91,winter,2011,February,16,0,Friday,1,Clear,102
0.3,0.2727,0.45,0.2985,11,376,winter,2012,March,17,0,Monday,1,Light Snow,387
0.52,0.5,1.0,0.194,11,33,spring,2011,May,23,0,Saturday,0,Light Snow,44
0.74,0.697,0.7,0.1343,181,317,summer,2012,September,17,1,Monday,0,Clear,498
0.3,0.2879,0.61,0.2239,0,3,winter,2011,December,3,0,Tuesday,1,Mist,3
0.6,0.6212,0.35,0.2985,169,269,fall,2011,October,13,0,Sunday,0,Clear,438
0.4,0.4091,0.62,0.1642,8,24,spring,2011,May,1,0,Friday,1,Clear,32
0.6,0.5758,0.78,0.0896,3,13,fall,2012,September,2,0,Thursday,1,Clear,16
0.2,0.197,0.75,0.194,8,389,fall,2011,December,8,0,Monday,1,Clear,397
0.66,0.6212,0.69,0.0,1,15,summer,2012,August,2,0,Friday,1,Clear,16
0.56,0.5303,0.73,0.4179,5,197,fall,2011,November,9,0,Tuesday,1,Light Snow,202
0.86,0.7879,0.44,0.2985,98,268,summer,2012,July,10,0,Sunday,0,Clear,366
0.6,0.5606,0.83,0.2239,7,71,spring,2011,April,23,0,Tuesday,1,Mist,78
0.76,0.7273,0.66,0.3284,27,81,summer,2012,August,8,0,Sunday,0,Clear,108
0.34,0.303,0.46,0.2985,1,25,winter,2011,February,6,0,Monday,1,Clear,26
0.58,0.5455,0.88,0.0896,28,327,spring,2012,May,9,0,Tuesday,1,Mist,355
0.86,0.7576,0.34,0.1642,52,375,summer,2012,July,20,0,Tuesday,1,Clear,427
0.82,0.7727,0.52,0.1642,88,204,summer,2012,June,20,0,Saturday,0,Clear,292
0.46,0.4545,0.36,0.0896,68,381,fall,2012,November,15,0,Wednesday,1,Clear,449
0.64,0.5758,0.83,0.0896,10,37,summer,2012,June,6,0,Saturday,0,Clear,47
0.74,0.6667,0.45,0.2239,48,186,spring,2012,May,15,0,Tuesday,1,Mist,234
0.3,0.3182,0.61,0.0896,4,126,fall,2012,November,6,0,Friday,1,Mist,130
0.66,0.6061,0.78,0.1642,52,178,fall,2012,October,11,0,Wednesday,1,Clear,230
0.26,0.2424,0.48,0.2537,4,11,fall,2011,November,3,0,Saturday,0,Clear,15
0.26,0.303,0.93,0.0,1,7,fall,2012,December,5,0,Sunday,0,Mist,8
0.54,0.5152,0.94,0.2239,1,12,summer,2011,September,0,0,Wednesday,1,Mist,13
0.86,0.7576,0.36,0.2239,85,369,summer,2011,August,19,0,Tuesday,1,Mist,454
0.62,0.5758,0.83,0.0,1,36,summer,2012,August,5,0,Thursday,1,Clear,37
