temp,atemp,hum,windspeed,casual,registered,cnt,season,yr,mnth,hr,holiday,workingday,weathersit,weekday
0.36,0.3333,0.34,0.3582,106,226,332,winter,2012,March,14,0,0,Clear,Sunday
0.3,0.2879,0.56,0.2537,14,137,151,fall,2012,November,21,0,1,Mist,Tuesday
0.48,0.4697,0.67,0.1045,5,59,64,spring,2012,April,0,0,1,Clear,Friday
0.64,0.6212,0.47,0.2537,66,525,591,fall,2011,October,17,0,1,Clear,Wednesday
0.22,0.2273,0.8,0.1343,0,1,1,winter,2012,February,4,0,1,Clear,Monday
0.2,0.197,0.64,0.2537,11,473,484,winter,2012,February,8,0,1,Clear,Thursday
0.74,0.6818,0.58,0.2239,13,102,115,summer,2011,July,6,0,1,Clear,Tuesday
0.6,0.5758,0.78,0.0,32,262,294,spring,2012,May,9,0,1,Clear,Friday
0.32,0.303,0.66,0.2836,12,63,75,spring,2011,April,10,0,1,Clear,Friday
0.18,0.2121,0.55,0.0896,1,15,16,winter,2011,January,1,0,0,Mist,Saturday
0.4,0.4091,0.5,0.2985,2,67,69,winter,2011,February,14,0,1,Mist,Thursday
0.62,0.5909,0.78,0.0,17,221,238,fall,2011,September,20,0,1,Clear,Tuesday
0.66,0.6212,0.74,0.0,191,314,505,summer,2012,July,11,0,0,Mist,Sunday
0.42,0.4242,0.58,0.2836,3,43,46,spring,2011,April,6,0,1,Clear,Monday
0.3,0.3182,0.49,0.1045,17,144,161,fall,2012,November,10,0,1,Clear,Wednesday
0.88,0.7879,0.37,0.1642,27,149,176,summer,2012,June,14,0,1,Clear,Thursday
0.36,0.3333,0.46,0.3284,108,292,400,fall,2012,November,16,0,0,Mist,Saturday
0.7,0.6667,0.79,0.1642,9,25,34,spring,2011,June,0,0,1,Clear,Wednesday
0.64,0.5758,0.89,0.1343,0,7,7,summer,2012,August,4,0,1,Clear,Friday
0.64,0.5758,0.89,0.1343,17,79,96,summer,2012,September,0,0,1,Clear,Friday
0.22,0.2121,0.47,0.2836,3,24,27,winter,2012,December,0,0,0,Clear,Sunday
0.46,0.4545,0.94,0.194,4,8,12,fall,2011,November,1,0,1,Light Snow,Monday
0.18,0.2121,0.86,0.1045,1,62,63,winter,2012,January,11,0,0,Mist,Saturday
0.68,0.6364,0.83,0.0896,0,6,6,summer,2011,July,4,0,1,Mist,Wednesday
0.52,0.5,0.52,0.194,19,96,115,spring,2011,May,8,0,0,Clear,Saturday
0.24,0.2576,0.6,0.1045,5,53,58,winter,2012,December,22,0,0,Clear,Sunday
0.66,0.6212,0.39,0.4627,73,375,448,spring,2012,June,16,0,1,Clear,Monday
0.4,0.4091,0.37,0.2985,146,264,410,winter,2012,March,12,0,0,Clear,Sunday
0.32,0.2879,0.49,0.4627,11,91,102,winter,2011,February,16,0,1,Clear,Friday
0.3,0.2727,0.45,0.2985,11,376,387,winter,2012,March,17,0,1,Light Snow,Monday
0.52,0.5,1.0,0.194,11,33,44,spring,2011,May,23,0,0,Light Snow,Saturday
0.74,0.697,0.7,0.1343,181,317,498,summer,2012,September,17,1,0,Clear,Monday
0.3,0.2879,0.61,0.2239,0,3,3,winter,2011,December,3,0,1,Mist,Tuesday
0.6,0.6212,0.35,0.2985,169,269,438,fall,2011,October,13,0,0,Clear,Sunday
0.4,0.4091,0.62,0.1642,8,24,32,spring,2011,May,1,0,1,Clear,Friday
0.6,0.5758,0.78,0.0896,3,13,16,fall,2012,September,2,0,1,Clear,Thursday
0.2,0.197,0.75,0.194,8,389,397,fall,2011,December,8,0,1,Clear,Monday
0.66,0.6212,0.69,0.0,1,15,16,summer,2012,August,2,0,1,Clear,Friday
0.56,0.5303,0.73,0.4179,5,197,202,fall,2011,November,9,0,1,Light Snow,Tuesday
0.86,0.7879,0.44,0.2985,98,268,366,summer,2012,July,10,0,0,Clear,Sunday
0.6,0.5606,0.83,0.2239,7,71,78,spring,2011,April,23,0,1,Mist,Tuesday
0.76,0.7273,0.66,0.3284,27,81,108,summer,2012,August,8,0,0,Clear,Sunday
0.34,0.303,0.46,0.2985,1,25,26,winter,2011,February,6,0,1,Clear,Monday
0.58,0.5455,0.88,0.0896,28,327,355,spring,2012,May,9,0,1,Mist,Tuesday
0.86,0.7576,0.34,0.1642,52,375,427,summer,2012,July,20,0,1,Clear,Tuesday
0.82,0.7727,0.52,0.1642,88,204,292,summer,2012,June,20,0,0,Clear,Saturday
0.46,0.4545,0.36,0.0896,68,381,449,fall,2012,November,15,0,1,Clear,Wednesday
0.64,0.5758,0.83,0.0896,10,37,47,summer,2012,June,6,0,0,Clear,Saturday
0.74,0.6667,0.45,0.2239,48,186,234,spring,2012,May,15,0,1,Mist,Tuesday
0.3,0.3182,0.61,0.0896,4,126,130,fall,2012,November,6,0,1,Mist,Friday
0.66,0.6061,0.78,0.1642,52,178,230,fall,2012,October,11,0,1,Clear,Wednesday
0.26,0.2424,0.48,0.2537,4,11,15,fall,2011,November,3,0,0,Clear,Saturday
0.26,0.303,0.93,0.0,1,7,8,fall,2012,December,5,0,0,Mist,Sunday
0.54,0.5152,0.94,0.2239,1,12,13,summer,2011,September,0,0,1,Mist,Wednesday
0.86,0.7576,0.36,0.2239,85,369,454,summer,2011,August,19,0,1,Mist,Tuesday
0.62,0.5758,0.83,0.0,1,36,37,summer,2012,August,5,0,1,Clear,Thursday
