CreditScore,Age,Tenure,Balance,EstimatedSalary,Geography,Gender,NumOfProducts,HasCrCard,IsActiveMember,Exited
650,42,4,194532.66,171045.31,Spain,Male,1,1,0,1
625,35,5,86147.46,163440.8,Germany,Female,2,1,0,1
558,45,1,153697.53,89891.4,France,Female,2,0,0,1
608,63,3,139529.93,175696.16,Spain,Female,2,1,1,1
672,50,1,0.0,12106.82,France,Female,1,1,0,1
659,42,2,0.0,162734.31,Spain,Female,1,0,0,1
609,61,1,0.0,22447.85,Spain,Male,1,1,0,1
839,47,2,136911.07,168184.62,Germany,Male,1,1,1,1
421,28,8,122384.22,89017.38,Germany,Male,3,1,1,1
622,30,2,158584.82,142342.55,France,Female,3,1,0,1
518,29,9,125961.74,160303.08,Germany,Male,2,1,0,1
751,48,9,0.0,137508.42,France,Female,1,1,0,1
700,47,4,0.0,121798.52,Spain,Male,1,1,0,1
613,20,0,117356.19,113557.7,Germany,Female,1,0,0,1
561,49,1,102025.32,133051.64,Germany,Female,1,1,0,1
686,45,3,74274.87,64907.48,Spain,Male,3,1,0,1
790,50,8,121438.58,176471.78,Germany,Male,1,1,1,1
778,35,1,151958.19,131238.37,Germany,Female,3,1,1,1
703,39,1,141559.5,31257.1,Germany,Male,1,1,1,1
813,36,6,98088.09,26687.22,Germany,Female,1,0,1,1
756,60,3,115924.89,93524.19,Germany,Female,1,1,0,1
813,29,5,106059.4,187976.88,Germany,Female,1,0,0,1
484,54,3,134388.11,49954.79,Germany,Male,1,0,0,1
753,46,8,0.0,90747.94,France,Male,3,1,0,1
747,45,1,114959.12,189362.39,France,Female,1,1,0,1
460,27,7,0.0,156150.08,France,Female,2,1,0,1
702,26,2,71281.29,108747.12,France,Male,1,1,1,1
540,48,2,109349.29,88703.04,France,Male,1,1,0,1
558,41,6,0.0,143585.29,France,Female,1,1,1,1
691,52,3,0.0,175843.68,France,Male,1,1,0,1
611,58,8,0.0,107665.68,France,Male,2,0,1,1
745,45,10,117231.63,122381.02,Germany,Male,3,1,1,1
572,43,2,140431.98,26450.57,France,Male,1,1,0,1
630,29,6,131354.39,9324.31,Germany,Male,1,0,1,1
677,56,5,123959.97,60590.72,Spain,Male,1,1,1,1
516,45,4,0.0,95273.73,France,Female,1,1,0,1
713,48,1,163760.82,157381.14,Spain,Female,1,0,0,1
629,46,1,130666.2,161125.67,France,Male,1,1,1,1
601,42,1,98495.72,40014.76,Germany,Male,1,1,0,1
811,52,10,76915.4,146359.81,Germany,Male,1,0,0,1
528,62,7,133201.17,168507.68,Germany,Female,1,0,0,1
713,26,4,122857.46,144682.17,Spain,Female,2,1,0,1
578,59,10,185966.64,9445.42,France,Male,1,0,0,1
514,45,3,109032.23,155407.21,Germany,Female,1,0,1,1
737,39,7,130051.66,55356.39,Spain,Female,2,0,0,1
