iter	Passed	Remaining
0	2	2329
1	5	2544
2	6	2321
3	9	2245
4	11	2224
5	13	2233
6	15	2250
7	18	2252
8	20	2214
9	22	2196
10	24	2185
11	26	2164
12	28	2147
13	30	2130
14	32	2138
15	34	2125
16	36	2108
17	38	2096
18	40	2085
19	42	2072
20	44	2060
21	46	2060
22	48	2060
23	50	2051
24	52	2045
25	54	2038
26	56	2029
27	58	2023
28	60	2020
29	62	2022
30	64	2017
31	66	2012
32	68	2008
33	70	2002
34	72	1997
35	74	1990
36	76	1985
37	78	1992
38	80	1989
39	82	1985
40	84	1984
41	86	1981
42	88	1977
43	90	1971
44	92	1973
45	95	1974
46	97	1975
47	99	1976
48	101	1972
49	103	1967
50	105	1964
51	107	1962
52	109	1962
53	111	1959
54	113	1956
55	116	1955
56	117	1951
57	119	1948
58	121	1944
59	124	1946
60	126	1942
61	128	1939
62	130	1937
63	132	1936
64	134	1934
65	136	1930
66	138	1931
67	141	1932
68	143	1932
69	145	1927
70	147	1923
71	149	1921
72	151	1920
73	153	1917
74	155	1917
75	157	1914
76	159	1911
77	161	1909
78	163	1905
79	165	1902
80	167	1899
81	169	1897
82	171	1896
83	173	1895
84	175	1892
85	177	1889
86	179	1887
87	181	1884
88	183	1880
89	185	1879
90	188	1879
91	190	1878
92	192	1874
93	194	1871
94	196	1868
95	198	1866
96	200	1864
97	202	1863
98	204	1859
99	206	1856
100	208	1853
101	210	1850
102	212	1847
103	213	1843
104	215	1839
105	217	1837
106	219	1835
107	221	1832
108	223	1830
109	225	1827
110	227	1823
111	229	1821
112	232	1821
113	234	1820
114	236	1817
115	238	1815
116	240	1813
117	242	1810
118	244	1807
119	246	1806
120	248	1807
121	250	1805
122	252	1802
123	254	1799
124	256	1797
125	258	1794
126	260	1792
127	263	1792
128	265	1790
129	267	1788
130	269	1785
131	271	1782
132	273	1779
133	275	1777
134	277	1776
135	279	1774
136	281	1771
137	283	1768
138	285	1766
139	286	1762
140	288	1760
141	290	1757
142	293	1756
143	295	1754
144	297	1752
145	299	1750
146	301	1748
147	303	1745
148	305	1742
149	307	1740
150	309	1739
151	311	1737
152	313	1735
153	315	1731
154	317	1729
155	319	1727
156	321	1724
157	323	1722
158	325	1721
159	327	1719
160	329	1717
161	331	1714
162	333	1712
163	335	1711
164	337	1707
165	339	1705
166	341	1703
167	343	1702
168	345	1700
169	347	1697
170	349	1695
171	351	1691
172	353	1690
173	355	1688
174	357	1685
175	359	1682
176	361	1679
177	363	1677
178	364	1673
179	366	1671
180	368	1669
181	371	1667
182	372	1664
183	374	1661
184	376	1659
185	378	1657
186	380	1655
187	382	1651
188	384	1651
189	386	1649
190	388	1647
191	390	1643
192	392	1641
193	394	1638
194	396	1635
195	398	1633
196	400	1630
197	402	1628
198	403	1625
199	405	1623
200	407	1621
201	409	1617
202	411	1615
203	413	1613
204	415	1610
205	417	1608
206	419	1605
207	421	1603
208	422	1600
209	424	1598
210	426	1595
211	428	1593
212	430	1591
213	432	1588
214	434	1587
215	436	1583
216	438	1580
217	439	1577
218	441	1575
219	443	1573
220	445	1570
221	447	1567
222	449	1565
223	451	1562
224	452	1560
225	454	1557
226	456	1556
227	458	1553
228	460	1550
229	462	1548
230	464	1546
231	466	1544
232	468	1541
233	469	1538
234	471	1535
235	473	1533
236	475	1530
237	477	1528
238	479	1526
239	481	1523
240	482	1520
241	484	1517
242	486	1515
243	488	1512
244	489	1509
245	492	1509
246	494	1506
247	496	1504
248	498	1502
249	499	1499
250	501	1496
251	503	1495
252	505	1492
253	507	1489
254	508	1486
255	510	1484
256	513	1483
257	514	1480
258	516	1478
259	518	1476
260	520	1474
261	522	1473
262	525	1471
263	526	1468
264	528	1466
265	530	1463
266	532	1460
267	533	1458
268	535	1456
269	538	1455
270	539	1452
271	541	1449
272	543	1446
273	545	1444
274	547	1442
275	548	1439
276	550	1437
277	552	1435
278	554	1432
279	556	1430
280	558	1427
281	559	1425
282	561	1422
283	563	1419
284	565	1417
285	567	1415
286	569	1414
287	571	1412
288	572	1409
289	574	1406
290	576	1405
291	578	1403
292	580	1401
293	582	1398
294	584	1396
295	586	1394
296	587	1391
297	589	1388
298	591	1386
299	593	1384
300	594	1381
301	596	1379
302	598	1376
303	600	1374
304	601	1371
305	603	1369
306	605	1366
307	607	1364
308	609	1362
309	611	1360
310	612	1357
311	614	1355
312	616	1353
313	618	1351
314	620	1349
315	622	1347
316	624	1345
317	625	1342
318	627	1339
319	629	1336
320	630	1334
321	632	1332
322	634	1330
323	636	1327
324	637	1325
325	639	1322
326	641	1319
327	642	1317
328	644	1315
329	646	1313
330	648	1310
331	650	1308
332	651	1305
333	653	1303
334	655	1300
335	657	1298
336	659	1296
337	661	1294
338	662	1292
339	664	1290
340	666	1287
341	668	1285
342	669	1282
343	671	1281
344	673	1278
345	675	1277
346	677	1275
347	679	1273
348	681	1271
349	683	1269
350	685	1267
351	687	1265
352	689	1262
353	690	1260
354	692	1258
355	694	1256
356	696	1253
357	697	1251
358	699	1249
359	701	1246
360	703	1244
361	705	1242
362	706	1240
363	708	1238
364	710	1236
365	712	1234
366	714	1231
367	715	1229
368	717	1227
369	719	1224
370	721	1222
371	723	1220
372	725	1218
373	726	1216
374	728	1214
375	730	1212
376	732	1210
377	734	1208
378	735	1205
379	737	1203
380	739	1201
381	741	1199
382	743	1197
383	744	1194
384	746	1192
385	748	1190
386	749	1187
387	751	1185
388	753	1183
389	755	1181
390	757	1179
391	758	1176
392	760	1174
393	762	1172
394	764	1170
395	765	1167
396	767	1165
397	769	1163
398	771	1161
399	772	1159
400	774	1157
401	776	1154
402	778	1152
403	779	1150
404	781	1148
405	783	1146
406	785	1143
407	786	1141
408	788	1139
409	790	1137
410	792	1135
411	793	1132
412	795	1130
413	796	1128
414	799	1126
415	800	1124
416	802	1121
417	804	1119
418	805	1117
419	807	1114
420	809	1113
421	811	1110
422	812	1108
423	814	1106
424	816	1104
425	817	1102
426	819	1099
427	821	1097
428	823	1095
429	824	1093
430	826	1090
431	828	1088
432	829	1086
433	831	1084
434	833	1082
435	834	1080
436	836	1077
437	838	1075
438	840	1073
439	841	1071
440	843	1069
441	845	1067
442	847	1065
443	849	1063
444	850	1061
445	852	1058
446	854	1056
447	855	1054
448	857	1052
449	859	1050
450	860	1047
451	862	1045
452	864	1043
453	865	1041
454	867	1038
455	869	1036
456	870	1034
457	872	1032
458	874	1030
459	876	1028
460	878	1027
461	880	1025
462	881	1022
463	883	1020
464	885	1018
465	886	1016
466	888	1014
467	890	1011
468	892	1009
469	893	1008
470	895	1005
471	897	1003
472	898	1001
473	900	999
474	902	997
475	903	995
476	905	992
477	907	990
478	909	988
479	910	986
480	912	984
481	914	982
482	915	980
483	917	978
484	919	976
485	921	974
486	922	972
487	924	970
488	926	968
489	928	966
490	929	964
491	931	961
492	933	959
493	935	957
494	936	955
495	938	953
496	940	951
497	942	949
498	944	947
499	945	945
500	947	943
501	949	941
502	950	939
503	952	937
504	954	935
505	956	933
506	958	931
507	960	929
508	961	927
509	963	925
510	965	923
511	966	921
512	968	919
513	970	917
514	971	915
515	973	913
516	975	911
517	976	909
518	978	907
519	980	905
520	982	903
521	984	901
522	986	899
523	987	897
524	989	895
525	991	893
526	992	891
527	994	888
528	996	886
529	997	884
530	999	882
531	1001	880
532	1002	878
533	1004	876
534	1006	874
535	1008	872
536	1009	870
537	1011	868
538	1013	866
539	1015	864
540	1016	862
541	1018	860
542	1020	858
543	1021	856
544	1023	854
545	1025	852
546	1026	850
547	1028	848
548	1030	846
549	1032	844
550	1033	842
551	1035	840
552	1037	838
553	1038	836
554	1040	834
555	1042	832
556	1044	830
557	1045	828
558	1047	826
559	1049	824
560	1051	822
561	1052	820
562	1054	818
563	1056	816
564	1058	814
565	1060	812
566	1061	810
567	1063	808
568	1065	806
569	1066	804
570	1068	802
571	1070	800
572	1071	798
573	1073	796
574	1075	794
575	1077	792
576	1078	790
577	1080	788
578	1082	786
579	1083	784
580	1085	782
581	1087	780
582	1089	779
583	1090	777
584	1092	775
585	1094	773
586	1095	771
587	1097	769
588	1099	767
589	1101	765
590	1103	763
591	1104	761
592	1106	759
593	1108	757
594	1110	755
595	1111	753
596	1113	751
597	1114	749
598	1116	747
599	1118	745
600	1120	743
601	1122	742
602	1124	740
603	1125	738
604	1127	736
605	1129	734
606	1130	732
607	1132	730
608	1134	728
609	1136	726
610	1138	724
611	1139	722
612	1141	720
613	1143	718
614	1144	716
615	1146	714
616	1148	712
617	1149	710
618	1151	708
619	1153	706
620	1154	704
621	1156	702
622	1158	700
623	1159	698
624	1161	696
625	1163	694
626	1165	693
627	1166	691
628	1168	689
629	1170	687
630	1172	685
631	1173	683
632	1175	681
633	1177	679
634	1178	677
635	1180	675
636	1182	673
637	1183	671
638	1185	669
639	1187	667
640	1188	665
641	1190	663
642	1192	662
643	1194	660
644	1195	658
645	1197	656
646	1199	654
647	1201	652
648	1203	650
649	1205	648
650	1206	646
651	1208	645
652	1210	643
653	1211	641
654	1213	639
655	1215	637
656	1217	635
657	1218	633
658	1220	631
659	1222	629
660	1223	627
661	1225	625
662	1226	623
663	1228	621
664	1230	619
665	1231	617
666	1233	615
667	1234	613
668	1236	611
669	1238	609
670	1239	607
671	1241	605
672	1243	604
673	1245	602
674	1246	600
675	1248	598
676	1250	596
677	1252	594
678	1254	592
679	1256	591
680	1257	589
681	1259	587
682	1261	585
683	1263	583
684	1264	581
685	1266	579
686	1268	577
687	1270	575
688	1271	574
689	1273	572
690	1275	570
691	1277	568
692	1278	566
693	1280	564
694	1282	562
695	1283	560
696	1285	558
697	1287	556
698	1288	554
699	1290	553
700	1292	551
701	1293	549
702	1295	547
703	1297	545
704	1299	543
705	1300	541
706	1302	539
707	1304	537
708	1306	536
709	1307	534
710	1309	532
711	1311	530
712	1313	528
713	1314	526
714	1316	524
715	1318	522
716	1320	521
717	1321	519
718	1323	517
719	1325	515
720	1327	513
721	1328	511
722	1330	509
723	1332	507
724	1334	506
725	1335	504
726	1337	502
727	1339	500
728	1341	498
729	1342	496
730	1344	494
731	1346	492
732	1348	491
733	1350	489
734	1351	487
735	1353	485
736	1354	483
737	1356	481
738	1358	479
739	1360	477
740	1361	476
741	1363	474
742	1365	472
743	1366	470
744	1368	468
745	1370	466
746	1372	464
747	1373	462
748	1375	460
749	1377	459
750	1378	457
751	1380	455
752	1382	453
753	1383	451
754	1385	449
755	1387	447
756	1389	445
757	1390	444
758	1392	442
759	1394	440
760	1396	438
761	1398	436
762	1399	434
763	1401	432
764	1403	430
765	1404	429
766	1406	427
767	1408	425
768	1409	423
769	1411	421
770	1413	419
771	1414	417
772	1416	415
773	1418	414
774	1419	412
775	1421	410
776	1423	408
777	1425	406
778	1427	404
779	1428	402
780	1430	401
781	1432	399
782	1433	397
783	1435	395
784	1436	393
785	1438	391
786	1440	389
787	1442	388
788	1443	386
789	1445	384
790	1447	382
791	1448	380
792	1450	378
793	1452	376
794	1453	374
795	1455	373
796	1457	371
797	1459	369
798	1460	367
799	1462	365
800	1464	363
801	1465	361
802	1467	360
803	1469	358
804	1471	356
805	1473	354
806	1475	352
807	1476	350
808	1478	349
809	1480	347
810	1481	345
811	1483	343
812	1485	341
813	1487	339
814	1489	338
815	1490	336
816	1492	334
817	1493	332
818	1495	330
819	1497	328
820	1499	326
821	1500	324
822	1502	323
823	1504	321
824	1505	319
825	1507	317
826	1509	315
827	1510	313
828	1512	311
829	1514	310
830	1516	308
831	1517	306
832	1519	304
833	1521	302
834	1523	300
835	1524	299
836	1526	297
837	1528	295
838	1530	293
839	1531	291
840	1533	289
841	1535	288
842	1537	286
843	1538	284
844	1540	282
845	1542	280
846	1543	278
847	1545	277
848	1547	275
849	1549	273
850	1550	271
851	1552	269
852	1554	267
853	1555	265
854	1557	264
855	1559	262
856	1561	260
857	1562	258
858	1564	256
859	1566	254
860	1567	253
861	1569	251
862	1571	249
863	1572	247
864	1574	245
865	1576	243
866	1578	242
867	1580	240
868	1581	238
869	1583	236
870	1585	234
871	1587	232
872	1588	231
873	1590	229
874	1592	227
875	1594	225
876	1595	223
877	1597	221
878	1599	220
879	1601	218
880	1602	216
881	1604	214
882	1606	212
883	1607	210
884	1609	209
885	1611	207
886	1612	205
887	1614	203
888	1616	201
889	1617	199
890	1619	198
891	1621	196
892	1622	194
893	1624	192
894	1626	190
895	1627	188
896	1629	187
897	1631	185
898	1633	183
899	1634	181
900	1636	179
901	1638	177
902	1640	176
903	1641	174
904	1643	172
905	1645	170
906	1646	168
907	1648	167
908	1650	165
909	1652	163
910	1654	161
911	1655	159
912	1657	157
913	1659	156
914	1660	154
915	1662	152
916	1664	150
917	1665	148
918	1667	146
919	1669	145
920	1671	143
921	1672	141
922	1674	139
923	1676	137
924	1677	136
925	1679	134
926	1681	132
927	1683	130
928	1685	128
929	1686	126
930	1688	125
931	1689	123
932	1691	121
933	1693	119
934	1695	117
935	1696	116
936	1698	114
937	1700	112
938	1701	110
939	1703	108
940	1705	106
941	1707	105
942	1708	103
943	1710	101
944	1712	99
945	1714	97
946	1716	96
947	1718	94
948	1719	92
949	1721	90
950	1723	88
951	1724	86
952	1726	85
953	1728	83
954	1730	81
955	1731	79
956	1733	77
957	1735	76
958	1736	74
959	1738	72
960	1740	70
961	1741	68
962	1743	66
963	1745	65
964	1746	63
965	1748	61
966	1750	59
967	1752	57
968	1753	56
969	1755	54
970	1757	52
971	1759	50
972	1760	48
973	1762	47
974	1764	45
975	1765	43
976	1767	41
977	1769	39
978	1771	37
979	1772	36
980	1774	34
981	1776	32
982	1778	30
983	1779	28
984	1781	27
985	1783	25
986	1784	23
987	1786	21
988	1788	19
989	1790	18
990	1791	16
991	1793	14
992	1795	12
993	1796	10
994	1798	9
995	1800	7
996	1801	5
997	1803	3
998	1805	1
999	1807	0
