iter	Passed	Remaining
0	5	5019
1	9	4866
2	14	4891
3	19	4891
4	24	4959
5	30	5007
6	35	5036
7	40	5035
8	45	5050
9	51	5066
10	56	5059
11	61	5067
12	66	5038
13	71	5032
14	76	5036
15	81	5021
16	86	5001
17	91	4993
18	96	4966
19	101	4954
20	106	4976
21	111	4972
22	117	4979
23	122	5000
24	127	4979
25	132	4964
26	137	4965
27	142	4948
28	147	4939
29	152	4942
30	157	4935
31	162	4920
32	167	4915
33	172	4905
34	177	4893
35	182	4881
36	187	4876
37	192	4864
38	196	4852
39	201	4840
40	206	4834
41	211	4828
42	216	4816
43	221	4804
44	226	4804
45	231	4796
46	236	4789
47	241	4791
48	246	4786
49	251	4774
50	257	4784
51	261	4774
52	266	4767
53	271	4764
54	277	4761
55	282	4753
56	287	4749
57	292	4750
58	297	4741
59	302	4737
60	308	4744
61	313	4746
62	319	4754
63	324	4751
64	330	4749
65	336	4755
66	340	4746
67	345	4735
68	350	4729
69	355	4726
70	360	4716
71	365	4715
72	371	4712
73	375	4704
74	380	4698
75	385	4690
76	390	4682
77	395	4677
78	400	4668
79	405	4659
80	410	4653
81	415	4652
82	421	4654
83	426	4650
84	431	4643
85	437	4644
86	442	4640
87	447	4633
88	452	4630
89	458	4633
90	463	4630
91	469	4634
92	474	4628
93	479	4620
94	485	4621
95	490	4620
96	495	4614
97	500	4607
98	505	4601
99	510	4592
100	515	4587
101	520	4582
102	525	4573
103	529	4565
104	535	4563
105	540	4556
106	544	4547
107	549	4541
108	554	4533
109	559	4524
110	564	4521
111	569	4513
112	573	4503
113	578	4496
114	583	4491
115	588	4483
116	593	4479
117	598	4475
118	603	4470
119	608	4465
120	613	4458
121	618	4453
122	624	4449
123	628	4442
124	634	4439
125	639	4433
126	644	4431
127	649	4427
128	654	4420
129	660	4419
130	666	4419
131	671	4415
132	677	4415
133	682	4413
134	687	4408
135	693	4403
136	698	4398
137	703	4392
138	708	4387
139	713	4383
140	718	4377
141	724	4374
142	729	4370
143	734	4365
144	739	4361
145	746	4363
146	751	4360
147	757	4360
148	763	4362
149	769	4360
150	774	4355
151	780	4353
152	785	4347
153	790	4342
154	795	4338
155	800	4333
156	806	4328
157	811	4326
158	816	4319
159	822	4316
160	827	4313
161	832	4308
162	838	4306
163	844	4303
164	849	4300
165	855	4297
166	860	4293
167	866	4291
168	872	4288
169	879	4292
170	885	4292
171	891	4289
172	896	4287
173	902	4285
174	908	4281
175	913	4277
176	919	4273
177	925	4274
178	931	4273
179	938	4274
180	944	4273
181	949	4267
182	954	4262
183	961	4262
184	966	4258
185	972	4255
186	978	4255
187	984	4251
188	990	4250
189	996	4247
190	1002	4244
191	1007	4241
192	1013	4235
193	1018	4229
194	1023	4224
195	1028	4217
196	1033	4211
197	1038	4205
198	1043	4199
199	1048	4193
200	1053	4188
201	1058	4181
202	1063	4176
203	1069	4171
204	1075	4169
205	1079	4161
206	1084	4156
207	1089	4149
208	1094	4142
209	1099	4136
210	1104	4131
211	1109	4124
212	1114	4118
213	1120	4113
214	1124	4107
215	1130	4101
216	1135	4097
217	1140	4092
218	1145	4086
219	1151	4081
220	1156	4076
221	1161	4069
222	1165	4062
223	1171	4057
224	1175	4050
225	1180	4043
226	1185	4037
227	1190	4030
228	1195	4023
229	1200	4017
230	1204	4010
231	1209	4002
232	1213	3995
233	1218	3988
234	1223	3981
235	1227	3975
236	1232	3969
237	1237	3962
238	1242	3955
239	1246	3948
240	1251	3942
241	1256	3935
242	1261	3929
243	1266	3925
244	1272	3920
245	1277	3914
246	1282	3911
247	1288	3906
248	1293	3900
249	1298	3896
250	1304	3892
251	1309	3885
252	1314	3880
253	1319	3874
254	1324	3868
255	1329	3862
256	1334	3858
257	1339	3851
258	1344	3846
259	1350	3842
260	1355	3837
261	1359	3830
262	1365	3825
263	1369	3819
264	1374	3812
265	1379	3806
266	1384	3800
267	1389	3794
268	1393	3787
269	1398	3781
270	1403	3775
271	1407	3768
272	1410	3757
273	1416	3751
274	1420	3745
275	1425	3738
276	1430	3733
277	1435	3726
278	1439	3720
279	1444	3715
280	1450	3710
281	1454	3703
282	1459	3696
283	1465	3693
284	1470	3688
285	1474	3681
286	1480	3677
287	1485	3671
288	1490	3666
289	1495	3661
290	1500	3655
291	1505	3650
292	1511	3647
293	1517	3643
294	1523	3639
295	1528	3636
296	1534	3631
297	1539	3627
298	1545	3624
299	1551	3619
300	1556	3614
301	1562	3611
302	1568	3608
303	1574	3603
304	1579	3600
305	1584	3594
306	1589	3588
307	1595	3584
308	1600	3580
309	1606	3575
310	1611	3570
311	1616	3565
312	1622	3560
313	1627	3556
314	1633	3551
315	1637	3545
316	1643	3540
317	1647	3533
318	1652	3527
319	1657	3521
320	1660	3511
321	1665	3506
322	1669	3500
323	1675	3495
324	1680	3489
325	1684	3483
326	1690	3478
327	1695	3474
328	1700	3468
329	1706	3464
330	1711	3459
331	1716	3453
332	1721	3448
333	1726	3443
334	1732	3438
335	1737	3432
336	1742	3429
337	1747	3423
338	1753	3418
339	1758	3414
340	1763	3407
341	1768	3402
342	1774	3399
343	1779	3393
344	1784	3387
345	1789	3382
346	1794	3376
347	1799	3370
348	1803	3364
349	1808	3359
350	1813	3353
351	1818	3347
352	1823	3341
353	1828	3336
354	1832	3330
355	1837	3324
356	1842	3318
357	1847	3312
358	1852	3306
359	1856	3300
360	1861	3294
361	1865	3286
362	1869	3280
363	1874	3275
364	1878	3267
365	1882	3261
366	1888	3256
367	1892	3250
368	1897	3245
369	1903	3240
370	1908	3235
371	1912	3229
372	1918	3224
373	1923	3219
374	1928	3213
375	1933	3208
376	1938	3204
377	1943	3198
378	1948	3193
379	1955	3189
380	1960	3184
381	1964	3178
382	1970	3174
383	1975	3168
384	1980	3162
385	1985	3158
386	1990	3153
387	1995	3147
388	2000	3142
389	2005	3136
390	2010	3130
391	2015	3125
392	2017	3116
393	2022	3111
394	2027	3105
395	2031	3098
396	2036	3092
397	2041	3087
398	2046	3081
399	2050	3076
400	2056	3071
401	2061	3066
402	2066	3061
403	2071	3056
404	2076	3050
405	2081	3045
406	2087	3042
407	2092	3036
408	2098	3032
409	2104	3027
410	2109	3022
411	2114	3017
412	2120	3013
413	2124	3007
414	2130	3003
415	2135	2998
416	2140	2993
417	2146	2988
418	2151	2983
419	2156	2977
420	2161	2972
421	2166	2967
422	2171	2962
423	2176	2957
424	2182	2952
425	2186	2946
426	2191	2940
427	2196	2936
428	2201	2930
429	2206	2924
430	2211	2919
431	2216	2913
432	2220	2908
433	2225	2902
434	2230	2897
435	2235	2891
436	2239	2885
437	2244	2879
438	2248	2873
439	2253	2868
440	2258	2862
441	2263	2857
442	2268	2851
443	2273	2847
444	2279	2842
445	2284	2837
446	2289	2832
447	2294	2827
448	2299	2822
449	2304	2817
450	2310	2812
451	2315	2806
452	2320	2802
453	2325	2797
454	2330	2792
455	2335	2786
456	2341	2781
457	2346	2776
458	2351	2771
459	2355	2765
460	2361	2760
461	2365	2755
462	2370	2749
463	2375	2744
464	2380	2739
465	2385	2733
466	2390	2727
467	2395	2722
468	2399	2716
469	2404	2711
470	2409	2705
471	2413	2700
472	2418	2694
473	2423	2689
474	2428	2683
475	2432	2678
476	2437	2672
477	2442	2667
478	2447	2662
479	2452	2657
480	2458	2652
481	2464	2648
482	2469	2643
