iter	Passed	Remaining
0	4	4771
1	9	4764
2	14	4762
3	18	4667
4	23	4623
5	28	4760
6	35	5036
7	39	4951
8	44	4888
9	51	5053
10	55	4982
11	60	4966
12	65	4983
13	70	4958
14	74	4919
15	80	4936
16	84	4913
17	89	4879
18	94	4893
19	99	4872
20	104	4852
21	109	4862
22	113	4840
23	118	4824
24	123	4803
25	127	4778
26	132	4766
27	136	4744
28	141	4751
29	146	4739
30	151	4735
31	156	4739
32	161	4726
33	165	4710
34	170	4697
35	174	4679
36	179	4665
37	184	4659
38	189	4659
39	193	4648
40	198	4634
41	203	4638
42	207	4626
43	212	4617
44	217	4606
45	221	4596
46	226	4583
47	230	4571
48	236	4582
49	241	4580
50	245	4570
51	250	4574
52	255	4564
53	259	4553
54	265	4570
55	271	4576
56	276	4566
57	281	4578
58	286	4566
59	291	4559
60	296	4566
61	301	4554
62	305	4546
63	310	4543
64	315	4535
65	319	4523
66	325	4533
67	330	4525
68	335	4521
69	340	4524
70	345	4515
71	349	4505
72	354	4501
73	359	4492
74	363	4482
75	368	4476
76	372	4467
77	377	4456
78	381	4444
79	386	4440
80	390	4428
81	394	4417
82	399	4408
83	403	4400
84	408	4394
85	413	4393
86	417	4384
87	422	4377
88	427	4372
89	432	4371
90	437	4365
91	441	4357
92	446	4353
93	450	4344
94	455	4336
95	459	4331
96	464	4324
97	469	4319
98	473	4312
99	478	4310
100	483	4301
101	487	4295
102	492	4291
103	497	4283
104	501	4275
105	506	4270
106	512	4273
107	517	4270
108	521	4263
109	526	4257
110	530	4248
111	535	4242
112	540	4241
113	544	4235
114	549	4229
115	554	4223
116	558	4215
117	563	4210
118	567	4204
119	572	4196
120	576	4187
121	581	4181
122	586	4178
123	590	4174
124	595	4170
125	600	4165
126	604	4157
127	609	4150
128	613	4141
129	618	4139
130	622	4132
131	627	4124
132	632	4123
133	637	4116
134	641	4111
135	646	4107
136	650	4099
137	655	4092
138	659	4084
139	664	4083
140	669	4076
141	673	4069
142	678	4065
143	682	4058
144	686	4050
145	691	4044
146	696	4042
147	701	4039
148	706	4036
149	711	4031
150	716	4027
151	721	4023
152	726	4022
153	731	4018
154	735	4011
155	740	4008
156	745	4002
157	749	3996
158	754	3990
159	758	3983
160	763	3977
161	767	3971
162	773	3969
163	777	3963
164	782	3959
165	788	3959
166	794	3961
167	798	3953
168	803	3949
169	807	3942
170	811	3935
171	816	3929
172	820	3923
173	825	3916
174	829	3910
175	835	3909
176	839	3904
177	844	3899
178	849	3895
179	853	3889
180	858	3883
181	862	3878
182	867	3872
183	871	3865
184	876	3860
185	881	3855
186	885	3850
187	890	3844
188	896	3845
189	900	3837
190	905	3833
191	910	3831
192	915	3826
193	919	3819
194	924	3816
195	928	3808
196	932	3802
197	937	3797
198	942	3792
199	946	3786
200	951	3781
201	956	3778
202	960	3772
203	965	3766
204	969	3761
205	974	3755
206	978	3749
207	982	3742
208	988	3742
209	993	3737
210	997	3731
211	1002	3724
212	1006	3719
213	1011	3713
214	1015	3708
215	1020	3704
216	1025	3698
217	1029	3692
218	1034	3689
219	1038	3682
220	1043	3676
221	1047	3671
222	1052	3666
223	1056	3660
224	1061	3655
225	1067	3654
226	1070	3646
227	1074	3639
228	1079	3634
229	1083	3627
230	1088	3625
231	1093	3620
232	1097	3613
233	1102	3607
234	1106	3600
235	1111	3598
236	1115	3590
237	1119	3585
238	1124	3580
239	1129	3576
240	1133	3569
241	1137	3562
242	1141	3556
243	1146	3551
244	1150	3546
245	1155	3540
246	1159	3534
247	1164	3529
248	1168	3524
249	1173	3520
250	1178	3515
251	1182	3510
252	1187	3504
253	1190	3497
254	1194	3490
255	1199	3486
256	1205	3485
257	1209	3479
258	1214	3473
259	1219	3469
260	1223	3464
261	1227	3458
262	1232	3453
263	1236	3448
264	1241	3442
265	1245	3436
266	1250	3432
267	1254	3427
268	1259	3421
269	1263	3416
270	1267	3410
271	1272	3404
272	1276	3398
273	1281	3395
274	1285	3389
275	1289	3383
276	1294	3377
277	1298	3372
278	1302	3367
279	1307	3361
280	1312	3358
281	1316	3351
282	1320	3345
283	1324	3338
284	1329	3334
285	1333	3329
286	1337	3323
287	1342	3319
288	1346	3313
289	1350	3307
290	1355	3303
291	1360	3297
292	1364	3291
293	1368	3285
294	1372	3281
295	1377	3275
296	1381	3269
297	1385	3263
298	1389	3258
299	1394	3253
300	1398	3247
301	1402	3241
302	1406	3235
303	1410	3228
304	1414	3222
305	1419	3218
306	1423	3213
307	1428	3209
308	1432	3203
309	1437	3199
310	1441	3193
311	1445	3188
312	1450	3182
313	1453	3176
314	1457	3170
315	1462	3166
316	1467	3162
317	1472	3158
318	1477	3153
319	1482	3149
320	1486	3144
321	1490	3137
322	1495	3133
323	1499	3128
324	1503	3122
325	1507	3116
326	1512	3111
327	1516	3106
328	1519	3099
329	1524	3094
330	1529	3090
331	1533	3085
332	1537	3079
333	1541	3073
334	1545	3068
335	1550	3063
336	1555	3059
337	1559	3053
338	1563	3047
339	1567	3042
340	1572	3038
341	1576	3032
342	1580	3026
343	1584	3021
344	1588	3016
345	1592	3010
346	1597	3005
347	1602	3001
348	1607	2997
349	1611	2992
350	1616	2987
351	1620	2984
352	1626	2980
353	1631	2976
354	1636	2973
355	1641	2969
356	1645	2963
357	1649	2958
358	1653	2952
359	1657	2947
360	1662	2942
361	1666	2937
362	1671	2932
363	1675	2927
364	1679	2921
365	1683	2917
366	1688	2912
367	1692	2907
368	1697	2902
369	1702	2898
370	1706	2892
371	1710	2887
372	1714	2881
373	1718	2875
374	1722	2871
375	1727	2866
376	1732	2862
377	1736	2856
378	1740	2851
379	1744	2846
380	1748	2841
381	1753	2836
382	1757	2830
383	1761	2825
384	1766	2821
385	1770	2815
386	1774	2810
387	1778	2805
388	1783	2801
389	1787	2795
390	1791	2791
391	1795	2785
392	1800	2780
393	1804	2775
394	1808	2769
395	1812	2764
396	1816	2759
397	1822	2755
398	1827	2752
399	1832	2748
400	1838	2745
401	1842	2740
402	1846	2735
403	1852	2732
404	1856	2727
405	1860	2721
406	1864	2715
407	1869	2712
408	1873	2706
409	1877	2701
410	1882	2697
411	1886	2692
412	1890	2686
413	1893	2680
414	1897	2675
415	1902	2670
416	1906	2665
417	1910	2660
418	1915	2655
419	1919	2650
420	1923	2644
421	1926	2639
422	1930	2633
423	1934	2627
424	1938	2622
425	1942	2617
426	1946	2612
427	1950	2606
428	1954	2601
429	1959	2596
430	1963	2592
431	1967	2586
432	1970	2580
433	1974	2575
434	1978	2570
435	1982	2564
436	1986	2559
437	1991	2555
438	1995	2550
439	1999	2545
440	2003	2539
441	2008	2535
442	2012	2530
443	2016	2525
444	2021	2520
445	2025	2515
446	2028	2509
447	2032	2504
448	2037	2499
449	2041	2494
450	2045	2489
451	2049	2484
452	2053	2479
453	2057	2474
454	2061	2469
455	2066	2464
456	2070	2459
457	2074	2454
458	2078	2449
459	2082	2445
460	2086	2440
