iter	Passed	Remaining
0	2	2311
1	4	2208
2	7	2395
3	10	2496
4	13	2625
5	15	2602
6	18	2578
7	20	2601
8	23	2620
9	26	2656
10	29	2643
11	31	2587
12	33	2552
13	35	2503
14	37	2468
15	39	2436
16	42	2448
17	44	2446
18	46	2422
19	49	2401
20	51	2378
21	53	2364
22	55	2355
23	57	2342
24	59	2330
25	61	2320
26	63	2304
27	65	2286
28	67	2273
29	70	2263
30	72	2259
31	74	2248
32	76	2243
33	78	2233
34	80	2221
35	82	2211
36	84	2202
37	86	2201
38	88	2191
39	91	2188
40	93	2183
41	95	2180
42	97	2172
43	99	2164
44	101	2161
45	103	2153
46	105	2148
47	108	2142
48	110	2135
49	111	2127
50	114	2123
51	116	2117
52	118	2116
53	120	2111
54	122	2105
55	124	2102
56	127	2102
57	129	2096
58	131	2089
59	133	2086
60	135	2082
61	137	2077
62	139	2072
63	141	2068
64	143	2061
65	145	2056
66	147	2055
67	149	2049
68	151	2044
69	153	2039
70	155	2036
71	157	2034
72	159	2029
73	161	2025
74	163	2020
75	165	2014
76	167	2010
77	169	2007
78	171	2004
79	174	2005
80	176	2007
81	179	2010
82	181	2009
83	184	2006
84	185	2002
85	188	2000
86	190	1999
87	192	1998
88	195	1996
89	197	1994
90	199	1990
91	201	1987
92	203	1983
93	205	1985
94	208	1986
95	210	1984
96	212	1981
97	214	1977
98	216	1973
99	218	1968
100	220	1966
101	223	1965
102	225	1964
103	227	1963
104	229	1958
105	231	1954
106	233	1951
107	236	1950
108	238	1949
109	240	1946
110	242	1944
111	245	1942
112	247	1940
113	249	1938
114	251	1935
115	253	1934
116	256	1933
117	258	1930
118	260	1928
119	262	1926
120	264	1923
121	267	1923
122	269	1922
123	271	1921
124	273	1917
125	275	1914
126	277	1910
127	279	1907
128	281	1904
129	284	1901
130	286	1899
131	288	1896
132	290	1893
133	292	1890
134	294	1886
135	296	1882
136	298	1879
137	301	1880
138	303	1878
139	305	1875
140	307	1872
141	309	1869
142	311	1866
143	313	1863
144	315	1862
145	318	1861
146	320	1860
147	323	1859
148	325	1856
149	327	1855
150	329	1851
151	331	1849
152	333	1847
153	336	1846
154	338	1845
155	340	1843
156	342	1840
157	344	1836
158	346	1834
159	348	1831
160	351	1831
161	353	1829
162	355	1826
163	357	1822
164	359	1819
165	361	1818
166	364	1816
167	366	1813
168	368	1810
169	370	1806
170	372	1804
171	374	1802
172	376	1801
173	378	1798
174	381	1796
175	383	1795
176	385	1793
177	388	1791
178	390	1788
179	392	1788
180	395	1787
181	397	1786
182	400	1787
183	402	1784
184	404	1782
185	406	1780
186	408	1777
187	410	1774
188	413	1772
189	415	1769
190	417	1768
191	419	1765
192	422	1764
193	424	1761
194	426	1759
195	428	1756
196	430	1754
197	432	1753
198	435	1751
199	437	1750
200	439	1748
201	441	1745
202	444	1744
203	446	1742
204	448	1740
205	451	1738
206	453	1736
207	455	1733
208	456	1729
209	459	1727
210	461	1723
211	463	1721
212	465	1719
213	467	1717
214	469	1715
215	471	1712
216	473	1710
217	475	1707
218	477	1704
219	479	1700
220	482	1699
221	484	1697
222	486	1694
223	488	1691
224	490	1688
225	492	1685
226	494	1682
227	496	1681
228	498	1678
229	500	1675
230	502	1672
231	504	1670
232	506	1667
233	508	1664
234	510	1662
235	512	1659
236	515	1658
237	516	1655
238	518	1652
239	521	1650
240	523	1648
241	525	1645
242	527	1643
243	529	1641
244	531	1639
245	533	1636
246	535	1633
247	537	1630
248	539	1627
249	541	1624
250	543	1622
251	545	1620
252	548	1618
253	550	1615
254	551	1612
255	554	1610
256	556	1607
257	558	1605
258	560	1603
259	562	1601
260	564	1598
261	566	1596
262	568	1593
263	570	1590
264	572	1587
265	574	1584
266	576	1582
267	578	1579
268	580	1577
269	582	1574
270	584	1572
271	586	1569
272	588	1566
273	590	1563
274	592	1562
275	594	1560
276	597	1558
277	598	1555
278	600	1552
279	602	1549
280	604	1547
281	607	1546
282	609	1543
283	611	1541
284	613	1538
285	615	1535
286	616	1532
287	618	1530
288	621	1528
289	623	1525
290	625	1524
291	627	1521
292	629	1519
293	631	1516
294	633	1513
295	635	1510
296	637	1509
297	639	1506
298	641	1504
299	643	1502
300	645	1499
301	647	1496
302	649	1493
303	651	1490
304	653	1488
305	654	1485
306	656	1482
307	658	1479
308	660	1477
309	662	1474
310	664	1472
311	666	1470
312	669	1469
313	671	1466
314	672	1463
315	675	1461
316	677	1458
317	678	1455
318	680	1453
319	682	1451
320	684	1448
321	686	1445
322	687	1442
323	689	1439
324	691	1436
325	693	1434
326	695	1430
327	696	1427
328	699	1425
329	700	1422
330	702	1419
331	704	1416
332	705	1414
333	707	1411
334	709	1408
335	711	1405
336	713	1403
337	715	1400
338	717	1398
339	718	1395
340	720	1392
341	722	1390
342	724	1388
343	726	1386
344	728	1383
345	730	1380
346	732	1378
347	734	1375
348	735	1372
349	737	1370
350	739	1368
351	741	1365
352	744	1363
353	745	1361
354	747	1358
355	749	1355
356	751	1353
357	752	1350
358	755	1348
359	756	1345
360	758	1342
361	760	1340
362	762	1337
363	764	1335
364	765	1332
365	767	1329
366	769	1326
367	771	1324
368	773	1322
369	775	1319
370	777	1317
371	779	1315
372	781	1313
373	782	1310
374	784	1308
375	786	1305
376	788	1303
377	790	1300
378	792	1298
379	794	1295
380	795	1292
381	797	1290
382	799	1287
383	801	1285
384	803	1284
385	805	1281
386	807	1279
387	809	1276
388	811	1274
389	813	1272
390	815	1270
391	817	1267
392	819	1266
393	821	1264
394	823	1261
395	825	1259
396	827	1257
397	829	1254
398	831	1252
399	833	1249
400	835	1247
401	836	1245
402	838	1242
403	840	1240
404	842	1237
405	844	1235
406	846	1232
407	847	1230
408	849	1227
409	851	1225
410	853	1223
411	855	1221
412	857	1218
413	859	1216
414	861	1214
415	863	1211
416	865	1209
417	867	1207
418	868	1204
419	870	1202
420	872	1199
421	874	1197
422	875	1194
423	877	1192
424	879	1189
425	881	1187
426	883	1185
427	884	1182
428	886	1180
429	888	1177
430	890	1175
431	892	1172
432	893	1170
433	895	1168
434	897	1166
435	899	1164
436	901	1161
437	903	1159
438	904	1156
439	906	1153
440	908	1151
441	911	1150
442	913	1148
443	915	1146
444	917	1144
445	919	1141
446	920	1139
447	922	1136
448	924	1134
449	926	1131
450	927	1129
451	929	1126
452	931	1124
453	933	1122
454	935	1120
455	936	1117
456	938	1115
457	940	1113
458	942	1110
459	943	1108
460	945	1105
461	947	1103
462	949	1100
463	950	1098
464	952	1095
465	954	1093
466	956	1091
467	958	1089
468	959	1086
469	961	1084
470	963	1082
471	965	1079
472	966	1077
473	968	1075
474	970	1072
475	972	1070
476	974	1068
477	975	1065
478	977	1063
479	979	1061
480	981	1058
481	983	1056
482	985	1054
483	987	1052
484	988	1049
485	990	1047
486	992	1045
487	994	1042
488	995	1040
489	997	1038
490	999	1036
491	1001	1034
492	1003	1031
493	1005	1029
494	1006	1027
495	1008	1025
496	1010	1022
497	1012	1020
498	1014	1018
499	1016	1016
500	1018	1014
501	1020	1011
502	1021	1009
503	1023	1007
504	1025	1005
505	1027	1003
506	1029	1000
507	1031	998
508	1033	996
509	1034	994
510	1036	992
511	1038	989
512	1040	987
513	1042	985
514	1043	983
515	1045	980
516	1047	978
517	1049	976
518	1051	974
519	1053	972
520	1055	970
521	1057	968
522	1058	965
523	1060	963
524	1062	961
525	1064	959
526	1066	957
527	1068	954
528	1069	952
529	1071	950
530	1073	947
531	1074	945
532	1076	943
533	1078	941
534	1080	938
535	1081	936
536	1083	934
537	1085	931
538	1086	929
539	1088	927
540	1090	924
541	1092	922
542	1094	920
543	1095	918
544	1097	916
545	1099	914
546	1100	911
547	1102	909
548	1104	907
549	1105	904
550	1107	902
551	1109	900
552	1111	898
553	1113	896
554	1114	893
555	1116	891
556	1118	889
557	1119	886
558	1121	884
559	1123	882
560	1124	880
561	1126	878
562	1128	875
563	1130	873
564	1131	871
565	1133	868
566	1134	866
567	1136	864
568	1138	862
569	1140	860
570	1142	858
571	1144	856
572	1145	853
573	1147	851
574	1149	849
575	1150	847
576	1152	844
577	1154	842
578	1156	840
579	1157	838
580	1159	836
581	1161	834
582	1162	831
583	1164	829
584	1166	827
585	1168	825
586	1170	823
587	1171	821
588	1173	818
589	1175	816
590	1177	814
591	1178	812
592	1180	810
593	1182	808
594	1183	805
595	1186	804
596	1188	802
597	1190	800
598	1192	798
599	1193	795
600	1195	793
601	1197	791
602	1199	789
603	1201	787
604	1202	785
605	1204	783
606	1206	781
607	1208	779
608	1210	777
609	1212	774
610	1213	772
611	1215	770
612	1217	768
613	1219	766
614	1222	765
615	1224	763
616	1226	761
617	1228	759
618	1230	757
619	1232	755
620	1234	753
621	1236	751
622	1238	749
623	1240	747
624	1242	745
625	1244	743
626	1246	741
627	1248	739
628	1250	737
629	1252	735
630	1254	733
631	1256	731
632	1258	729
633	1260	727
634	1262	725
635	1264	723
636	1266	721
637	1268	719
638	1270	717
639	1272	715
640	1274	713
641	1276	711
642	1278	709
643	1280	707
644	1282	705
645	1284	703
646	1286	701
647	1288	699
648	1290	697
649	1292	695
650	1294	693
651	1296	691
652	1298	689
653	1300	687
654	1302	685
655	1304	683
656	1306	681
657	1308	680
658	1310	678
659	1312	676
660	1314	674
661	1316	672
662	1318	670
663	1320	668
664	1322	666
665	1324	664
666	1326	662
667	1328	660
668	1330	658
669	1332	656
670	1334	654
671	1336	652
672	1338	650
673	1340	648
674	1342	646
675	1344	644
676	1345	642
677	1347	640
678	1349	637
679	1351	636
680	1353	634
681	1355	632
682	1357	630
683	1359	628
684	1361	626
685	1363	624
686	1365	622
687	1367	620
688	1369	618
689	1371	616
690	1373	614
691	1375	612
692	1377	610
693	1379	608
694	1381	606
695	1383	604
696	1385	602
697	1386	600
698	1389	598
699	1391	596
700	1393	594
701	1395	592
702	1396	590
703	1398	588
704	1400	586
705	1402	584
706	1404	582
707	1406	579
708	1408	577
709	1410	575
710	1412	574
711	1414	572
712	1416	570
713	1417	567
714	1419	565
715	1421	563
716	1423	561
717	1425	559
718	1426	557
719	1429	555
720	1431	553
721	1432	551
722	1434	549
723	1436	547
724	1437	545
725	1439	543
726	1441	541
727	1443	539
728	1445	537
729	1447	535
730	1449	533
731	1450	531
732	1452	529
733	1454	527
734	1455	524
735	1457	522
736	1459	520
737	1461	518
738	1463	516
739	1465	514
740	1466	512
741	1468	510
742	1470	508
743	1471	506
744	1473	504
745	1475	502
746	1477	500
747	1478	498
748	1480	496
749	1482	494
750	1483	491
751	1485	489
752	1486	487
753	1488	485
754	1490	483
755	1492	481
756	1494	479
757	1495	477
758	1497	475
759	1499	473
760	1500	471
761	1502	469
762	1504	467
763	1505	465
764	1507	463
765	1509	461
766	1510	458
767	1512	456
768	1514	454
769	1515	452
770	1517	450
771	1519	448
772	1521	446
773	1522	444
774	1524	442
775	1526	440
776	1527	438
777	1529	436
778	1531	434
779	1532	432
780	1534	430
781	1536	428
782	1538	426
783	1539	424
784	1541	422
785	1543	420
786	1544	418
787	1546	416
