iter	Passed	Remaining
0	1	1017
1	1	923
2	2	847
3	3	780
4	3	738
5	4	723
6	5	737
7	5	729
8	6	715
9	7	705
10	7	697
11	8	687
12	9	684
13	9	684
14	10	677
15	10	669
16	11	664
17	12	660
18	12	667
19	13	670
20	14	672
21	15	667
22	15	673
23	16	676
24	17	674
25	18	674
26	18	675
27	19	671
28	19	667
29	20	665
30	21	662
31	21	657
32	22	652
33	22	651
34	23	647
35	24	645
36	24	643
37	25	641
38	25	639
39	26	644
40	27	644
41	28	644
42	28	641
43	29	639
44	30	637
45	30	634
46	31	638
47	32	642
48	33	642
49	33	642
50	34	641
51	35	639
52	35	637
53	36	635
54	36	632
55	37	630
56	38	629
57	38	628
58	39	626
59	39	623
60	40	624
61	41	622
62	41	618
63	42	617
64	42	616
65	43	614
66	43	612
67	44	610
68	45	608
69	45	605
70	46	605
71	47	607
72	47	608
73	48	608
74	49	606
75	49	605
76	50	603
77	51	602
78	51	601
79	52	599
80	52	598
81	53	596
82	53	595
83	54	593
84	55	594
85	55	593
86	56	592
87	57	591
88	57	590
89	58	589
90	58	588
91	59	587
92	60	586
93	60	585
94	61	585
95	62	586
96	63	587
97	63	586
98	64	585
99	65	585
100	65	584
101	66	582
102	66	582
103	67	581
104	68	580
105	68	579
106	69	578
107	70	579
108	70	578
109	71	577
110	71	576
111	72	575
112	73	574
113	73	572
114	74	572
115	75	571
116	75	570
117	76	569
118	76	568
119	77	567
120	78	566
121	78	565
122	79	564
123	79	563
124	80	562
125	80	561
126	81	560
127	82	559
128	82	558
129	83	558
130	84	558
131	84	557
132	85	556
133	85	555
134	86	554
135	87	553
136	87	552
137	88	551
138	88	550
139	89	549
140	90	548
141	90	547
142	91	546
143	91	545
144	92	544
145	93	544
146	93	543
147	94	543
148	94	542
149	95	541
150	96	540
151	96	540
152	97	539
153	98	538
154	98	539
155	99	538
156	100	537
157	100	536
158	101	535
159	101	534
160	102	533
161	103	533
162	103	532
163	104	531
164	104	530
165	105	529
166	105	528
167	106	527
168	107	527
169	107	527
170	108	526
171	109	526
172	110	525
173	110	525
174	111	525
175	112	524
176	112	524
177	113	524
178	114	523
179	114	523
180	115	522
181	116	521
182	116	521
183	117	521
184	118	520
185	118	520
186	119	519
187	120	518
188	120	518
189	121	517
190	122	516
191	122	515
192	123	515
193	124	515
194	124	515
195	125	514
196	126	514
197	126	513
198	127	512
199	128	512
200	128	511
201	129	511
202	130	511
203	130	510
204	131	509
205	132	509
206	132	508
207	133	507
208	133	506
209	134	505
210	135	505
211	135	504
212	136	503
213	137	503
214	137	502
215	138	502
216	139	502
217	139	502
218	141	503
219	141	502
220	142	502
221	143	502
222	143	501
223	144	501
224	145	500
225	145	499
226	146	499
227	147	498
