age,fnlwgt,education_num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,salary
43.0,356481.12,14.0,0.0,0.0,60.0,State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
32.0,33963.42,13.0,0.0,0.0,50.0,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
42.0,186335.77,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,1
66.0,98364.164,10.0,5009.557,0.0,35.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
56.0,96831.055,10.0,15024.0,0.0,40.0,Federal-gov,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,1
31.0,197890.03,4.0,0.0,0.0,40.0,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,Mexico,1
29.444933,239408.44,13.0,0.0,0.0,16.0,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,1
44.0,199996.33,14.0,0.0,0.0,40.0,Local-gov,Masters,Widowed,Prof-specialty,Not-in-family,White,Female,United-States,1
40.0,76679.195,12.0,0.0,0.0,50.0,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
51.0,107219.05,13.0,0.0,0.0,72.0,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
44.0,230734.25,10.0,7000.7144,0.0,40.0,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
43.0,106396.77,14.0,0.0,0.0,40.0,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
42.0,183972.69,13.0,7688.0,0.0,40.0,Local-gov,Bachelors,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,United-States,1
46.0,162752.58,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,1
51.0,110966.45,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
54.0,152449.16,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,1
37.0,109083.734,9.0,4741.1963,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,1
48.195156,263028.25,10.0,0.0,0.0,61.59564,Private,Some-college,Separated,Sales,Unmarried,White,Male,United-States,1
41.0,260088.6,14.0,7298.0,0.0,35.0,Local-gov,Masters,Widowed,Prof-specialty,Unmarried,White,Female,United-States,1
39.0,214407.61,11.0,0.0,0.0,44.0,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,1
51.0,25998.99,9.0,3103.0,0.0,40.0,Local-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,1
61.0,176807.62,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,1
50.0,317399.62,9.0,0.0,1886.9384,40.0,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
42.0,71373.0,7.0,0.0,0.0,40.0,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
47.0,250890.47,13.0,0.0,0.0,55.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Iran,1
26.0,453415.9,15.0,0.0,0.0,65.0,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
29.0,32111.78,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,1
43.0,87380.43,9.0,0.0,0.0,51.030468,Self-emp-inc,HS-grad,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,United-States,1
55.0,188550.22,9.0,0.0,0.0,60.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
28.0,33277.727,13.0,0.0,0.0,45.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
40.0,147584.28,9.0,0.0,0.0,50.0,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
42.0,375801.97,13.0,15024.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
43.0,324023.84,13.0,0.0,0.0,50.0,Private,Bachelors,Divorced,Other-service,Not-in-family,White,Male,United-States,1
44.0,101729.54,14.0,0.0,0.0,50.0,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
40.0,127393.266,9.0,0.0,1837.292,60.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
37.0,455774.97,10.0,0.0,1887.0,40.0,Private,Some-college,Married-civ-spouse,Sales,Husband,Black,Male,United-States,1
43.0,204545.73,15.0,15024.0,0.0,40.0,Private,Prof-school,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,1
45.0,191578.73,13.0,7298.0,0.0,40.0,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
27.231716,285918.88,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
53.0,208467.11,14.0,0.0,0.0,50.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
55.0,252365.34,12.0,0.0,0.0,40.0,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,1
45.0,164098.1,14.0,0.0,0.0,55.0,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,1
34.0,114800.516,15.0,14195.955,0.0,48.0,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
34.0,186518.3,13.0,0.0,0.0,45.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
35.0,178427.53,15.0,0.0,0.0,45.0,Private,Prof-school,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,1
41.0,188814.77,9.0,0.0,0.0,35.0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,1
35.0,58938.367,10.0,0.0,0.0,50.0,Private,Some-college,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,1
50.31176,105589.97,10.0,0.0,0.0,40.0,Local-gov,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
55.0,87465.445,16.0,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
57.0,122082.31,13.0,0.0,0.0,50.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
61.0,167154.98,13.0,7688.0,0.0,50.0,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
28.0,161341.44,13.0,0.0,0.0,40.0,Federal-gov,Bachelors,Never-married,Prof-specialty,Unmarried,White,Female,United-States,1
48.0,202350.08,14.0,7336.2944,0.0,50.0,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,Black,Female,United-States,1
31.0,205266.48,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
46.0,256899.28,14.0,0.0,0.0,40.0,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,1
41.0,117236.35,14.0,15024.0,0.0,45.0,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
