step,mloss,gloss,loss
1.0,1.9804,1.034,3.0144
2.0,1.9908,11.4467,13.4375
3.0,1.8813,1.14,3.0213
4.0,1.8741,1.0414,2.9155
5.0,1.6095,1.083,2.6925
6.0,1.4876,1.1167,2.6043000000000003
7.0,1.2829,1.0545,2.3373999999999997
8.0,1.3076,1.0487,2.3563
9.0,1.2228,1.0114,2.2342000000000004
10.0,1.3053,1.053,2.3583
11.0,1.1698,1.0399,2.2096999999999998
12.0,1.2116,1.0384,2.25
13.0,1.2382,1.0229,2.2611
14.0,1.1847,1.0524,2.2371
15.0,1.2576,1.0168,2.2744
16.0,1.3794,1.0017,2.3811
17.0,1.3064,1.0095,2.3159
18.0,1.202,1.0007,2.2027
19.0,1.2312,1.0282,2.2594000000000003
20.0,1.2506,1.0102,2.2607999999999997
21.0,1.2,0.9851,2.1851
22.0,1.2084,0.9976,2.206
23.0,1.226,1.0314,2.2574
24.0,1.1756,1.0134,2.189
25.0,1.1899,0.9739,2.1638
26.0,1.047,1.0019,2.0488999999999997
27.0,1.1966,1.0174,2.2140000000000004
28.0,1.1394,1.0014,2.1408
29.0,1.1929,1.0095,2.2024
30.0,1.2868,1.0076,2.2944
31.0,1.1864,1.0121,2.1985
32.0,1.1682,1.0143,2.1825
33.0,1.1329,0.9965,2.1294
34.0,1.2026,0.9914,2.194
35.0,1.275,1.0228,2.2977999999999996
36.0,1.21,0.9989,2.2089
37.0,1.1463,1.0024,2.1487
38.0,1.2774,0.9987,2.2761
39.0,1.2027,1.008,2.2107
40.0,1.134,0.9972,2.1311999999999998
41.0,1.2005,0.9958,2.1963
42.0,1.1441,0.9998,2.1439
43.0,1.1968,0.9981,2.1949
44.0,1.1704,0.9846,2.1550000000000002
45.0,1.0517,0.9985,2.0502000000000002
46.0,1.1097,1.0035,2.1132
47.0,1.1632,0.9695,2.1327
48.0,1.143,1.0332,2.1761999999999997
49.0,1.2101,0.9915,2.2016
50.0,1.2678,1.0215,2.2893
51.0,1.2354,1.0034,2.2388000000000003
52.0,1.1586,0.9905,2.1491000000000002
53.0,1.1848,0.9898,2.1746
54.0,1.2994,0.9975,2.2969
55.0,1.2666,1.0073,2.2739000000000003
56.0,1.1677,1.0153,2.183
57.0,1.2492,0.9935,2.2427
58.0,1.2517,1.0385,2.2902
59.0,1.1584,0.9828,2.1412
60.0,1.1429,0.9889,2.1318
61.0,1.214,0.9741,2.1881
62.0,1.1176,0.9717,2.0892999999999997
63.0,1.09,1.0323,2.1223
64.0,1.25,1.0057,2.2557
65.0,1.1445,1.005,2.1494999999999997
66.0,1.1912,1.0177,2.2089
67.0,1.1894,1.0092,2.1986
68.0,1.1334,1.0182,2.1516
69.0,1.319,0.9731,2.2921
70.0,1.1807,0.9743,2.1550000000000002
71.0,1.2213,0.9966,2.2179
72.0,1.2182,0.9954,2.2136
73.0,1.1799,0.9993,2.1792
74.0,1.1716,1.0163,2.1879
75.0,1.1417,1.0331,2.1748
76.0,1.1812,0.9924,2.1736
77.0,1.1271,0.9917,2.1188000000000002
78.0,1.2553,0.9826,2.2379000000000002
79.0,1.2975,1.007,2.3045
80.0,1.2658,1.0062,2.2720000000000002
81.0,1.2326,0.9706,2.2032
82.0,1.1174,1.0172,2.1346
83.0,1.1735,0.9819,2.1554
84.0,1.1376,0.9976,2.1352
85.0,1.2113,1.0105,2.2218
86.0,1.1924,1.0092,2.2016
87.0,1.1286,0.9875,2.1161000000000003
88.0,1.1588,1.0329,2.1917
89.0,1.3324,1.0051,2.3375000000000004
90.0,1.2242,1.0244,2.2485999999999997
91.0,1.2144,1.0032,2.2176
92.0,1.1966,0.9803,2.1769
93.0,1.1787,1.0124,2.1911
94.0,1.1729,0.9894,2.1623
95.0,1.2969,0.9955,2.2923999999999998
96.0,1.2267,1.0008,2.2275
97.0,1.2282,1.0505,2.2786999999999997
98.0,1.1991,0.9794,2.1785
99.0,1.1521,1.0326,2.1847
100.0,1.2678,1.0138,2.2816
101.0,1.1752,1.0105,2.1856999999999998
102.0,1.2245,0.9861,2.2106
103.0,1.1174,1.0107,2.1281
104.0,1.1652,0.9522,2.1174
105.0,1.1172,1.0211,2.1383
106.0,1.1545,0.9968,2.1513
107.0,1.2584,1.003,2.2614
108.0,1.2125,1.0457,2.2582
109.0,1.1638,0.9591,2.1229
110.0,1.1187,1.0026,2.1212999999999997
111.0,1.17,0.9999,2.1699
112.0,1.3388,1.0338,2.3726000000000003
113.0,1.4823,1.0158,2.4981
114.0,1.2537,1.0018,2.2555
115.0,1.1642,1.0141,2.1783
116.0,1.1998,1.0062,2.206
117.0,1.1348,0.9689,2.1037
118.0,1.1895,1.0156,2.2051
119.0,1.31,0.9669,2.2769
120.0,1.2161,0.9705,2.1866
121.0,1.1646,0.9876,2.1522
122.0,1.1663,1.0145,2.1807999999999996
123.0,1.5698,0.9878,2.5576
124.0,1.1748,1.005,2.1798
125.0,1.1833,1.0008,2.1841
126.0,1.1618,0.9976,2.1593999999999998
127.0,1.2556,0.9846,2.2402
128.0,1.3693,1.015,2.3842999999999996
129.0,1.18,1.0018,2.1818
130.0,1.2552,0.9907,2.2459000000000002
131.0,1.2155,1.0143,2.2298
132.0,1.1286,0.9873,2.1159
133.0,1.2008,1.0045,2.2053000000000003
134.0,1.1159,1.0324,2.1483
135.0,1.1999,0.959,2.1589
136.0,1.234,0.9887,2.2227
137.0,1.1799,0.9841,2.1639999999999997
138.0,1.0573,1.0176,2.0749
139.0,1.1821,0.9974,2.1795
140.0,1.151,1.0465,2.1975
141.0,1.2937,1.0264,2.3201
142.0,1.2345,1.0172,2.2517
143.0,1.1354,0.9935,2.1289
144.0,1.1864,1.0029,2.1893
145.0,1.2806,0.995,2.2756
146.0,1.2025,1.0208,2.2233
147.0,1.143,1.0174,2.1604
148.0,1.153,0.9632,2.1162
149.0,1.1337,1.0314,2.1651
150.0,1.259,1.0163,2.2752999999999997
151.0,1.2471,0.9834,2.2305
152.0,1.1781,0.9892,2.1673
153.0,1.2557,1.009,2.2647
154.0,1.1236,1.032,2.1555999999999997
155.0,1.2181,0.97,2.1881
156.0,1.3258,1.0459,2.3717
157.0,1.3766,0.9897,2.3663
158.0,1.1567,1.0173,2.1740000000000004
159.0,1.1938,0.9811,2.1749
160.0,1.1702,0.9833,2.1534999999999997
161.0,1.1735,1.0007,2.1742
162.0,1.2091,1.0052,2.2143
163.0,1.2041,1.0079,2.2119999999999997
164.0,1.1721,0.9908,2.1629
165.0,1.1695,1.0104,2.1799
166.0,1.2111,1.0194,2.2305
167.0,1.2091,1.0003,2.2094
168.0,1.1518,0.9698,2.1216
169.0,1.1868,1.014,2.2008
170.0,1.0663,0.9982,2.0645
171.0,1.1232,0.9682,2.0914
172.0,1.2697,1.0351,2.3048
173.0,1.1895,1.0084,2.1978999999999997
174.0,1.2944,0.9795,2.2739000000000003
175.0,1.22,0.9933,2.2133
176.0,1.1823,1.0005,2.1828
177.0,1.1715,1.0254,2.1969000000000003
178.0,1.1615,1.0243,2.1858
179.0,1.2763,1.0298,2.3061
180.0,1.1927,0.9911,2.1838
181.0,1.0638,1.0056,2.0694
182.0,1.4345,0.992,2.4265
183.0,1.1707,1.0316,2.2023
184.0,1.2154,1.0048,2.2202
185.0,1.1952,0.9738,2.169
186.0,1.1627,0.9798,2.1425
187.0,1.2624,1.0097,2.2721
188.0,1.1195,1.0132,2.1327
189.0,1.2372,0.9942,2.2314
190.0,1.1983,0.9823,2.1806
191.0,1.2931,0.999,2.2921
192.0,1.2313,0.9877,2.2190000000000003
193.0,1.1958,1.0375,2.2333
194.0,1.2053,0.9757,2.181
195.0,1.1967,0.9921,2.1888
196.0,1.2305,0.987,2.2175
197.0,1.1298,1.0134,2.1432
198.0,1.2499,0.9999,2.2498
199.0,1.1588,1.0054,2.1642
200.0,1.1039,1.0141,2.1180000000000003
201.0,1.2578,0.9693,2.2271
202.0,1.137,0.9992,2.1362
203.0,1.1789,0.9876,2.1665
204.0,1.1688,1.0165,2.1853
205.0,1.3047,1.0216,2.3263
206.0,1.2237,0.9862,2.2099
207.0,1.2984,0.9857,2.2841
208.0,1.3206,0.9968,2.3174
209.0,1.248,1.0374,2.2854
210.0,1.2035,0.9973,2.2008
211.0,1.2666,1.014,2.2805999999999997
212.0,1.1928,0.9943,2.1871
213.0,1.1215,0.9896,2.1111
214.0,1.2357,1.0186,2.2542999999999997
215.0,1.2691,0.9745,2.2436
216.0,1.3003,1.0004,2.3007
217.0,1.2003,0.9921,2.1924
218.0,1.2203,0.9843,2.2046
219.0,1.172,0.9895,2.1615
220.0,1.1053,0.9972,2.1025
221.0,1.1471,0.9856,2.1327
222.0,1.1632,1.0002,2.1634
223.0,1.2123,1.0079,2.2202
224.0,1.2437,0.9643,2.208
225.0,1.2197,1.0199,2.2396000000000003
226.0,1.1965,1.0299,2.2264
227.0,1.206,1.0107,2.2167
228.0,1.1138,1.0048,2.1186
229.0,1.1902,0.9991,2.1893
230.0,1.1854,0.9863,2.1717
231.0,1.212,0.979,2.191
232.0,1.0905,1.0025,2.093
233.0,1.2538,1.0151,2.2689
234.0,1.1582,1.0627,2.2209
235.0,1.1618,0.9663,2.1281
236.0,1.1732,0.9834,2.1566
237.0,1.09,0.987,2.077
238.0,1.3284,1.012,2.3404
239.0,1.2843,1.0136,2.2979000000000003
240.0,1.1664,1.0159,2.1823
241.0,1.1602,1.0171,2.1773
242.0,1.0913,0.9872,2.0785
243.0,1.1267,1.0258,2.1525
244.0,1.1334,1.043,2.1764
245.0,1.1598,0.9821,2.1418999999999997
246.0,1.3032,0.9854,2.2885999999999997
247.0,1.1672,0.9916,2.1588000000000003
248.0,1.2323,1.0299,2.2622
249.0,1.2556,0.9923,2.2479
250.0,1.1602,0.9885,2.1487
251.0,1.1335,0.997,2.1305
252.0,1.2093,0.9928,2.2021
253.0,1.141,1.0257,2.1667
254.0,1.124,1.0166,2.1406
255.0,1.0983,0.9865,2.0848
256.0,1.1633,1.003,2.1662999999999997
257.0,1.3103,1.0168,2.3270999999999997
258.0,1.1849,0.9769,2.1618
259.0,1.074,0.969,2.043
260.0,1.195,1.011,2.206
261.0,1.2629,0.9969,2.2598
262.0,1.1914,0.982,2.1734
263.0,1.2058,1.0151,2.2209
264.0,1.1798,0.9834,2.1632
265.0,1.1092,1.0248,2.134
266.0,1.0971,0.9835,2.0806
267.0,1.163,1.0091,2.1721000000000004
268.0,1.1119,1.0022,2.1141
269.0,1.174,1.0097,2.1837
270.0,1.1904,1.0211,2.2115
271.0,1.0631,1.0099,2.073
272.0,1.1073,1.007,2.1143
273.0,1.2895,0.9754,2.2649
274.0,1.1813,1.0169,2.1982
275.0,1.2098,1.0194,2.2292
276.0,1.3594,1.0366,2.396
277.0,1.1307,0.9996,2.1303
278.0,1.1413,0.9829,2.1242
279.0,1.2424,0.9949,2.2373
280.0,1.2529,0.9826,2.2355
281.0,1.1128,1.0078,2.1206
282.0,1.1001,0.9932,2.0933
283.0,1.1431,1.0042,2.1473
284.0,1.0908,0.9787,2.0695
285.0,1.2821,1.0048,2.2869
286.0,1.024,1.0188,2.0427999999999997
287.0,1.2033,1.0089,2.2122
288.0,1.1069,1.0124,2.1193
289.0,1.1237,1.0299,2.1536
290.0,1.1579,1.0106,2.1685
291.0,1.0738,0.9845,2.0583
292.0,1.1778,1.0298,2.2076000000000002
293.0,1.1813,0.9973,2.1786
294.0,1.1985,0.9996,2.1981
295.0,1.1622,1.0117,2.1738999999999997
296.0,1.1781,1.016,2.1940999999999997
297.0,1.1997,1.0301,2.2298
298.0,1.249,1.0043,2.2533000000000003
299.0,1.2019,1.0016,2.2035
