age,fnlwgt,education_num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,salary
38.0,198229.02,10.0,0.0,0.0,40.0,Local-gov,Some-college,Separated,Adm-clerical,Unmarried,White,Male,United-States,1
53.0,25797.9,10.0,15024.0,0.0,40.0,Private,Some-college,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,United-States,1
40.37567,179426.44,9.0,5178.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
41.0,201929.2,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
57.0,125743.5,13.0,0.0,0.0,50.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,England,1
44.0,88238.234,14.0,0.0,0.0,40.0,Federal-gov,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,1
58.0,167631.12,10.0,0.0,0.0,50.0,Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,1
50.0,426844.38,16.0,0.0,0.0,40.0,Local-gov,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
56.0,143816.62,14.0,0.0,0.0,45.0,State-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,nan,1
39.0,102100.98,15.0,0.0,0.0,20.0,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
44.0,122185.18,14.0,0.0,0.0,55.382236,Private,Masters,Never-married,Exec-managerial,Unmarried,White,Male,United-States,1
37.0,145083.2,9.0,0.0,2024.7897,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,1
24.0,205274.22,13.0,0.0,1976.7926,40.0,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
59.0,265399.34,14.0,0.0,2367.0142,15.0,Self-emp-not-inc,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,1
84.212906,129933.29,11.0,15024.0,0.0,7.4383936,nan,Assoc-voc,Married-civ-spouse,nan,Husband,White,Male,United-States,1
59.0,183100.53,13.0,7688.0,0.0,35.0,nan,Bachelors,Married-civ-spouse,nan,Husband,White,Male,United-States,1
38.0,141733.42,9.0,0.0,0.0,41.802128,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Black,Male,United-States,1
45.0,109026.55,10.0,0.0,0.0,25.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
