age,fnlwgt,education_num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,salary
37.0,367229.16,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,1
35.0,39232.348,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,1
47.0,199664.75,13.0,0.0,0.0,50.0,Local-gov,Bachelors,Never-married,Prof-specialty,Unmarried,White,Male,United-States,1
34.0,110546.18,7.0,7298.0,0.0,50.0,Federal-gov,11th,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
62.0,204531.92,9.0,14797.64,0.0,40.0,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
58.0,180949.84,13.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,nan,1
44.0,144420.62,14.0,0.0,2209.1904,50.0,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
49.0,158691.72,13.0,15024.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,Philippines,1
28.0,110063.73,11.0,99999.0,0.0,50.0,Federal-gov,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,1
30.0,35734.58,10.0,0.0,0.0,50.0,Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,1
50.0,225579.98,9.0,7688.0,0.0,40.0,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
27.0,410132.84,6.0,0.0,0.0,40.0,Private,10th,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States,1
29.0,59643.816,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,1
43.0,197927.23,9.0,0.0,0.0,40.0,State-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,United-States,1
30.0,162926.08,13.0,0.0,0.0,60.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
64.0,226273.69,9.0,0.0,0.0,40.0,Local-gov,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,United-States,1
50.0,209877.81,5.0,0.0,0.0,40.0,Self-emp-inc,9th,Never-married,Exec-managerial,Not-in-family,White,Male,Poland,1
49.0,183791.22,15.0,0.0,0.0,40.0,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
38.0,292802.53,14.0,7688.0,0.0,45.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,Italy,1
33.0,294690.84,14.0,0.0,0.0,40.0,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,1
48.0,97986.71,13.0,0.0,0.0,60.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
51.0,52753.812,11.0,3064.6504,0.0,45.0,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
45.0,208922.02,10.0,0.0,0.0,40.0,Federal-gov,Some-college,Never-married,Adm-clerical,Unmarried,White,Female,United-States,1
47.0,241398.6,14.0,0.0,0.0,45.0,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,1
66.0,127908.68,6.0,15214.472,0.0,50.0,Private,9th,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,1
44.0,204095.31,16.0,0.0,0.0,50.0,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,Philippines,1
63.0,261647.58,9.0,0.0,0.0,40.0,nan,HS-grad,Married-civ-spouse,nan,Husband,White,Male,United-States,1
36.0,145574.58,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
29.0,220314.19,12.0,0.0,0.0,50.0,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
34.0,30318.031,13.0,0.0,0.0,37.0,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,United-States,1
35.706856,313384.44,12.0,0.0,0.0,70.0,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
28.0,253846.53,9.0,0.0,0.0,50.0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,1
27.0,489199.3,12.0,0.0,0.0,40.0,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
58.0,172911.56,9.0,0.0,0.0,50.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
30.0,314810.6,11.0,0.0,0.0,40.0,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
55.556602,221310.12,9.0,0.0,0.0,55.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
51.3883,69551.33,14.0,0.0,0.0,35.0,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,1
