step,mloss,gloss,loss
1.0,0.8139,1.1652,1.9790999999999999
2.0,0.4652,2.3017,2.7668999999999997
3.0,0.5335,5.8182,6.3517
4.0,0.388,1.475,1.863
5.0,0.2545,1.4701,1.7246
6.0,0.1675,1.3328,1.5003
7.0,0.2101,1.2029,1.413
8.0,0.6631,1.1127,1.7758
9.0,0.2495,1.0621,1.3116
10.0,0.1197,1.0402,1.1599
11.0,0.1716,1.0224,1.194
12.0,0.17,1.0069,1.1768999999999998
13.0,0.239,1.0048,1.2437999999999998
14.0,0.1811,0.9994,1.1804999999999999
15.0,0.1834,1.018,1.2014
16.0,0.2201,1.0037,1.2238
17.0,0.1506,0.9926,1.1432
18.0,0.1359,0.9993,1.1352
19.0,0.1385,1.0132,1.1517000000000002
20.0,0.1221,0.9769,1.099
21.0,0.1304,1.0067,1.1371
22.0,0.2625,0.9975,1.26
23.0,0.1267,1.0159,1.1426
24.0,0.1632,0.9891,1.1522999999999999
25.0,0.1587,1.0112,1.1699000000000002
26.0,0.1507,0.9985,1.1492
27.0,0.0784,1.0146,1.093
28.0,0.1797,1.0185,1.1982
29.0,0.1631,1.0166,1.1797
30.0,0.2245,1.0116,1.2361
31.0,0.1142,1.0121,1.1263
32.0,0.1269,0.9957,1.1226
33.0,0.0949,1.0128,1.1077
34.0,0.1039,0.9816,1.0855000000000001
35.0,0.0687,0.9954,1.0641
36.0,0.0808,0.9927,1.0735000000000001
37.0,0.0934,0.9808,1.0742
38.0,0.1831,0.9988,1.1819
39.0,0.0775,1.0046,1.0820999999999998
40.0,0.1072,0.9777,1.0849
41.0,0.1635,1.0175,1.181
42.0,0.1141,0.9874,1.1015000000000001
43.0,0.0633,0.9978,1.0611
44.0,0.1167,0.9786,1.0953
45.0,0.0538,0.9847,1.0385
46.0,0.0484,1.006,1.0544
47.0,0.0661,0.9717,1.0378
48.0,0.102,1.0105,1.1125
49.0,0.0806,1.0091,1.0897000000000001
50.0,0.1476,0.9727,1.1203
51.0,0.0813,0.9934,1.0747
52.0,0.0423,0.9966,1.0389
53.0,0.1366,0.971,1.1076
54.0,0.0598,0.9684,1.0282
55.0,0.1768,0.9779,1.1547
56.0,0.0658,0.9856,1.0514000000000001
57.0,0.1371,0.9852,1.1223
58.0,0.2623,0.9855,1.2478
59.0,0.1014,0.9687,1.0701
60.0,0.0779,0.9514,1.0293
61.0,0.2008,0.9766,1.1774
62.0,0.1889,0.9748,1.1637
63.0,0.1288,0.9871,1.1159
64.0,0.086,0.947,1.033
65.0,0.0546,0.9695,1.0241
66.0,0.0895,0.9635,1.053
67.0,0.1231,0.9387,1.0618
68.0,0.2799,0.981,1.2609
69.0,0.0985,0.9893,1.0877999999999999
70.0,0.019,0.9613,0.9803000000000001
71.0,0.0621,0.9572,1.0193
72.0,0.0558,0.9525,1.0083
73.0,0.0904,0.9665,1.0569
74.0,0.0828,0.9264,1.0092
75.0,0.0631,0.9391,1.0022
76.0,0.0336,0.9393,0.9729
77.0,0.0367,0.9541,0.9907999999999999
78.0,0.0418,0.9335,0.9753
79.0,0.082,0.9245,1.0065
80.0,0.0686,0.9629,1.0314999999999999
81.0,0.0558,0.926,0.9818
82.0,0.0271,0.9115,0.9386
83.0,0.0906,0.9248,1.0153999999999999
84.0,0.0418,0.9274,0.9692
85.0,0.0241,0.9306,0.9547
86.0,0.0431,0.919,0.9621000000000001
87.0,0.0671,0.924,0.9911000000000001
88.0,0.0405,0.9208,0.9612999999999999
89.0,0.0734,0.9018,0.9752000000000001
90.0,0.032,0.9057,0.9377
91.0,0.0835,0.9228,1.0063
92.0,0.0209,0.9064,0.9273
93.0,0.0232,0.8784,0.9016
94.0,0.0289,0.903,0.9319000000000001
95.0,0.0396,0.8985,0.9380999999999999
96.0,0.0651,0.8862,0.9513
97.0,0.0404,0.895,0.9354
98.0,0.0381,0.9629,1.001
99.0,0.0986,0.8809,0.9795
100.0,0.0356,0.8928,0.9284
101.0,0.0222,0.8767,0.8989
102.0,0.0239,0.8562,0.8801
103.0,0.0482,0.8548,0.903
104.0,0.0655,0.8398,0.9053
105.0,0.05,0.8465,0.8965000000000001
106.0,0.0473,0.848,0.8953
107.0,0.0286,0.8536,0.8822
108.0,0.0329,0.8406,0.8735
109.0,0.0404,0.8352,0.8756
110.0,0.0227,0.8182,0.8409000000000001
111.0,0.0437,0.8342,0.8779
112.0,0.0356,0.8243,0.8599
113.0,0.0221,0.8218,0.8439
114.0,0.0209,0.8128,0.8337
115.0,0.0272,0.8403,0.8675
116.0,0.0273,0.8596,0.8869
117.0,0.0287,0.7706,0.7992999999999999
118.0,0.0428,0.807,0.8498
119.0,0.0352,0.8015,0.8367
120.0,0.0351,0.7371,0.7722
121.0,0.0212,0.7988,0.82
122.0,0.021,0.7626,0.7836
123.0,0.0289,0.7589,0.7878000000000001
124.0,0.035,0.7644,0.7994
125.0,0.0385,0.7483,0.7867999999999999
126.0,0.033,0.7434,0.7764
127.0,0.0256,0.7237,0.7493
128.0,0.0212,0.7457,0.7669
129.0,0.0356,0.709,0.7445999999999999
130.0,0.016,0.7178,0.7338
131.0,0.0115,0.7232,0.7346999999999999
132.0,0.023,0.7188,0.7418
133.0,0.0162,0.7292,0.7454
134.0,0.0222,0.7073,0.7295
135.0,0.0225,0.7188,0.7413
136.0,0.0398,0.7129,0.7526999999999999
137.0,0.0186,0.7099,0.7284999999999999
138.0,0.0292,0.6952,0.7244
139.0,0.0181,0.7172,0.7353
140.0,0.0486,0.7154,0.764
141.0,0.0198,0.7048,0.7246
142.0,0.0915,0.6776,0.7691
143.0,0.0433,0.7218,0.7651
144.0,0.1373,0.7226,0.8599
145.0,0.0506,0.7062,0.7568
146.0,0.0209,0.6983,0.7192000000000001
147.0,0.0254,0.7065,0.7319
148.0,0.019,0.668,0.687
149.0,0.0306,0.6769,0.7074999999999999
150.0,0.0135,0.6773,0.6908
151.0,0.0136,0.6484,0.6619999999999999
152.0,0.0177,0.687,0.7047000000000001
153.0,0.0274,0.6608,0.6882
154.0,0.0208,0.6536,0.6744
155.0,0.016,0.6333,0.6493
156.0,0.0188,0.6491,0.6679
157.0,0.042,0.6416,0.6836
158.0,0.0171,0.6226,0.6397
159.0,0.0196,0.6231,0.6426999999999999
160.0,0.0134,0.6357,0.6491
161.0,0.0211,0.6018,0.6229
162.0,0.0335,0.6157,0.6492
163.0,0.0158,0.6082,0.624
164.0,0.0249,0.5985,0.6234000000000001
165.0,0.0284,0.6013,0.6296999999999999
166.0,0.0299,0.6165,0.6464000000000001
167.0,0.0422,0.5803,0.6225
168.0,0.0276,0.5957,0.6233
169.0,0.0157,0.5673,0.5830000000000001
170.0,0.0276,0.5902,0.6177999999999999
171.0,0.0265,0.5655,0.592
172.0,0.0553,0.6046,0.6599
173.0,0.0271,0.5851,0.6122
174.0,0.1075,0.5827,0.6902
175.0,0.039,0.617,0.656
176.0,0.065,0.5942,0.6592
177.0,0.037,0.5962,0.6332
178.0,0.0229,0.5946,0.6175
179.0,0.0263,0.5626,0.5889
180.0,0.0128,0.5518,0.5646
181.0,0.0328,0.5955,0.6283000000000001
182.0,0.0281,0.5691,0.5972000000000001
183.0,0.0608,0.5599,0.6206999999999999
184.0,0.0326,0.5722,0.6048
185.0,0.035,0.5482,0.5832
186.0,0.021,0.5451,0.5661
187.0,0.0139,0.5609,0.5748
188.0,0.0262,0.5443,0.5705
189.0,0.0251,0.5608,0.5859
190.0,0.0171,0.5184,0.5355
191.0,0.0167,0.5417,0.5584
192.0,0.0244,0.5368,0.5612
193.0,0.0159,0.5126,0.5285
194.0,0.0379,0.5173,0.5552
195.0,0.0528,0.5327,0.5854999999999999
196.0,0.0254,0.4963,0.5217
197.0,0.0243,0.5141,0.5384
198.0,0.0345,0.518,0.5525
199.0,0.0294,0.5135,0.5428999999999999
200.0,0.0354,0.5188,0.5542
201.0,0.053,0.522,0.5750000000000001
202.0,0.0307,0.4994,0.5301
203.0,0.0266,0.4885,0.5151
204.0,0.0391,0.5159,0.555
205.0,0.0302,0.4958,0.526
206.0,0.0163,0.4911,0.5074
207.0,0.0132,0.4749,0.4881
208.0,0.0179,0.4872,0.5051
209.0,0.0302,0.4773,0.5075
210.0,0.0046,0.4595,0.4641
211.0,0.0204,0.4847,0.5051
212.0,0.035,0.4576,0.49260000000000004
213.0,0.0452,0.4481,0.4933
214.0,0.0119,0.459,0.47090000000000004
215.0,0.0291,0.4631,0.4922
216.0,0.0462,0.4525,0.49870000000000003
217.0,0.0679,0.4324,0.5003
218.0,0.0264,0.4729,0.49929999999999997
219.0,0.0254,0.4572,0.4826
220.0,0.0173,0.4539,0.4712
221.0,0.0154,0.5046,0.52
222.0,0.0333,0.4404,0.4737
223.0,0.0182,0.4438,0.46199999999999997
224.0,0.0223,0.4203,0.4426
225.0,0.0286,0.434,0.4626
226.0,0.1423,0.4343,0.5766
227.0,0.0096,0.4305,0.4401
228.0,0.0308,0.4459,0.4767
229.0,0.0274,0.4132,0.4406
230.0,0.0323,0.4163,0.4486
231.0,0.018,0.422,0.44
232.0,0.0471,0.4151,0.46220000000000006
233.0,0.0385,0.407,0.44549999999999995
234.0,0.0574,0.4389,0.4963
235.0,0.0743,0.422,0.49629999999999996
236.0,0.0213,0.4324,0.4537
237.0,0.0427,0.4328,0.47550000000000003
238.0,0.0142,0.4322,0.44639999999999996
239.0,0.0258,0.4183,0.4441
240.0,0.0268,0.4186,0.4454
241.0,0.0176,0.4211,0.4387
242.0,0.0318,0.4092,0.441
243.0,0.0304,0.4178,0.4482
244.0,0.026,0.3979,0.4239
245.0,0.0177,0.375,0.3927
246.0,0.0246,0.3833,0.4079
247.0,0.0121,0.3937,0.4058
248.0,0.0224,0.3845,0.4069
249.0,0.0275,0.3928,0.4203
250.0,0.0322,0.3787,0.4109
251.0,0.0349,0.3759,0.4108
252.0,0.0294,0.356,0.38539999999999996
253.0,0.0338,0.3763,0.4101
254.0,0.0276,0.3597,0.38730000000000003
255.0,0.0182,0.3732,0.39139999999999997
256.0,0.0244,0.3746,0.39899999999999997
257.0,0.0313,0.3539,0.3852
258.0,0.0159,0.3625,0.3784
259.0,0.0238,0.363,0.3868
260.0,0.0008,0.3356,0.33640000000000003
261.0,0.0138,0.3484,0.36219999999999997
262.0,0.0498,0.3706,0.4204
263.0,0.0197,0.348,0.36769999999999997
264.0,0.0201,0.3436,0.3637
265.0,0.0316,0.3745,0.4061
266.0,0.0214,0.3596,0.38099999999999995
267.0,0.0187,0.3515,0.3702
268.0,0.0287,0.3329,0.3616
269.0,0.0262,0.3509,0.3771
270.0,0.0163,0.3305,0.3468
271.0,0.0144,0.3288,0.3432
272.0,0.0115,0.3547,0.3662
273.0,0.0227,0.3396,0.3623
274.0,0.0173,0.3355,0.3528
275.0,0.0342,0.3114,0.3456
276.0,0.0696,0.3448,0.4144
277.0,0.0291,0.3615,0.3906
278.0,0.0278,0.3366,0.3644
279.0,0.0169,0.3487,0.36560000000000004
280.0,0.0168,0.3335,0.3503
281.0,0.0255,0.3442,0.36970000000000003
282.0,0.0391,0.3321,0.37120000000000003
283.0,0.0301,0.3372,0.3673
284.0,0.0183,0.3339,0.35219999999999996
285.0,0.0114,0.3412,0.3526
286.0,0.0206,0.3383,0.3589
287.0,0.022,0.339,0.36100000000000004
288.0,0.02,0.3354,0.3554
289.0,0.0219,0.3324,0.35429999999999995
290.0,0.0111,0.3298,0.3409
291.0,0.0316,0.3206,0.3522
292.0,0.0136,0.3362,0.3498
293.0,0.0137,0.3235,0.3372
294.0,0.0164,0.3291,0.34550000000000003
295.0,0.0333,0.3325,0.3658
296.0,0.0155,0.3267,0.3422
297.0,0.0333,0.3298,0.3631
298.0,0.02,0.311,0.331
299.0,0.0219,0.3245,0.3464
300.0,0.0073,0.3552,0.3625
301.0,0.0272,0.3375,0.3647
302.0,0.0154,0.3291,0.34450000000000003
303.0,0.0266,0.3155,0.3421
304.0,0.0135,0.3272,0.3407
305.0,0.0249,0.3336,0.3585
306.0,0.0144,0.3112,0.3256
307.0,0.0562,0.3224,0.37860000000000005
308.0,0.0267,0.3257,0.3524
309.0,0.044,0.3301,0.3741
310.0,0.0164,0.3412,0.35760000000000003
311.0,0.0285,0.3234,0.35190000000000005
312.0,0.0274,0.3261,0.3535
313.0,0.028,0.3156,0.3436
314.0,0.0202,0.3232,0.3434
315.0,0.0131,0.3351,0.3482
316.0,0.0273,0.3147,0.34199999999999997
317.0,0.0158,0.3169,0.3327
318.0,0.0162,0.3158,0.332
319.0,0.0157,0.3334,0.34909999999999997
320.0,0.0227,0.3217,0.3444
321.0,0.0251,0.3189,0.34400000000000003
322.0,0.0306,0.3251,0.3557
323.0,0.0354,0.3104,0.3458
324.0,0.0119,0.3284,0.34030000000000005
