length(m),height(cm),condition,color_type,X1,X2,breed_category,pet_category
0.08,43.11878,3.0,Brown,18,4,2.0,category0
0.87,20.742134,2.0,White,0,1,0.0,category0
0.77,10.528619,3.0,Yellow,11,4,2.0,category0
0.32,13.33501,2.0,Red,0,1,0.0,category0
0.02037484,20.045624,3.0,Gray,0,1,2.0,category0
0.83,22.916521,2.0,White,0,1,0.0,category0
0.56673366,16.88436,3.0,Gray,11,4,2.0,category0
0.07,39.175964,3.0,Black,18,4,2.0,category0
0.09,32.654617,3.0,Black,18,4,2.0,category0
0.64,32.175,3.0,Gray,0,3,2.0,category0
0.3,12.562971,3.0,Gray,0,4,2.0,category0
0.86,34.156544,3.0,Liver,12,1,2.0,category0
0.67656446,9.166692,2.0,Red,18,4,1.0,category0
0.64,30.362864,3.0,Gray,13,9,2.0,category0
0.6813295,9.423234,3.0,Gray,0,1,2.0,category0
0.84,15.579301,2.0,White,13,9,0.0,category0
0.3736246,21.9009,2.0,Red,0,1,0.0,category0
0.66,9.918586,2.0,Black,0,3,0.0,category0
0.86799824,42.9069,2.0,Black,18,4,1.0,category0
0.93,14.738881,3.0,Blue,0,1,2.0,category0
0.58253646,38.51751,2.0,White,0,3,0.0,category0
0.43521196,30.407196,2.0,White,13,9,0.0,category0
0.4007085,11.677052,2.0,White,11,4,1.0,category0
0.9298294,22.554243,3.0,Orange Tabby,13,9,2.0,category0
0.81,11.976149,3.0,Yellow,11,4,2.0,category0
0.9,41.939976,2.0,Brown Brindle,9,2,0.0,category0
0.44,19.797138,3.0,Black,15,4,2.0,category0
0.76,25.03619,2.0,White,11,4,0.0,category0
0.85,25.427738,3.0,Gray,0,1,2.0,category0
0.19,35.252888,2.0,Gray,18,4,1.0,category0
0.5741076,9.704536,2.0,White,13,9,1.0,category0
0.82,15.811059,2.0,White,11,4,0.0,category0
0.75,23.54783,3.0,Green,0,1,2.0,category0
0.86,23.852226,3.0,White,0,1,2.0,category0
0.6,40.22316,3.0,Tricolor,7,1,2.0,category0
0.68705416,29.014904,2.0,White,18,4,1.0,category0
0.45207775,31.422483,2.0,White,0,3,0.0,category0
0.72,33.853252,2.0,White,0,3,0.0,category0
0.7088093,16.494211,2.0,White,0,1,0.0,category0
0.48,31.554886,3.0,Gray,0,1,2.0,category0
0.59,17.866377,2.0,Tan,0,1,0.0,category0
0.15,46.622124,3.0,Brown,18,4,2.0,category0
0.11,8.358625,3.0,Gray,18,4,2.0,category0
0.53,12.25459,3.0,Gray,18,4,2.0,category0
0.1,44.12889,2.0,White,0,3,0.0,category0
0.8801894,7.3821483,3.0,Brown,18,4,2.0,category0
0.39,25.155163,2.0,Gray,13,9,1.0,category0
0.84,20.619589,2.0,Black,7,1,0.0,category0
0.98,41.267567,3.0,Brown,7,1,2.0,category0
0.88606,23.988272,2.0,Red,0,1,0.0,category0
0.85,40.13293,2.0,Red,0,1,0.0,category0
0.25,5.4762344,2.0,Tricolor,13,9,1.0,category0
0.64,18.11309,2.0,Black,0,1,0.0,category0
0.87,18.99208,3.0,Red,7,1,2.0,category0
0.46791196,17.026403,3.0,Gray,0,1,2.0,category0
0.92250127,33.488,2.0,White,0,1,0.0,category0
0.46,30.494598,3.0,Gray,18,4,2.0,category0
0.86,14.198246,3.0,Black,7,1,2.0,category0
0.09,38.30591,3.0,Blue,18,4,2.0,category0
0.24,16.538803,3.0,Brown,7,1,2.0,category0
0.98,15.407052,3.0,Yellow,12,1,2.0,category0
0.8394826,6.1233554,2.0,White,0,7,0.0,category0
0.51,33.795567,2.0,White,0,3,0.0,category0
