step,mloss,gloss,loss
1.0,2.0032,2.1863,4.189500000000001
2.0,3.3377,586.7587,590.0964
3.0,1.8826,1.89,3.7725999999999997
4.0,1.6727,1.6759,3.3486000000000002
5.0,1.5898,0.9603,2.5501
6.0,1.4455,1.0308,2.4763
7.0,1.299,1.5971,2.8960999999999997
8.0,1.3082,1.5286,2.8368
9.0,1.3295,1.3103,2.6398
10.0,1.2574,1.0777,2.3351
11.0,1.3908,1.1807,2.5715000000000003
12.0,1.2961,1.1665,2.4626
13.0,1.2352,0.9827,2.2179
14.0,1.3169,1.157,2.4739
15.0,1.5118,1.0323,2.5441000000000003
16.0,1.3222,1.0495,2.3717
17.0,1.311,1.0104,2.3213999999999997
18.0,1.232,1.0363,2.2683
19.0,1.2691,1.0314,2.3005
20.0,1.2951,1.0474,2.3425000000000002
21.0,1.2347,1.0138,2.2485
22.0,1.1453,0.9878,2.1330999999999998
23.0,1.2496,1.0203,2.2699
24.0,1.307,1.0026,2.3095999999999997
25.0,1.3442,1.0497,2.3939000000000004
26.0,1.2284,1.0503,2.2786999999999997
27.0,1.2416,1.0275,2.2691
28.0,1.1966,1.0287,2.2253
29.0,1.2835,1.0283,2.3118
30.0,1.3134,1.0234,2.3368
31.0,1.3374,0.9806,2.318
32.0,1.2874,0.9885,2.2759
33.0,1.2439,1.0821,2.326
34.0,1.2911,0.9659,2.2569999999999997
35.0,1.2677,0.9743,2.242
36.0,1.399,0.9593,2.3583
37.0,1.1306,1.0563,2.1869
38.0,1.1812,0.98,2.1612
39.0,1.241,1.0142,2.2552000000000003
40.0,1.2885,1.0089,2.2973999999999997
41.0,1.1499,1.0617,2.2116
42.0,1.2122,1.0214,2.2336
43.0,1.2068,0.9579,2.1647
44.0,1.2139,1.0344,2.2483
45.0,1.2114,1.011,2.2224
46.0,1.2878,1.0434,2.3312
47.0,1.2285,0.9689,2.1974
48.0,1.4325,0.9516,2.3841
49.0,1.1787,1.073,2.2517
50.0,1.1474,0.9711,2.1185
51.0,1.4273,0.9629,2.3902
52.0,1.1112,1.0411,2.1523
53.0,1.2084,1.0221,2.2305
54.0,1.3052,0.9604,2.2656
55.0,1.2461,0.9638,2.2099
56.0,1.3242,1.0219,2.3461
57.0,1.2345,1.0144,2.2489
58.0,1.1668,1.0174,2.1842
59.0,1.1752,1.0216,2.1968
60.0,1.1887,1.0121,2.2008
61.0,1.1936,0.9738,2.1673999999999998
62.0,1.2692,0.972,2.2412
63.0,1.2111,1.0319,2.2430000000000003
64.0,1.2879,0.9844,2.2723
65.0,1.0252,0.9763,2.0015
66.0,1.1788,0.9823,2.1611000000000002
67.0,1.1743,0.9966,2.1709
68.0,1.1806,1.0559,2.2365000000000004
69.0,1.2206,0.9894,2.21
70.0,1.1201,1.0339,2.154
71.0,1.2485,1.0455,2.294
72.0,1.1566,0.999,2.1556
73.0,1.124,1.0274,2.1514
74.0,1.1693,1.0108,2.1801
75.0,1.026,1.0175,2.0435
76.0,1.0971,1.0432,2.1403
77.0,1.1217,0.9911,2.1128
78.0,1.1376,0.9888,2.1264
79.0,1.1282,1.0378,2.1660000000000004
80.0,1.131,1.0368,2.1677999999999997
81.0,1.11,1.0109,2.1209
82.0,1.0755,0.9732,2.0486999999999997
83.0,1.2863,1.0501,2.3364000000000003
84.0,1.1473,0.9948,2.1421
85.0,1.0815,1.0244,2.1059
86.0,1.1402,0.9297,2.0699
87.0,1.0965,1.0677,2.1642
88.0,1.1219,1.0757,2.1976
89.0,1.0211,1.0333,2.0544000000000002
90.0,1.0597,0.9767,2.0364
91.0,1.0744,0.9878,2.0622
92.0,1.19,0.9994,2.1894
93.0,1.0021,1.0095,2.0116
94.0,1.1751,1.0336,2.2087000000000003
95.0,1.1258,1.009,2.1348
96.0,1.1252,0.9585,2.0837
97.0,1.174,1.0116,2.1856
98.0,1.106,1.0556,2.1616
99.0,1.0174,1.0148,2.0322
100.0,1.1141,1.018,2.1321000000000003
101.0,1.0216,1.0736,2.0952
102.0,1.0781,1.0251,2.1032
103.0,1.1753,1.003,2.1783
104.0,1.1879,1.0494,2.2373000000000003
105.0,1.1054,1.0336,2.1390000000000002
106.0,1.1029,0.979,2.0819
107.0,1.0896,1.0001,2.0896999999999997
108.0,1.0861,0.9971,2.0832
109.0,1.1079,1.0132,2.1211
110.0,1.1022,0.9766,2.0788
111.0,1.0376,0.9646,2.0022
112.0,1.3596,0.9656,2.3251999999999997
113.0,1.2757,1.02,2.2957
114.0,1.0946,0.9628,2.0574
115.0,1.1681,1.0245,2.1925999999999997
116.0,1.292,0.9906,2.2826
117.0,1.1362,1.0133,2.1495
118.0,1.1044,1.0295,2.1339
119.0,1.1034,1.0508,2.1542
120.0,1.1041,1.0334,2.1375
121.0,1.1535,0.9868,2.1403
122.0,1.0727,1.0444,2.1170999999999998
