length(m),height(cm),condition,color_type,X1,X2,breed_category,pet_category
0.84,37.247738,2.0,White,0,1,0.0,category0
0.75,8.42212,3.0,Brown,0,1,2.0,category0
0.72,13.892823,2.0,Brown,13,9,0.0,category0
0.39,32.275005,3.0,Red,0,1,2.0,category0
0.4012673,6.2321634,2.0,Brown,13,9,0.0,category0
0.86,29.6979,3.0,Tricolor,7,1,2.0,category0
0.62,26.638056,3.0,White,0,7,2.0,category0
0.64,30.98592,2.0,Blue Point,0,1,0.0,category0
0.61,17.52041,2.0,Red,0,1,0.0,category0
0.84,30.16504,3.0,White,0,1,2.0,category0
0.6690997,10.327931,2.0,Tricolor,13,9,0.0,category0
0.35,25.223452,3.0,Tricolor,0,7,2.0,category0
0.41,22.61852,3.0,Tricolor,0,1,2.0,category0
0.88,30.743727,3.0,Black,18,4,2.0,category0
0.51,46.94007,2.0,White,13,9,0.0,category0
0.45,25.89228,2.0,Brown,0,1,0.0,category0
0.83,35.498554,3.0,Gray,0,1,2.0,category0
0.57,28.020618,3.0,Black,18,4,2.0,category0
0.18,11.41434,2.0,Black,0,1,1.0,category0
0.8526487,9.545788,3.0,Gray,0,3,2.0,category0
0.12,12.592477,3.0,Gray,18,4,2.0,category0
0.48,10.047887,2.0,White,13,9,0.0,category0
0.89,46.451954,2.0,White,0,3,0.0,category0
0.66953874,7.39245,3.0,Red,0,6,2.0,category0
0.63,25.467646,3.0,Blue,7,1,2.0,category0
0.92,25.02137,2.0,White,0,1,0.0,category0
0.09,10.190321,3.0,White,7,1,2.0,category0
0.86,16.410267,3.0,Brown,18,4,2.0,category0
0.4,21.638695,3.0,Red,0,7,2.0,category0
0.88,28.6763,3.0,Gray,0,1,2.0,category0
0.89,11.412452,2.0,White,0,1,0.0,category0
0.87141746,16.182457,2.0,Cream Tabby,0,1,0.0,category0
0.92,46.970238,3.0,Blue,18,4,2.0,category0
0.71,39.704037,3.0,Yellow,0,1,2.0,category0
0.73,9.9184065,3.0,White,0,1,2.0,category0
0.94371164,7.1776032,3.0,Brown,0,1,2.0,category0
0.98,8.992822,2.0,Brown,0,1,0.0,category0
0.03,9.365302,2.0,Red,1,4,1.0,category0
0.2,32.145058,3.0,Yellow,0,1,2.0,category0
0.7310536,32.15935,2.0,Black,0,1,0.0,category0
0.93,20.326445,3.0,Gray,7,1,2.0,category0
0.67436105,5.895428,2.0,Black,13,9,0.0,category0
0.43,14.7583885,3.0,Black,0,7,2.0,category0
0.42256722,29.528381,3.0,Blue,0,1,2.0,category0
0.47,18.311508,3.0,Yellow,0,1,2.0,category0
0.8467992,41.358227,2.0,Black,0,1,0.0,category0
0.6624624,11.621413,3.0,Brown,18,4,2.0,category0
0.5065149,9.64089,2.0,Black,18,4,1.0,category0
0.75,18.148834,2.0,Red,0,1,0.0,category0
0.96,46.06246,3.0,Red,0,1,2.0,category0
0.55,8.701577,2.0,Brown Merle,13,9,0.0,category0
0.62,23.364496,3.0,Yellow,0,1,2.0,category0
0.92,13.218565,3.0,Gray,0,1,2.0,category0
0.937268,14.299657,3.0,Red,12,1,2.0,category0
0.82,45.168007,3.0,Blue,0,1,2.0,category0
0.23,14.915669,2.0,Tricolor,13,9,0.0,category0
0.18,34.055256,3.0,Gray,18,4,2.0,category0
0.9,43.95942,2.0,White,0,3,0.0,category0
0.53,5.84766,2.0,Black,18,4,1.0,category0
0.36276856,39.88047,3.0,Tan,0,1,2.0,category0
0.95,24.11349,2.0,Yellow,0,1,0.0,category0
0.17,40.85023,3.0,Brown,18,4,2.0,category0
0.4733749,23.8606,3.0,Yellow,0,1,2.0,category0
0.39,11.830332,2.0,Brown,13,9,0.0,category0
0.99,35.926434,2.0,Black,0,1,0.0,category0
0.36,18.809793,3.0,Red,13,9,2.0,category0
0.15,32.21667,3.0,Red,18,4,2.0,category0
0.9,23.06271,2.0,Blue,0,3,0.0,category0
0.43,13.929325,2.0,Buff,0,1,0.0,category0
0.20429145,15.826046,3.0,White,0,1,2.0,category0
0.32,14.278487,3.0,Black,0,1,2.0,category0
0.2313239,8.705973,3.0,White,0,1,2.0,category0
0.53,21.578585,3.0,Blue,0,1,2.0,category0
0.77,23.983372,2.0,White,7,1,1.0,category0
0.35,22.95704,3.0,Blue,0,7,2.0,category0
0.6045693,29.69833,2.0,Tricolor,0,3,0.0,category0
0.79,33.37834,3.0,Gray,0,1,2.0,category0
0.4,25.10344,3.0,White,0,1,2.0,category0
0.81,13.868846,3.0,White,0,1,2.0,category0
0.49429595,20.399378,3.0,Blue,0,1,2.0,category0
0.67278284,24.310457,2.0,Sable,0,1,0.0,category0
0.31376204,15.883002,2.0,White,13,9,0.0,category0
0.38,13.672216,2.0,Red,13,9,0.0,category0
0.73,28.954126,3.0,Red,7,1,2.0,category0
0.7084779,14.049066,2.0,Black,0,1,0.0,category0
0.38,32.26384,3.0,Gray,18,4,2.0,category0
0.26,7.5814695,2.0,Red,0,1,1.0,category0
0.87,38.423534,2.0,Tan,0,1,0.0,category0
0.36,11.431998,2.0,Black,0,1,0.0,category0
0.7766036,23.292583,3.0,Gray,0,7,2.0,category0
0.45,42.523224,2.0,Lynx Point,7,1,0.0,category0
0.9,41.68154,3.0,White,0,1,2.0,category0
0.45,23.416492,2.0,Brown,1,4,1.0,category0
0.62,21.487173,2.0,Black,0,1,0.0,category0
0.36,39.149982,3.0,White,0,4,2.0,category0
0.9515126,25.345057,3.0,Gray,0,1,2.0,category0
0.91,6.656315,2.0,Red,0,1,0.0,category0
0.85,29.487322,3.0,Gray,0,1,2.0,category0
0.27,21.20525,3.0,Gray,18,4,2.0,category0
0.8,20.634209,3.0,Gray,12,1,2.0,category0
0.94,18.260426,2.0,Red,0,1,0.0,category0
0.82,16.04104,1.0,Black,0,1,0.0,category0
0.65,11.516435,2.0,White,13,9,0.0,category0
0.35,5.4989066,2.0,Black,7,1,1.0,category0
0.94783515,33.91312,3.0,Black,18,4,2.0,category0
0.35,31.047087,3.0,Red,12,1,2.0,category0
0.16,10.684896,2.0,Sable,13,9,0.0,category0
0.41,9.315081,2.0,Brown,13,9,0.0,category0
0.51,25.201777,1.0,Tan,0,7,0.0,category0
0.7,8.407716,3.0,Tricolor,0,7,2.0,category0
0.37,47.241554,3.0,Pink,18,4,2.0,category0
0.74396366,6.3066645,3.0,Gray,0,7,2.0,category0
0.87,23.08308,3.0,Brown,18,4,2.0,category0
0.63,14.211187,3.0,Gray,0,1,2.0,category0
0.53,33.84718,2.0,White,0,3,0.0,category0
0.9,36.24291,3.0,Black,18,4,2.0,category0
0.15,20.886011,3.0,Brown,11,4,2.0,category0
0.85,43.331768,3.0,Brown,18,4,2.0,category0
0.79206467,9.078616,2.0,Black,13,9,0.0,category0
0.94,21.799534,2.0,Black,0,1,0.0,category0
0.99,36.025967,3.0,Black,18,4,2.0,category0
0.91892165,21.729803,3.0,Yellow,0,1,2.0,category0
0.99,28.691162,3.0,Gray,0,1,2.0,category0
0.57,18.344143,2.0,Red,0,1,0.0,category0
0.3896051,36.310066,2.0,White,13,9,0.0,category0
0.07,45.30545,3.0,Black,11,4,2.0,category0
0.7671854,16.877638,3.0,Brown,7,1,2.0,category0
0.08,45.93149,3.0,Brown,18,4,2.0,category0
0.42,29.890066,3.0,Red,0,1,2.0,category0
0.92,34.3335,3.0,White,7,1,2.0,category0
0.58,8.785211,2.0,Red,13,9,0.0,category0
0.1,5.8125,2.0,White,13,9,1.0,category0
0.30521223,32.73154,2.0,Red,0,1,2.0,category0
0.51,24.520859,3.0,White,0,1,2.0,category0
0.75,23.737072,2.0,White,0,3,1.0,category0
0.27503893,29.913513,3.0,Red,18,4,2.0,category0
0.95,37.457764,3.0,Gray,18,4,2.0,category0
0.37,10.929262,2.0,White,13,9,0.0,category0
0.86,18.574173,3.0,Gray,18,4,2.0,category0
0.98,28.997406,2.0,Black,0,1,0.0,category0
0.39,5.905558,2.0,White,13,9,1.0,category0
0.02,17.711996,2.0,Black,0,1,0.0,category0
0.10444037,10.929428,2.0,Black,18,4,1.0,category0
0.39,21.065742,2.0,White,11,4,1.0,category0
0.47,34.25485,3.0,White,0,1,2.0,category0
0.85,25.318071,3.0,Blue,18,4,2.0,category0
0.95,37.760223,3.0,Gray,18,4,2.0,category0
0.69297284,29.72836,3.0,Black,0,1,2.0,category0
0.9449521,39.920204,2.0,Black,7,1,0.0,category0
0.59,25.719616,3.0,Blue,0,3,2.0,category0
0.16,48.064457,3.0,Black,18,4,2.0,category0
0.44,35.63067,2.0,White,0,3,0.0,category0
0.14,29.57928,3.0,Gray,0,1,2.0,category0
0.3,29.772623,3.0,Brown,7,1,2.0,category0
0.5912497,22.393955,2.0,Red,0,1,0.0,category0
0.7719884,6.487038,2.0,Red,0,1,1.0,category0
0.83,37.323547,2.0,White,0,1,0.0,category0
0.8951437,30.518227,3.0,Tricolor,0,1,2.0,category0
0.5,9.605778,2.0,Black,13,9,0.0,category0
0.53,31.32848,3.0,Yellow,7,1,2.0,category0
0.22,22.935215,3.0,White,0,1,2.0,category0
0.49,11.109645,2.0,Black Tabby,13,9,0.0,category0
0.7,30.250916,2.0,Black,7,1,0.0,category0
0.85,25.277039,3.0,Black,0,1,2.0,category0
0.63,30.193727,2.0,Red,0,1,0.0,category0
0.66,18.607063,3.0,Yellow,0,1,2.0,category0
0.69,17.313116,3.0,Brown,11,4,2.0,category0
0.88,40.86862,3.0,Red,7,1,2.0,category0
0.51598424,37.196083,3.0,Gray,0,1,2.0,category0
0.98,35.666462,3.0,Gray,0,7,2.0,category0
0.93876064,23.210228,3.0,White,0,3,2.0,category0
0.52,39.397358,3.0,Red,0,1,2.0,category0
0.27980483,18.14559,2.0,Brown,0,1,0.0,category0
0.57,16.946196,3.0,Gray,0,7,2.0,category0
0.85,27.17235,3.0,Yellow,7,1,2.0,category0
0.25,34.16106,2.0,White,13,9,0.0,category0
0.39,37.129333,3.0,Gray,0,7,2.0,category0
0.88,26.453926,2.0,Blue,0,1,0.0,category0
0.32,22.14148,3.0,Gray,0,7,2.0,category0
0.83,11.75825,2.0,Black,18,4,1.0,category0
0.83,23.487486,3.0,Yellow,12,1,2.0,category0
0.6,33.71646,3.0,White,0,1,2.0,category0
0.98,19.145037,2.0,Brown,0,1,0.0,category0
1.0,25.110884,3.0,White,0,1,2.0,category0
0.3,26.763937,3.0,Yellow,0,1,2.0,category0
0.81,34.037064,3.0,Gray,0,7,2.0,category0
0.55,19.236307,3.0,Red,18,4,2.0,category0
0.47,38.789005,2.0,Blue,0,3,0.0,category0
0.88072425,7.521538,3.0,Gray,18,4,2.0,category0
0.31,48.43204,3.0,Black,18,4,2.0,category0
0.11,14.397242,3.0,Tricolor,11,4,2.0,category0
0.8205321,18.211092,2.0,Black,0,1,0.0,category0
0.13,30.37838,3.0,Red,0,7,2.0,category0
0.19,31.25726,2.0,Black,13,9,0.0,category0
0.98,16.34085,2.0,Brown,0,1,1.0,category0
0.8,45.725708,2.0,Black,7,1,0.0,category0
0.65,6.0259705,2.0,White,13,9,1.0,category0
0.8250941,35.427975,2.0,Black,0,1,0.0,category0
0.07,5.2821693,2.0,White,13,9,1.0,category0
0.15,42.990616,3.0,Blue,0,1,2.0,category0
0.4401364,44.7621,3.0,Brown,18,4,2.0,category0
0.41,5.751472,2.0,Black,0,1,0.0,category0
0.31,11.836093,3.0,Gray,18,4,2.0,category0
0.29,28.950352,2.0,Black,7,1,0.0,category0
0.72107077,29.199984,3.0,Red,7,1,2.0,category0
0.76,9.300564,2.0,Brown,13,9,0.0,category0
0.49,25.414827,3.0,Yellow,7,1,2.0,category0
0.9,30.645475,3.0,White,0,1,2.0,category0
0.9,9.642206,3.0,Yellow,7,1,2.0,category0
0.2,25.158432,3.0,Brown,18,4,2.0,category0
0.73,24.435781,3.0,White,0,1,2.0,category0
0.9,35.162205,2.0,White,0,3,1.0,category0
0.92,43.619728,3.0,White,18,4,2.0,category0
0.21,37.450527,2.0,White,0,3,0.0,category0
0.56,26.969814,3.0,White,0,3,2.0,category0
0.94,24.464933,3.0,Red,18,4,2.0,category0
0.59,32.62619,3.0,White,0,3,2.0,category0
0.41,35.608364,3.0,Gray,0,1,2.0,category0
0.63,18.213652,3.0,Blue,0,3,2.0,category0
0.57,26.740913,3.0,Green,0,1,2.0,category0
0.65,19.842764,3.0,Red,0,1,2.0,category0
