length(m),height(cm),condition,color_type,X1,X2,breed_category,pet_category
0.89,33.980545,2.0,Black,0,1,0.0,category0
0.9156995,30.765457,2.0,Black,13,9,0.0,category0
0.72787124,32.175808,3.0,Orange,7,1,2.0,category0
0.96,14.873773,2.0,Tricolor,0,1,0.0,category0
0.962448,41.08008,2.0,White,0,1,0.0,category0
0.06,12.165627,3.0,Yellow,0,1,2.0,category0
0.45,23.453547,3.0,Gray,13,9,2.0,category0
0.73,24.375265,3.0,Red,0,1,2.0,category0
0.84,24.71038,3.0,Brown Tabby,0,1,2.0,category0
0.95,23.959276,0.0,Black,0,7,1.0,category0
0.16,15.1836605,2.0,Red,0,7,0.0,category0
0.33,31.278667,3.0,White,0,1,2.0,category0
0.06,30.27381,3.0,Gray,15,4,2.0,category0
0.1279275,15.151189,0.0,Gray,12,1,1.0,category0
0.73,15.129903,3.0,Black,17,9,2.0,category0
0.06,37.416443,3.0,Brown,18,4,2.0,category0
0.93,8.859531,0.0,Gray,0,1,1.0,category0
0.72,13.497347,3.0,Blue,15,4,2.0,category0
0.60676587,45.510353,3.0,Tan,0,1,2.0,category0
0.71,31.118126,3.0,Black,0,1,2.0,category0
0.63,21.175503,2.0,Black,18,4,1.0,category0
0.8,13.423081,3.0,White,0,1,2.0,category0
0.45,42.794926,3.0,Brown,0,7,2.0,category0
0.52,42.15879,3.0,Gray,11,9,2.0,category0
0.82,34.60732,2.0,Black,18,4,0.0,category0
0.95,35.618126,3.0,Gray,7,1,2.0,category0
0.95,26.385008,3.0,Gray,0,1,2.0,category0
0.81,8.156939,0.0,White,7,1,1.0,category0
0.08,44.959564,2.0,White,0,7,0.0,category0
0.4669036,41.424015,1.0,Tan,0,8,0.0,category0
0.43,25.961246,3.0,Gray,18,4,2.0,category0
0.11214429,20.129004,2.0,Gray,18,4,1.0,category0
0.69,15.3932905,0.0,Black,7,1,1.0,category0
0.07487116,6.62172,3.0,Tricolor,18,4,2.0,category0
0.18947582,18.677988,2.0,Gray,18,4,1.0,category0
0.69,44.90628,2.0,White,0,4,0.0,category0
0.8905522,38.94659,2.0,Gray,18,4,1.0,category0
0.38452685,37.982075,2.0,Orange Tabby,0,1,0.0,category0
0.59718794,8.224585,3.0,Red,18,4,2.0,category0
0.63,26.679766,3.0,Black,18,4,2.0,category0
0.71,27.0746,3.0,Black,0,4,2.0,category0
0.69,7.1216083,3.0,Green,0,1,2.0,category0
0.56,43.11261,2.0,Tan,0,1,1.0,category0
0.5765592,13.773707,2.0,White,16,9,0.0,category0
0.84,8.070031,2.0,Red,0,1,1.0,category0
0.35,20.727348,3.0,Gray,18,4,2.0,category0
0.91,7.3199215,2.0,Red,0,1,0.0,category0
0.96,41.22872,3.0,Gray,18,4,2.0,category0
0.86,42.39173,3.0,Brown,18,4,2.0,category0
0.88242406,35.50902,2.0,White,0,1,1.0,category0
0.13,17.951504,3.0,Black,0,1,2.0,category0
0.61,18.177807,3.0,White,13,9,2.0,category0
0.68,22.148767,3.0,Black,18,4,2.0,category0
0.08,28.736374,3.0,Tricolor,7,1,2.0,category0
0.89,10.121323,2.0,Black,13,9,1.0,category0
0.89,38.362915,2.0,Red,0,1,0.0,category0
0.56,30.784254,2.0,White,0,1,0.0,category0
0.974087,37.96981,3.0,Buff,0,1,2.0,category0
0.12,26.605614,3.0,Brown,0,7,2.0,category0
0.49,10.605131,2.0,Brown,7,1,0.0,category0
0.2549957,24.966534,2.0,Orange Tabby,0,1,0.0,category0
0.88,35.985695,2.0,Red,7,1,1.0,category0
0.80551136,21.536036,3.0,Tan,0,7,2.0,category0
0.13424413,31.645935,2.0,Tricolor,0,1,0.0,category0
0.04,44.792965,2.0,White,0,3,1.0,category0
0.49058893,22.750498,0.0,Tricolor,18,4,1.0,category0
0.98,19.497086,3.0,Black,0,7,2.0,category0
0.23,14.074798,3.0,Tan,0,7,2.0,category0
