CreditScore,Age,Tenure,Balance,EstimatedSalary,Geography,Gender,NumOfProducts,HasCrCard,IsActiveMember,Exited
713.7821655273438,50.03288650512695,7.972539901733398,78581.171875,137866.75,Germany,Female,2,0,1,1
618.522705078125,42.69202423095703,4.057285308837891,105334.4921875,133958.671875,Germany,Female,3,1,0,1
506.1664123535156,44.02973175048828,0.6604595184326172,96719.921875,134087.359375,France,Female,4,1,1,1
792.9974975585938,37.570735931396484,2.8851559162139893,115727.7734375,200041.125,Germany,Female,2,1,0,1
719.415771484375,57.8037223815918,8.97854232788086,97785.6015625,161519.59375,France,Male,1,1,0,1
635.432861328125,62.896915435791016,4.0970458984375,124938.71875,17381.20703125,Germany,Female,3,0,1,1
543.2403564453125,39.30038070678711,6.940166473388672,62930.49609375,95976.296875,Germany,Female,1,1,0,1
670.3535766601562,33.42353820800781,8.890324592590332,-187.131591796875,24645.99609375,France,Female,2,0,0,1
551.203125,39.053382873535156,4.038449764251709,127692.640625,134686.453125,Germany,Female,4,1,0,1
802.8204956054688,60.51830291748047,6.1154255867004395,131845.625,127703.3984375,France,Female,2,1,0,1
586.640869140625,56.08622360229492,0.8138056993484497,83360.6171875,13696.3525390625,France,Female,1,1,0,1
559.462646484375,55.49768829345703,6.9773454666137695,106143.875,138277.40625,Germany,Male,1,1,0,1
723.4138793945312,59.375179290771484,4.100831031799316,103397.453125,131472.21875,Germany,Female,1,1,0,1
757.2206420898438,42.10049819946289,0.7208758592605591,-1692.705078125,99343.265625,France,Female,3,0,0,1
551.7061767578125,41.631649017333984,6.023263454437256,-2370.58447265625,99672.4140625,France,Female,1,1,0,1
774.2234497070312,46.30721664428711,3.996450662612915,108452.09375,136315.6875,Germany,Female,4,1,1,1
755.8755493164062,31.327289581298828,0.5502078533172607,137947.890625,146943.0625,Germany,Female,4,1,0,1
731.2351684570312,39.53799057006836,6.095762252807617,-3194.087646484375,167674.078125,France,Female,1,1,0,1
857.5756225585938,38.683773040771484,2.9858713150024414,105392.859375,105689.3203125,Germany,Female,1,1,0,1
705.8206787109375,54.137474060058594,3.965463638305664,136507.546875,73296.296875,Germany,Female,1,1,0,1
531.2930297851562,38.81130599975586,4.981969833374023,-1827.380615234375,196883.90625,France,Female,4,0,1,1
574.1306762695312,43.59573745727539,3.9644851684570312,-1428.61279296875,99112.1171875,Spain,Male,1,1,0,1
755.1931762695312,35.60742950439453,8.084518432617188,68424.765625,161472.265625,Germany,Female,3,1,0,1
669.2189331054688,44.07503890991211,7.974149703979492,146877.859375,93181.5859375,Germany,Female,4,1,0,1
622.8366088867188,40.81907272338867,2.940016984939575,120054.859375,59801.48828125,Germany,Female,1,1,0,1
754.0546875,34.9622688293457,6.001737594604492,-1400.4122314453125,20144.32421875,France,Female,2,1,0,1
742.8983154296875,30.47077178955078,3.9513099193573,105588.1796875,77829.0625,Germany,Male,1,0,0,1
612.663330078125,40.44524383544922,5.959513187408447,-1091.1016845703125,143030.84375,Spain,Female,2,1,0,1
725.554931640625,39.671241760253906,10.059202194213867,79654.953125,114544.1875,Germany,Female,1,1,0,1
