CreditScore,Age,Tenure,Balance,EstimatedSalary,Geography,Gender,NumOfProducts,HasCrCard,IsActiveMember,Exited
618.5627,50.0,5.0,160926.1,171439.4,France,Male,1,1,0,1
747.72974,33.0,6.0,123613.05,160862.53,Germany,Male,1,0,0,1
627.83673,40.0,5.0,133727.06,620.04144,Germany,Female,1,1,1,1
754.06635,51.0,9.0,0.0,25285.883,France,Female,1,1,1,1
712.97015,44.20145,8.0,160342.78,138663.27,Germany,Male,1,0,0,1
599.531,31.0,3.0,107638.89,170663.53,Germany,Female,4,0,0,1
626.406,51.0,4.0,106551.85,151375.67,Spain,Female,1,1,1,1
737.0184,51.0,4.0,104781.71,65399.15,Germany,Female,2,1,1,1
729.78723,46.0,3.0,89364.805,127865.086,Spain,Female,1,1,0,1
632.2091,54.0,4.0,0.0,168128.89,France,Male,1,1,0,1
717.7118,43.0,10.0,98571.64,185107.22,Germany,Female,1,0,0,1
667.8722,51.0,9.0,162622.84,149896.6,France,Female,4,1,1,1
572.4689,51.423363,3.0,126611.73,95810.914,Germany,Female,2,1,1,1
728.9698,41.0,4.0,138712.7,177080.56,Spain,Female,3,0,0,1
602.90424,44.0,8.0,0.0,107323.84,France,Female,3,0,1,1
681.7764,41.0,3.0,0.0,123808.64,France,Female,1,0,0,1
638.672,38.0,9.0,130068.1,48919.51,France,Female,3,1,0,1
646.0,42.0,3.0,127311.8,105918.836,Germany,Male,2,1,1,1
656.7641,55.0,2.0,0.0,165265.58,France,Male,1,1,0,1
585.6719,52.0,4.0,103001.96,156474.16,Germany,Male,1,1,0,1
657.8708,49.756393,8.0,0.0,48510.176,Spain,Male,1,0,1,1
515.06396,54.0,7.0,134512.45,88088.17,Germany,Female,3,1,0,1
636.7327,40.0,5.0,135934.56,3337.7537,Germany,Female,1,1,1,1
610.34564,32.0,9.0,110755.98,101089.44,Germany,Female,1,1,1,1
633.2603,35.0,7.0,0.0,52085.824,France,Male,1,1,1,1
833.5333,49.503872,4.0,111672.12,136522.77,France,Male,1,0,0,1
524.604,37.0,1.0,0.0,92677.0,France,Female,1,1,0,1
632.8956,37.0,0.0,101985.91,158591.9,Spain,Male,1,1,0,1
700.7202,45.0,6.0,135561.11,72217.95,Germany,Male,2,1,0,1
787.5577,48.084015,2.0,109045.39,184914.83,Germany,Female,1,1,0,1
613.50604,52.522476,3.0,109640.58,190832.03,Germany,Male,1,1,0,1
584.5796,38.0,9.0,133872.25,73360.93,France,Female,4,1,1,1
628.7527,43.0,5.0,142760.72,108769.375,Germany,Male,1,1,1,1
512.0507,34.0,3.0,105368.54,184580.56,Germany,Female,1,0,1,1
690.6029,32.0,0.0,116096.37,183069.81,France,Female,1,0,0,1
512.22473,50.106705,3.6458848,140871.02,84511.72,France,Male,1,0,0,1
755.03455,46.0,9.0,93105.86,14455.91,Germany,Female,1,1,1,1
583.0449,54.0,5.0,119861.73,113030.664,Germany,Female,1,1,1,1
598.4052,43.0,7.0,85610.49,117918.16,Spain,Male,1,1,0,1
813.61615,36.0,6.0,92623.23,29844.64,Germany,Female,1,0,1,1
520.02844,43.0,2.0,0.0,90839.07,Spain,Male,1,1,1,1
594.2999,43.0,1.0,129740.84,43137.88,Germany,Female,1,1,0,1
638.93445,37.45853,2.0,85412.67,99288.73,Germany,Male,1,1,1,1
618.571,58.0,7.0,94388.23,98889.15,France,Female,4,0,1,1
517.2273,52.0,2.0,0.0,69885.67,France,Female,1,0,0,1
649.01855,37.0,5.8696046,164813.44,111929.45,Spain,Female,2,1,0,1
567.73254,38.0,3.0,125471.336,64989.023,Spain,Male,1,1,0,1
519.87823,54.0,2.0,0.0,86273.34,France,Female,1,0,1,1
678.31445,71.22698,4.0,94315.98,84246.09,France,Female,1,1,1,1
606.2658,35.0,7.9056697,155366.64,147266.6,Germany,Female,3,1,0,1
714.0222,56.0,2.0,0.0,96181.01,France,Female,1,0,0,1
657.3202,29.0,4.0,0.0,63344.516,Spain,Female,1,1,0,1
771.316,45.51753,8.0,118647.266,170716.44,Germany,Female,2,0,1,1
726.80945,44.0,2.0,0.0,28396.738,France,Male,2,1,0,1
584.4778,51.0,4.0,0.0,63301.188,France,Female,1,0,0,1
539.13794,48.0,7.0,103416.15,188209.9,Germany,Female,1,0,1,1
584.71454,55.0,5.0,124871.23,116076.9,Germany,Male,1,1,0,1
713.96075,63.648937,3.0,0.0,74397.51,Spain,Male,2,1,0,1
620.10205,60.45118,10.0,116533.41,166855.48,France,Female,1,0,0,1
565.3018,39.0,10.0,136797.36,32176.174,Germany,Male,1,1,0,1
696.33734,60.79387,9.0,96523.74,153892.75,France,Female,1,1,0,1
612.8603,35.470905,7.0,128269.55,70901.85,Spain,Male,1,0,0,1
631.525,42.0,7.0,71296.914,171730.58,France,Male,2,1,1,1
667.36127,51.0,2.0,0.0,103630.555,Spain,Female,3,0,0,1
551.95245,73.53619,7.0,110991.59,78273.0,Germany,Female,2,1,1,1
752.54,26.0,8.0,162219.72,146329.9,France,Female,1,1,0,1
602.024,41.0,4.0,150497.94,108806.164,Germany,Male,1,1,1,1
843.7193,48.0,6.0,129507.63,83363.26,Germany,Male,1,1,1,1
602.56934,30.0,3.0,0.0,91122.57,Spain,Female,1,1,1,1
592.41876,50.0,4.7588377,139896.3,194135.67,Spain,Female,3,0,1,1
540.23505,49.0,4.0,96677.93,154445.22,Germany,Female,1,1,0,1
430.7111,56.0,3.0,127346.0,91780.95,Germany,Female,1,1,0,1
633.2979,43.896854,9.0,117881.15,189575.19,Germany,Male,1,1,0,1
651.9051,54.492386,5.0,96980.17,5399.785,France,Female,3,0,0,1
538.49603,48.249535,7.0,0.0,136536.66,France,Female,3,1,1,1
670.68805,49.0,6.0,0.0,146083.53,France,Male,1,1,0,1
791.8166,51.0,5.0,0.0,12996.759,France,Male,1,0,1,1
537.702,48.0,6.0095534,136158.44,177078.55,Germany,Female,1,1,0,1
613.59564,46.0,9.0,97635.97,126359.94,Germany,Male,1,1,0,1
638.2924,41.0,5.0,130884.62,103352.58,France,Male,1,1,1,1
665.85187,41.0,9.0,0.0,159377.5,Spain,Male,1,1,0,1
