step,mloss,gloss,loss
1.0,0.9102,1.2301,2.1403
2.0,2.2743,138.2984,140.5727
3.0,0.9043,1.7025,2.6068
4.0,0.9436,1.1877,2.1313
5.0,0.8452,1.1576,2.0027999999999997
6.0,0.8808,1.0516,1.9324000000000001
7.0,0.7486,1.0571,1.8056999999999999
8.0,0.7264,1.0748,1.8012000000000001
9.0,0.7016,1.046,1.7476
10.0,0.6874,0.9941,1.6815
11.0,0.7996,0.9971,1.7967
12.0,0.7171,0.9989,1.716
13.0,0.6988,1.0312,1.73
14.0,0.6772,1.018,1.6952
15.0,0.8587,0.9802,1.8389
16.0,0.7863,1.0411,1.8274
17.0,0.7621,1.0153,1.7774
18.0,0.684,1.0303,1.7143000000000002
19.0,0.745,0.978,1.7229999999999999
20.0,0.7692,0.9894,1.7586
21.0,0.7028,0.9935,1.6963
22.0,0.6854,1.0109,1.6963
23.0,0.8476,1.0059,1.8535
24.0,0.6741,0.9951,1.6692
25.0,0.7622,0.9956,1.7578
26.0,0.6882,0.9996,1.6878000000000002
27.0,0.698,0.9735,1.6715
28.0,0.6653,1.0142,1.6795
29.0,0.7716,0.9991,1.7707
30.0,0.6873,0.9642,1.6515
31.0,0.689,1.0004,1.6894
32.0,0.7063,0.9745,1.6808
33.0,0.7311,0.9792,1.7103
34.0,0.7778,0.9988,1.7766000000000002
35.0,0.6747,1.0041,1.6787999999999998
36.0,0.7198,0.9783,1.6981
37.0,0.6647,0.995,1.6597
38.0,0.7006,1.0023,1.7029
39.0,0.8424,1.0063,1.8487
40.0,0.7524,0.9811,1.7334999999999998
41.0,0.6138,0.9906,1.6044
42.0,0.6465,0.9929,1.6394
43.0,0.6687,0.9917,1.6604
44.0,0.7132,0.9802,1.6934
45.0,0.7691,0.9921,1.7612
46.0,0.6996,0.9748,1.6743999999999999
47.0,0.7648,1.0216,1.7864
48.0,0.6724,1.0024,1.6747999999999998
49.0,0.719,1.0243,1.7433
50.0,0.7383,1.01,1.7483
51.0,0.6775,0.9914,1.6688999999999998
52.0,0.684,0.9856,1.6696
53.0,0.715,0.9789,1.6939
54.0,0.7022,0.993,1.6952
55.0,0.7037,1.0417,1.7454
56.0,0.6316,0.9761,1.6077
57.0,0.7274,0.9953,1.7227000000000001
58.0,0.6782,1.0022,1.6804000000000001
59.0,0.7574,1.0039,1.7612999999999999
60.0,0.7488,0.9857,1.7345000000000002
