CreditScore,Age,Tenure,Balance,EstimatedSalary,Geography,Gender,NumOfProducts,HasCrCard,IsActiveMember,Exited
779.1619,56.285477,1.0,172534.89,58868.297,Spain,Male,1,1,1,1
601.0314,47.0,4.0,0.0,154743.66,France,Male,1,1,0,1
655.8812,53.543617,7.0,132315.84,118663.21,Spain,Male,1,1,0,1
677.10956,49.65495,4.0,93885.02,161538.17,Germany,Male,2,1,0,1
648.274,44.0,8.0,119734.414,110097.09,Germany,Male,1,1,1,1
706.06274,28.0,4.0,0.0,8733.805,Spain,Female,1,1,1,1
546.1204,37.0,9.0,134811.02,140309.25,Germany,Male,1,1,1,1
557.6718,42.0,6.0,97133.14,71268.99,Germany,Male,3,0,0,1
642.00714,35.0,6.0,145319.67,122796.81,Germany,Female,1,1,0,1
702.3158,40.0,3.0,131509.98,22421.895,Germany,Female,2,0,1,1
677.2097,49.0,5.0,136092.16,83347.41,Germany,Male,1,0,0,1
682.89197,32.0,2.0,161682.58,59472.71,France,Female,1,1,0,1
567.179,55.0,5.0,146882.36,149639.88,France,Female,4,1,1,1
768.25836,52.993908,3.0,138784.61,103261.22,France,Female,2,0,1,1
409.64703,47.0,5.0,125265.58,95671.82,France,Female,1,1,1,1
741.9978,43.0,0.0,112291.77,38271.195,Germany,Female,1,0,1,1
698.60565,44.0,10.0,89824.1,86771.28,France,Female,1,1,0,1
614.16986,53.949093,1.0,94482.08,169688.23,France,Male,1,0,0,1
823.7954,43.0,10.0,141215.23,69563.24,Germany,Female,1,1,1,1
778.85547,45.0,0.0,0.0,30899.518,Spain,Male,1,1,1,1
739.40765,41.129013,4.0,90977.01,152437.03,Spain,Female,1,0,0,1
505.51035,30.782955,10.0,92125.08,111956.51,Germany,Male,1,1,1,1
556.5504,51.0,4.0,95633.92,81840.234,Germany,Male,2,0,0,1
690.50354,35.0,1.0,126692.41,152427.89,Germany,Male,1,1,0,1
434.28876,55.781254,3.0,60762.14,191136.6,France,Female,1,1,0,1
681.7038,52.970303,4.0,167797.31,187666.31,Germany,Male,3,1,0,1
758.82324,41.0,4.0,0.0,44129.137,Spain,Female,1,1,0,1
538.3393,58.0,2.0,130127.35,75981.914,Germany,Male,3,1,1,1
719.0916,42.0,5.0,127423.305,122801.1,France,Female,1,1,1,1
501.07416,43.0,6.0,112165.125,44651.04,Germany,Male,1,1,1,1
446.43164,40.0,3.0,0.0,127962.98,Spain,Female,1,0,1,1
719.9596,40.0,3.0,138746.8,20226.773,Germany,Female,3,1,0,1
610.24005,50.0,4.0,129649.51,39780.164,Germany,Female,1,1,1,1
673.05035,49.0,1.0,0.0,117157.305,France,Female,1,1,0,1
608.95013,45.0,2.0,102881.07,167016.16,France,Male,3,0,0,1
677.2976,48.43627,9.0,108901.75,123933.99,Spain,Female,1,0,0,1
606.3945,34.0,8.0,174414.98,127008.55,France,Female,1,0,0,1
643.0164,54.0,4.0,125876.96,21636.342,Germany,Female,1,1,1,1
705.0,30.0,1.0,0.0,112823.1,France,Female,1,1,0,1
537.771,41.0,6.0,94854.38,7686.6655,Germany,Male,1,1,1,1
670.33417,55.33751,3.0,116793.77,62273.543,Germany,Male,1,1,1,1
594.59,58.149048,4.0,116107.27,66115.81,Spain,Male,1,1,0,1
645.5234,59.54581,8.0,140521.9,102.72925,Germany,Female,2,0,0,1
730.44965,58.09103,7.0,0.0,167026.05,France,Female,1,1,0,1
599.52954,51.0,2.0,174449.62,92101.2,France,Male,1,0,0,1
548.9236,47.048363,5.0,0.0,46477.88,Spain,Male,1,1,0,1
515.978,29.0,2.0,109013.16,164244.02,France,Male,1,1,1,1
772.2317,45.0,8.0,141575.66,197381.45,France,Female,1,0,0,1
758.34845,30.0,1.0,0.0,36705.098,Spain,Female,1,1,1,1
633.0471,54.0,5.0,123736.85,139289.42,France,Female,1,1,1,1
693.2879,45.0,9.0,0.0,62540.94,France,Female,1,1,0,1
675.1545,41.0,3.0,102881.24,63086.043,Germany,Female,2,0,1,1
350.0,47.067554,10.0,0.0,90734.266,France,Male,1,1,1,1
520.8596,44.0,0.0,147874.69,177590.44,France,Female,1,1,0,1
629.7347,61.354404,8.0,107327.49,45481.35,Spain,Female,1,0,1,1
350.0,44.206413,0.0,0.0,175526.5,Spain,Male,1,1,1,1
567.33527,44.0,2.0,77584.58,197860.33,Germany,Male,1,0,1,1
616.0466,45.0,1.0,147976.86,195516.16,France,Female,1,0,1,1
690.6453,51.00731,9.0,81201.38,183684.31,Spain,Male,1,1,0,1
716.21564,42.0,2.0,127535.42,189067.1,France,Female,1,1,0,1
526.7797,53.58588,3.0,221849.11,128841.38,Spain,Female,1,1,1,1
450.03125,36.0,5.0,0.0,156052.3,France,Male,1,1,1,1
586.6614,56.803616,3.0,0.0,14427.519,France,Male,1,1,1,1
617.2748,55.240845,3.0,106289.47,68595.31,Germany,Female,2,1,0,1
691.06415,40.0,8.0,132734.81,20250.324,Germany,Female,1,0,0,1
653.79333,33.0,9.0,127202.26,158169.7,Spain,Male,2,1,0,1
495.65436,46.0,5.0,109588.79,151995.78,Germany,Male,1,0,0,1
755.6133,64.39074,7.0,59199.297,48343.375,Spain,Male,2,0,1,1
470.89456,54.070004,3.0,126041.84,50409.914,Spain,Female,1,0,0,1
648.76385,62.051186,3.7775295,70659.62,144169.92,Spain,Female,1,1,1,1
603.3327,55.0,9.82145,96574.0,25409.297,France,Female,1,1,1,1
670.89197,37.1533,7.0,111426.414,124558.516,Germany,Male,1,1,0,1
601.1885,43.0,2.0,112068.42,51291.426,Spain,Female,1,1,1,1
542.02783,55.0,8.0,0.0,3636.253,France,Male,1,1,0,1
407.1067,35.0,7.0,116205.16,107901.81,Germany,Female,2,1,0,1
618.3227,43.0,2.0,120417.414,170087.52,France,Male,1,1,0,1
515.61163,46.0,5.0,154589.12,93122.19,Germany,Male,1,1,0,1
738.4322,45.0,5.0,99317.016,96018.25,Germany,Male,2,1,1,1
745.88947,48.0,9.0,121625.63,59108.066,Germany,Male,1,1,0,1
574.72736,48.0,9.0,98632.48,98659.94,France,Female,1,0,0,1
696.5664,48.84416,9.0,163406.4,140892.88,Germany,Male,1,0,1,1
541.49176,58.0,4.0,103372.87,177822.6,France,Male,1,1,1,1
730.16656,42.0,7.0,116329.72,141218.58,Germany,Female,1,0,1,1
739.0763,52.0,3.0,108654.164,46126.734,Germany,Female,1,0,1,1
554.8334,38.0,9.246724,0.0,166472.72,France,Female,3,1,1,1
785.8671,41.0,2.0,0.0,61585.75,Spain,Female,2,1,0,1
683.9395,52.991978,9.0,142482.97,154822.02,Germany,Male,1,1,0,1
618.77576,49.0,1.0,0.0,94073.65,Spain,Female,1,1,1,1
514.6462,43.66424,1.0,103387.71,159190.92,Germany,Female,1,1,0,1
811.27435,37.0,5.0,109372.22,102397.55,France,Male,3,0,0,1
582.9709,45.0,1.0,0.0,38632.223,France,Female,1,1,1,1
627.3528,56.834164,1.0,0.0,112447.52,France,Female,1,1,0,1
675.28955,44.0,5.0,122357.375,94876.48,Germany,Female,2,0,1,1
640.06555,39.0,1.0,148910.97,103597.375,Germany,Male,1,0,0,1
742.1666,35.0,3.0,119939.19,97429.125,France,Female,2,1,1,1
730.39703,39.0,6.0,165509.69,128281.586,Germany,Male,1,1,0,1
532.8403,52.98769,7.0,0.0,127892.21,Spain,Male,1,1,0,1
632.5273,30.0,7.0,132403.94,195323.05,Germany,Female,1,1,0,1
485.6361,40.0,9.0,0.0,174880.48,France,Female,1,1,1,1
706.784,46.0,10.0,0.0,51413.26,France,Male,1,1,1,1
