CreditScore,Age,Tenure,Balance,EstimatedSalary,Geography,Gender,NumOfProducts,HasCrCard,IsActiveMember,Exited
753.62256,46.0,10.0,68975.63,187358.48,France,Female,1,0,0,1
724.8128,51.380283,0.0,147608.11,66811.125,France,Male,1,0,0,1
642.72766,49.0,1.0,97029.55,178691.31,Germany,Male,1,1,0,1
591.8561,48.0,7.0,130624.9,48894.547,France,Male,1,1,0,1
778.7381,39.789734,5.0,0.0,173365.81,France,Female,1,1,0,1
618.48615,54.397636,0.0,143536.2,63080.137,Spain,Male,3,1,0,1
613.3327,60.11027,4.0,121849.18,45679.117,Germany,Female,2,0,1,1
675.9924,47.0,10.0,0.0,111346.484,Spain,Female,1,1,0,1
771.8313,30.0,6.0,0.0,180704.95,France,Male,1,1,0,1
716.8581,44.0,3.0,122024.055,156857.81,Germany,Female,1,1,1,1
705.2885,52.0,6.0,0.0,90786.6,Spain,Male,1,1,0,1
627.7234,40.0,3.0,0.0,173056.03,Spain,Female,3,1,0,1
796.3593,31.0,0.0,127668.93,11827.999,Spain,Female,1,0,0,1
756.37134,54.0,2.0,118080.74,113056.414,Germany,Female,1,1,1,1
601.12933,47.148132,1.0,140380.05,11964.859,Germany,Male,1,1,1,1
684.26605,40.0,1.0,0.0,80256.875,France,Female,1,1,0,1
605.85,38.0,4.6810365,69894.336,31422.908,Spain,Female,1,1,0,1
540.67615,41.0,4.0,122069.38,175518.92,Germany,Male,1,1,0,1
530.81616,56.102943,8.0,0.0,49444.074,Spain,Male,1,1,0,1
614.7557,51.0,1.0,98114.23,186667.14,France,Female,1,1,0,1
663.69574,52.981228,9.0,128607.75,76699.66,Spain,Male,1,1,1,1
713.481,33.0,10.0,128974.09,110893.1,Germany,Female,1,0,1,1
426.9269,58.0,6.0,0.0,191178.1,France,Female,3,0,0,1
645.4005,84.42373,5.0,0.0,193485.02,France,Female,2,0,1,1
616.7013,56.0,1.0,154004.56,24405.693,France,Male,1,1,0,1
776.7542,28.0,7.0,184057.77,177095.0,Germany,Female,1,1,1,1
555.4177,39.11236,2.0,0.0,6970.049,Spain,Female,1,0,0,1
790.589,32.0,3.0,110040.445,32613.424,Germany,Female,2,1,1,1
740.2874,54.5883,7.306115,83198.21,73696.086,France,Female,1,1,1,1
578.085,44.0,7.0,108539.09,19787.164,France,Male,1,0,0,1
659.92114,52.0,5.0,128406.58,189240.66,France,Female,4,1,0,1
517.67737,31.0,2.0,154080.42,129658.25,Germany,Female,2,1,1,1
531.32196,38.0,5.0,0.0,155302.81,France,Male,1,1,0,1
771.8834,48.0,2.0,162025.98,1888.148,France,Female,1,1,0,1
735.3879,22.95291,1.0,0.0,4596.5527,Spain,Male,2,1,1,1
442.43185,34.0,6.0,89948.63,16137.97,Spain,Male,1,1,0,1
789.69336,33.0,5.0,165526.42,95359.44,Spain,Male,1,0,0,1
690.95087,37.0,7.0,0.0,130368.75,Spain,Female,1,0,1,1
577.595,54.0,7.0,97129.15,193644.34,France,Male,1,0,0,1
610.5709,54.0,5.5504045,0.0,2546.3782,France,Female,1,0,1,1
