step,mloss,gloss,loss
1.0,0.7434,1.0647,1.8081
2.0,4.1162,1.9073,6.0235
3.0,0.9024,1.6627,2.5651
4.0,0.8224,1.0613,1.8837
5.0,0.7125,1.0164,1.7288999999999999
6.0,0.7002,0.9748,1.675
7.0,0.6568,1.0042,1.661
8.0,0.6811,1.0007,1.6818
9.0,0.8654,0.9933,1.8586999999999998
10.0,0.6556,1.0038,1.6594
11.0,1.0811,0.9945,2.0756
12.0,0.6147,1.0065,1.6212
13.0,0.6449,1.0056,1.6505
14.0,0.2332,0.625,0.8582
15.0,0.6244,0.9884,1.6128
16.0,0.6606,1.012,1.6726
17.0,0.5589,1.0178,1.5767
18.0,0.6069,1.0345,1.6414
19.0,0.6207,1.0203,1.641
20.0,0.6133,1.0226,1.6359
21.0,0.636,0.9866,1.6226
22.0,0.6744,0.9764,1.6508
23.0,0.642,0.99,1.6320000000000001
24.0,0.5096,0.9961,1.5057
25.0,0.606,0.9993,1.6053
26.0,0.6908,1.0033,1.6941000000000002
27.0,0.4823,0.9852,1.4675
28.0,0.1478,0.9938,1.1416
29.0,0.556,0.9962,1.5522
30.0,0.4912,1.0253,1.5165000000000002
31.0,0.6437,1.0251,1.6688
32.0,0.5609,1.0118,1.5727
33.0,0.5355,0.9861,1.5215999999999998
34.0,0.6009,1.01,1.6109
35.0,0.6588,0.9861,1.6449
36.0,1.672,0.9841,2.6561
37.0,0.6059,1.0112,1.6171000000000002
38.0,0.657,0.988,1.645
39.0,0.5449,1.0104,1.5553
40.0,0.5755,0.9937,1.5692
41.0,0.5411,1.0019,1.5430000000000001
42.0,0.0018,1.0372,1.039
43.0,0.6141,0.9865,1.6006
44.0,0.7755,1.0389,1.8144
45.0,0.663,0.9959,1.6589
46.0,0.5635,0.9912,1.5547
47.0,0.5092,1.0199,1.5291000000000001
48.0,0.7934,1.0009,1.7942999999999998
49.0,0.8747,0.9869,1.8616000000000001
50.0,1.9203,1.0162,2.9364999999999997
51.0,0.6433,0.9899,1.6332
52.0,0.6289,0.9971,1.626
53.0,0.618,0.9961,1.6141
54.0,0.665,0.995,1.6600000000000001
55.0,0.7303,1.0122,1.7425
56.0,0.0037,1.6654,1.6691
57.0,0.7303,1.0177,1.748
58.0,0.6681,1.0357,1.7038000000000002
59.0,0.5498,1.0106,1.5604
60.0,0.7545,1.0164,1.7709
61.0,0.7075,0.9784,1.6859000000000002
62.0,0.6192,0.9863,1.6055
63.0,0.7103,0.9744,1.6847
