step,mloss,gloss,loss
1.0,1.2149,1.4067,2.6216
2.0,0.341,21.4917,21.832700000000003
3.0,0.9055,3.8397,4.7452000000000005
4.0,0.2394,2.8797,3.1191
5.0,0.2866,1.2635,1.5501
6.0,0.1346,1.2127,1.3473
7.0,0.183,1.3577,1.5407
8.0,0.0871,1.1711,1.2582
9.0,0.1816,1.0093,1.1909
10.0,0.1105,1.0182,1.1287
11.0,0.111,1.0921,1.2031
12.0,0.169,1.0724,1.2414
13.0,0.0707,1.0447,1.1154
14.0,0.1389,1.0131,1.152
15.0,0.1425,1.0257,1.1682000000000001
16.0,0.0795,0.9922,1.0716999999999999
17.0,0.0834,1.0428,1.1261999999999999
18.0,0.1281,1.0559,1.1840000000000002
19.0,0.1215,1.0012,1.1227
20.0,0.0965,0.983,1.0795
21.0,0.1404,1.0029,1.1433
22.0,0.1062,1.0225,1.1287
23.0,0.0813,1.0362,1.1175
24.0,0.1177,0.9668,1.0845
25.0,0.1367,1.0199,1.1566
26.0,0.0689,1.0035,1.0724
27.0,0.1359,1.0066,1.1424999999999998
28.0,0.1579,1.0149,1.1727999999999998
29.0,0.1677,1.0122,1.1799
30.0,0.0924,1.0076,1.1
31.0,0.1252,0.9824,1.1076000000000001
32.0,0.1972,1.0137,1.2109
33.0,0.1068,1.0274,1.1342
34.0,0.0877,0.9963,1.084
35.0,0.0692,0.9867,1.0559
36.0,0.1212,0.9925,1.1137000000000001
37.0,0.0963,0.9865,1.0828
38.0,0.08,0.9782,1.0582
39.0,0.0781,0.9691,1.0472
40.0,0.0951,1.0206,1.1157
41.0,0.1684,0.9693,1.1377000000000002
42.0,0.0896,0.9996,1.0892
43.0,0.088,0.9906,1.0786
44.0,0.219,0.9808,1.1998
45.0,0.1556,0.9908,1.1464
46.0,0.1274,0.9829,1.1103
47.0,0.0878,0.9546,1.0424
48.0,0.0705,0.986,1.0565
49.0,0.1312,0.9676,1.0988
50.0,0.0606,0.9501,1.0107
51.0,0.0623,0.9619,1.0242
52.0,0.0518,0.9764,1.0282
53.0,0.0969,0.9455,1.0424
54.0,0.1035,0.9723,1.0758
55.0,0.1436,0.9542,1.0978
56.0,0.1621,0.9464,1.1085
57.0,0.1065,0.9803,1.0868
58.0,0.0734,0.9592,1.0326
59.0,0.1348,0.9502,1.085
60.0,0.1671,0.9489,1.1159999999999999
61.0,0.1418,0.9615,1.1033
62.0,0.103,0.9433,1.0463
63.0,0.0673,0.9444,1.0117
64.0,0.282,0.9629,1.2449
65.0,0.0857,0.9494,1.0351
66.0,0.0774,0.967,1.0444
67.0,0.1078,0.9248,1.0326
68.0,0.0684,0.9538,1.0222
69.0,0.0644,0.9002,0.9646
70.0,0.0837,0.9449,1.0286
71.0,0.0807,0.8735,0.9542
72.0,0.1146,0.9717,1.0863
73.0,0.2307,0.8849,1.1156
74.0,0.0512,0.9181,0.9693
75.0,0.1132,0.9685,1.0817
76.0,0.1264,0.9952,1.1216
77.0,0.1563,1.0017,1.158
78.0,0.0844,0.9131,0.9975
79.0,0.0681,0.9461,1.0142
80.0,0.1352,0.8861,1.0213
81.0,0.0535,0.8958,0.9493
82.0,0.1143,0.9328,1.0471
83.0,0.148,0.93,1.078
84.0,0.0779,0.8972,0.9751
85.0,0.0889,0.8982,0.9871
86.0,0.0732,0.8962,0.9694
87.0,0.0525,0.8701,0.9226
88.0,0.08,0.8724,0.9523999999999999
89.0,0.0686,0.8636,0.9322
90.0,0.0576,0.846,0.9036
91.0,0.0792,0.832,0.9112
92.0,0.0793,0.8346,0.9139
93.0,0.1178,0.8126,0.9304
94.0,0.1336,0.8649,0.9984999999999999
95.0,0.0175,0.8308,0.8482999999999999
96.0,0.0845,0.8174,0.9019
97.0,0.0872,0.8352,0.9224000000000001
98.0,0.0641,0.8183,0.8824000000000001
99.0,0.0482,0.8012,0.8494
100.0,0.0368,0.7883,0.8251
101.0,0.109,0.7779,0.8869
102.0,0.0647,0.7994,0.8641
103.0,0.1089,0.8037,0.9126
104.0,0.0286,0.8352,0.8638
105.0,0.0758,0.8021,0.8779
106.0,0.0457,0.7828,0.8285
107.0,0.1138,0.7924,0.9062
108.0,0.0766,0.7782,0.8548
109.0,0.0475,0.7811,0.8286
110.0,0.0995,0.766,0.8655
111.0,0.1034,0.7827,0.8861
112.0,0.0604,0.8048,0.8652
113.0,0.0285,0.7931,0.8216
114.0,0.0523,0.7745,0.8268
115.0,0.1197,0.7487,0.8684000000000001
116.0,0.0724,0.7772,0.8496
117.0,0.091,0.7813,0.8723
118.0,0.0569,0.6865,0.7434
119.0,0.0823,0.7342,0.8165
120.0,0.0231,0.7128,0.7359
121.0,0.1153,0.7272,0.8424999999999999
122.0,0.1132,0.6952,0.8084
123.0,0.0433,0.7249,0.7682
124.0,0.071,0.7722,0.8432
125.0,0.3354,0.7206,1.056
126.0,0.0558,0.7491,0.8049
127.0,0.0555,0.7509,0.8064
128.0,0.0927,0.713,0.8057
129.0,0.031,0.6729,0.7039000000000001
130.0,0.0601,0.6893,0.7494000000000001
131.0,0.1187,0.6958,0.8145
132.0,0.0823,0.701,0.7833
133.0,0.0601,0.679,0.7391000000000001
134.0,0.0606,0.6716,0.7322
135.0,0.0591,0.6804,0.7395
136.0,0.0725,0.6275,0.7
137.0,0.0861,0.6348,0.7209
138.0,0.0566,0.6844,0.741
139.0,0.0884,0.6074,0.6958000000000001
