step,mloss,gloss,loss
1.0,1.1172,1.1611,2.2782999999999998
2.0,0.8157,15.8751,16.6908
3.0,0.6455,1.3481,1.9936
4.0,0.7062,1.1181,1.8243
5.0,0.7393,1.0545,1.7938
6.0,0.664,1.0571,1.7210999999999999
7.0,0.6479,1.0517,1.6996000000000002
8.0,0.5799,1.0734,1.6532999999999998
9.0,0.5385,1.0653,1.6038
10.0,0.4471,1.0478,1.4949000000000001
11.0,0.4575,1.0339,1.4914
12.0,0.536,1.0063,1.5423
13.0,0.474,0.982,1.456
14.0,0.4086,1.0281,1.4367
15.0,0.4993,1.0309,1.5302
16.0,0.3979,1.0321,1.43
17.0,0.4315,1.0083,1.4398
18.0,0.4983,0.9922,1.4905
19.0,0.4419,1.0081,1.45
20.0,0.5336,1.0271,1.5606999999999998
21.0,0.4038,1.0159,1.4197
22.0,0.4209,1.0109,1.4318
23.0,0.3915,1.0307,1.4222
24.0,0.5737,0.998,1.5716999999999999
25.0,0.4565,1.0308,1.4872999999999998
26.0,0.3867,1.0094,1.3961000000000001
27.0,0.4048,1.0207,1.4255
28.0,0.4867,1.0152,1.5019
29.0,0.44,0.9976,1.4376
30.0,0.499,1.0064,1.5053999999999998
31.0,0.3908,1.0045,1.3953
32.0,0.3595,1.0115,1.371
33.0,0.478,1.0169,1.4949
34.0,0.4549,1.0148,1.4697
35.0,0.465,0.971,1.436
36.0,0.5022,1.0101,1.5123
37.0,0.4511,1.0126,1.4637
38.0,0.444,1.0116,1.4556
39.0,0.5068,1.0345,1.5413000000000001
40.0,0.5227,1.0146,1.5373
41.0,0.4439,1.0012,1.4451
42.0,0.4985,1.0296,1.5281
43.0,0.4002,0.9921,1.3923
44.0,0.4496,1.0237,1.4733
45.0,0.4442,1.0333,1.4775
46.0,0.431,0.9858,1.4168
47.0,0.4925,1.0103,1.5028
48.0,0.477,1.0078,1.4848
49.0,0.4532,1.0021,1.4553
50.0,0.3937,1.0293,1.423
51.0,0.4306,1.005,1.4356
52.0,0.4513,0.9896,1.4409
53.0,0.4682,0.9879,1.4561
54.0,0.4521,1.0013,1.4534
55.0,0.4269,1.0263,1.4532
56.0,0.4771,1.0059,1.483
57.0,0.4416,0.9874,1.429
58.0,0.4485,1.0017,1.4502000000000002
59.0,0.4654,0.9864,1.4518
60.0,0.5176,1.0333,1.5509
61.0,0.4527,0.9838,1.4365
62.0,0.3969,0.9906,1.3875
63.0,0.4093,1.0047,1.414
64.0,0.4472,1.0125,1.4597
65.0,0.409,1.0007,1.4097
66.0,0.5576,1.0146,1.5722
67.0,0.4551,0.9796,1.4347
68.0,0.4963,0.998,1.4943
69.0,0.4491,0.9827,1.4318
70.0,0.4698,1.0014,1.4712
71.0,0.4153,1.0142,1.4295
72.0,0.388,0.9986,1.3866
73.0,0.3719,0.9788,1.3507
74.0,0.4198,0.9866,1.4064
75.0,0.4547,0.9843,1.439
76.0,0.5104,1.0023,1.5127
77.0,0.4791,0.9944,1.4735
78.0,0.4067,1.0351,1.4418
79.0,0.48,1.0045,1.4845
80.0,0.5175,1.035,1.5524999999999998
81.0,0.4709,1.0488,1.5196999999999998
82.0,0.4814,0.9979,1.4793
83.0,0.4239,1.0146,1.4385
84.0,0.4063,1.0263,1.4325999999999999
85.0,0.4369,1.0108,1.4477
86.0,0.4643,0.9794,1.4437
87.0,0.4977,0.9965,1.4942
88.0,0.4305,1.0068,1.4373
89.0,0.4309,1.0043,1.4352
90.0,0.4754,0.9899,1.4653
91.0,0.4011,1.0211,1.4222
92.0,0.4625,0.966,1.4285
93.0,0.4421,1.0041,1.4462
94.0,0.4044,1.0156,1.42
95.0,0.3866,0.9941,1.3807
96.0,0.4355,0.9966,1.4321000000000002
97.0,0.5035,0.9732,1.4767
98.0,0.457,1.0189,1.4759
99.0,0.4054,0.9857,1.3911
100.0,0.4361,1.0019,1.438
101.0,0.4129,1.0095,1.4224
102.0,0.4184,1.0186,1.4369999999999998
103.0,0.4492,0.9768,1.426
104.0,0.4538,0.9873,1.4411
105.0,0.4181,0.998,1.4161000000000001
106.0,0.4843,1.0224,1.5067
107.0,0.4037,1.0021,1.4058
108.0,0.4662,1.0231,1.4892999999999998
109.0,0.4561,1.0022,1.4583
