epoch,beta,lr,train_total_loss,train_recon_loss,train_mse_loss,train_ce_loss,train_kl_loss,train_contrast_loss,train_separation_loss,train_acc,train_proto_dist,train_intra_var_class_0,train_intra_var_class_1,train_intra_var_total,train_intra_var_weighted,val_total_loss,val_recon_loss,val_mse_loss,val_ce_loss,val_kl_loss,val_contrast_loss,val_separation_loss,val_acc,val_proto_dist,val_intra_var_class_0,val_intra_var_class_1,val_intra_var_total,val_intra_var_weighted
0,0.01,0.003,3.980769769107975,1.744930485744322,1.744930485744322,0.0,0.74419547372,7.4279906645794505,0.0,0.0,2.322468332819888,41.557534588500374,38.515292844520914,40.036413716510644,41.54401345528065,8.79289174079895,1.0384948253631592,1.0384948253631592,0.0,0.7286801338195801,7.025716781616211,0.0,0.0,2.0550036430358887,29.626623153686523,30.590255737304688,30.108439445495605,29.63314299525363
1,0.01,0.003,3.059748014561099,0.8745275220868483,0.8745275220868483,0.0,0.56932515923456,7.199097653027771,0.09898935927015408,0.0,1.901010640729846,34.83166803127479,32.197877426366524,33.51477272882066,34.81662184760826,8.257493674755096,0.6564629077911377,0.6564629077911377,0.0,0.7698784470558167,6.7746806144714355,0.05647170543670654,0.0,1.9435282945632935,55.68529510498047,45.74039840698242,50.712846755981445,55.61800892975721
2,0.01,0.003,2.656690003634806,0.5469543653815261,0.5469543653815261,0.0,0.6500812665005322,7.010782567678684,0.0,0.0,2.2762594114112904,53.8939645907114,42.29204289379832,48.09300374225486,53.83687695408888,7.85612079501152,0.3931306302547455,0.3931306302547455,0.0,0.784270167350769,6.678719997406006,0.0,0.0,2.571789503097534,71.29259490966797,56.53828048706055,63.91543769836426,71.19276869571257
3,0.01,0.003,2.4233864796314126,0.33558666793990777,0.33558666793990777,0.0,0.6583176021848512,6.937388846905977,0.0,0.0,2.9539717856227683,61.862972502483146,46.98716931204919,54.42507090726617,61.79243748146322,7.730507165193558,0.3360196650028229,0.3360196650028229,0.0,0.7296916246414185,6.664795875549316,0.0,0.0,3.219114303588867,69.70677947998047,56.18891525268555,62.94784736633301,69.61531896423422
4,0.01,0.003,2.4014608398861688,0.31478380938324346,0.31478380938324346,0.0,0.6246821334548109,6.934767090163384,0.0,0.0,3.6266289856999574,57.69381352212777,43.20265626421923,50.4482348931735,57.62698936412615,7.750660479068756,0.422099769115448,0.422099769115448,0.0,0.6619895696640015,6.666571140289307,0.0,0.0,3.9403231143951416,64.01680755615234,51.74923324584961,57.88302040100098,63.933806376786286
5,0.01,0.003,2.3968762808759667,0.31025917619210064,0.31025917619210064,0.0,0.5725613616832832,6.936304701678406,0.0,0.0,4.373275184531773,51.3649437241441,37.43519236903936,44.400068046591734,51.29994331206519,7.472939342260361,0.2297990620136261,0.2297990620136261,0.0,0.5797362923622131,6.6634039878845215,0.0,0.0,4.690875053405762,51.08864974975586,40.72926712036133,45.908958435058594,51.018559204225454
6,0.01,0.003,2.2816871693102567,0.19880315518292083,0.19880315518292083,0.0,0.5155262608062626,6.9257619903094465,0.0,0.0,5.021227932324829,43.02641743675158,30.504915897605375,36.76566666717848,42.96938884877499,7.411690726876259,0.24472291767597198,0.24472291767597198,0.0,0.5187382102012634,6.648229598999023,0.0,0.0,5.226278781890869,40.64068603515625,32.82285690307617,36.73177146911621,40.58779138608941
7,0.01,0.003,2.2916529060997064,0.21366628721702569,0.21366628721702569,0.0,0.46694973359310854,6.911056993151421,0.0,0.0,5.3863770730873215,33.89978124827139,24.536564035597372,29.21817264193438,33.85762418141038,7.250803351402283,0.14414283633232117,0.14414283633232117,0.0,0.4715692102909088,6.635091304779053,0.0,0.0,5.486572742462158,33.31198501586914,28.366168975830078,30.83907699584961,33.2785221197931
8,0.01,0.003,2.226884325189772,0.15093895892535572,0.15093895892535572,0.0,0.4256605263930704,6.905628562191391,0.0,0.0,5.579703020072425,28.493854376330635,20.894915164777238,24.694384770553935,28.459613735325433,7.177524074912071,0.11020694673061371,0.11020694673061371,0.0,0.42359840869903564,6.643718719482422,0.0,0.0,5.6771392822265625,28.857677459716797,21.529935836791992,25.193806648254395,28.808098693661826
9,0.01,0.003,2.1963878982342804,0.11950971100783728,0.11950971100783728,0.0,0.38910012211260675,6.9099571773944275,0.0,0.0,5.785543064634223,26.640102528866077,17.948040398378904,22.29407146362249,26.59921726873045,7.122825413942337,0.09554114937782288,0.09554114937782288,0.0,0.3873802423477173,6.639904022216797,0.0,0.0,5.867165565490723,25.61840057373047,17.756071090698242,21.687235832214355,25.565204839745135
