step,mloss,gloss,loss
1.0,0.7805,1.031,1.8114999999999999
2.0,0.0118,1.4545,1.4663
3.0,0.0232,4.2527,4.2759
4.0,0.0543,1.2046,1.2589
5.0,0.0118,1.1066,1.1184
6.0,0.0659,1.0533,1.1192
7.0,0.0676,1.0235,1.0911
8.0,0.1922,1.0075,1.1997
9.0,0.0689,1.0288,1.0977
10.0,0.0115,1.0231,1.0346
11.0,0.0505,1.0143,1.0648
12.0,0.0664,0.9938,1.0602
13.0,0.0209,0.9968,1.0177
14.0,0.0147,1.0117,1.0264
15.0,0.0289,1.0095,1.0384
16.0,0.046,1.0296,1.0756000000000001
17.0,0.0241,1.008,1.0321
18.0,0.0308,0.9728,1.0036
19.0,0.0102,0.9992,1.0094
20.0,0.0519,1.0196,1.0715000000000001
21.0,0.0342,0.9957,1.0299
22.0,0.0497,0.9777,1.0274
23.0,0.0243,0.9892,1.0135
24.0,0.0128,0.9876,1.0004
25.0,0.0603,0.9988,1.0591
26.0,0.008,1.003,1.011
27.0,0.0825,0.9912,1.0736999999999999
28.0,0.0893,1.0131,1.1023999999999998
29.0,0.0227,1.0115,1.0342
30.0,0.0244,0.9784,1.0028000000000001
31.0,0.028,0.9861,1.0141
32.0,0.0666,0.9722,1.0388
33.0,0.0269,0.996,1.0229
34.0,0.0272,1.0097,1.0369
35.0,0.0142,0.9731,0.9873
36.0,0.0228,0.9903,1.0131
37.0,0.0059,0.9913,0.9972
38.0,0.0453,0.9909,1.0362
39.0,0.0132,0.9974,1.0106
40.0,0.0077,0.9981,1.0058
41.0,0.0403,0.9754,1.0157
42.0,0.0159,0.9761,0.992
43.0,0.021,0.9781,0.9991
44.0,0.0062,0.9568,0.963
45.0,0.0281,0.9699,0.998
46.0,0.0198,0.9544,0.9742000000000001
47.0,0.1974,0.9598,1.1572
48.0,0.0188,0.9964,1.0151999999999999
49.0,0.0178,0.9931,1.0109
50.0,0.0029,0.9727,0.9756
51.0,0.0634,0.9575,1.0209
52.0,0.0126,1.0017,1.0143
53.0,0.0188,0.9566,0.9754
54.0,0.056,0.968,1.024
55.0,0.0115,0.9503,0.9618
56.0,0.0078,0.9686,0.9764
57.0,0.0223,0.9604,0.9827
58.0,0.0835,0.9504,1.0339
59.0,0.031,0.9831,1.0141
60.0,0.0372,0.9368,0.974
61.0,0.0514,0.9572,1.0086
62.0,0.0193,0.9211,0.9404
63.0,0.054,0.9083,0.9623
64.0,0.0319,0.9203,0.9522
65.0,0.0123,0.9447,0.957
66.0,0.0308,0.9437,0.9745
67.0,0.0403,0.9151,0.9554
68.0,0.0187,0.9068,0.9255000000000001
69.0,0.0196,0.8972,0.9168
70.0,0.0407,0.8911,0.9318
71.0,0.0734,0.9092,0.9826
72.0,0.0987,0.9013,1.0
73.0,0.047,0.8508,0.8978
74.0,0.2171,0.8726,1.0897000000000001
75.0,0.0508,0.9004,0.9511999999999999
76.0,0.0125,0.8915,0.9039999999999999
77.0,0.0352,0.8856,0.9208000000000001
78.0,0.015,0.8939,0.9089
79.0,0.03,0.869,0.899
80.0,0.0258,0.88,0.9058
81.0,0.002,0.8576,0.8596
82.0,0.0158,0.8367,0.8525
83.0,0.0263,0.8306,0.8569
84.0,0.0343,0.799,0.8333
85.0,0.0679,0.8256,0.8935
86.0,0.0175,0.8106,0.8281
87.0,0.0211,0.8015,0.8226
88.0,0.0406,0.8194,0.86
89.0,0.0114,0.7759,0.7873
90.0,0.022,0.7924,0.8144
91.0,0.0341,0.8559,0.89
92.0,0.0155,0.7955,0.8109999999999999
93.0,0.0886,0.8064,0.895
