epoch,beta,lr,train_total_loss,train_recon_loss,train_mse_loss,train_ce_loss,train_kl_loss,train_contrast_loss,train_separation_loss,train_acc,train_proto_dist,train_intra_var_class_0,train_intra_var_class_1,train_intra_var_total,train_intra_var_weighted,val_total_loss,val_recon_loss,val_mse_loss,val_ce_loss,val_kl_loss,val_contrast_loss,val_separation_loss,val_acc,val_proto_dist,val_intra_var_class_0,val_intra_var_class_1,val_intra_var_total,val_intra_var_weighted
0,0.01,0.003,4.7416487333824975,2.0624018457906113,2.0624018457906113,0.0,0.10788409249320785,8.29327225044109,0.9509328735058316,0.0,1.0490671264941684,55.50904413241688,53.306014263857065,54.40752919813697,55.478286010296095,9.861893117427826,1.6280776262283325,1.6280776262283325,0.0,0.15567082166671753,7.08582878112793,0.9923158884048462,0.0,1.0076841115951538,61.587223052978516,44.2048225402832,52.89602279663086,61.29081183838932
1,0.01,0.003,4.058559032931585,1.5106869337609157,1.5106869337609157,0.0,0.0868335901850728,7.873052414077843,0.9254402410140768,0.0,1.0745597589859233,50.01985673000781,37.73480864474805,43.87733268737793,49.81594831406432,9.240199141204357,1.323822259902954,1.323822259902954,0.0,0.11168139427900314,6.915788650512695,0.8889068365097046,0.0,1.1110931634902954,46.511695861816406,36.689796447753906,41.600746154785156,46.344209148300116
2,0.01,0.003,3.6839304886421873,1.2117180477947394,1.2117180477947394,0.0,0.08809862703209413,7.776220784800945,0.6923250731336513,0.0,1.3076749268663486,42.724300026053456,36.339165001741996,39.53173251389772,42.61395604714374,8.790369428694248,0.9959301948547363,0.9959301948547363,0.0,0.12198058515787125,7.062255382537842,0.6102032661437988,0.0,1.3897967338562012,50.235382080078125,44.038612365722656,47.13699722290039,50.12971243817681
3,0.01,0.003,3.3208163815794336,0.8994767610630333,0.8994767610630333,0.0,0.0999941571815709,7.93424318627756,0.20033339606474038,0.0,1.7996666039352596,45.31437978144571,38.32181829274774,41.81809903709672,45.2003196819866,7.9659619480371475,0.6947541236877441,0.6947541236877441,0.0,0.11976028978824615,7.0974931716918945,0.053954362869262695,0.0,1.9460456371307373,55.35099411010742,43.855186462402344,49.60309028625488,55.154963285420614
4,0.01,0.003,3.017513001565677,0.6437449731580336,0.6437449731580336,0.0,0.10419158885681856,7.9090867559083975,0.0,0.0,2.4911165911421334,52.00696464942847,42.330546792074394,47.16875572075143,51.847328293575565,7.629670336842537,0.5570511817932129,0.5570511817932129,0.0,0.12596245110034943,6.946656703948975,0.0,0.0,2.6610300540924072,70.88661193847656,53.877140045166016,62.38187599182129,70.59656004261012
5,0.01,0.003,2.8389771798048464,0.5072843703844627,0.5072843703844627,0.0,0.11300120267193425,7.768542350225366,0.0,0.0,3.2568086741394424,64.51023114353022,52.048192276403256,58.27921170996674,64.29886698293424,7.419764846563339,0.42444145679473877,0.42444145679473877,0.0,0.13521406054496765,6.860109329223633,0.0,0.0,3.427905559539795,85.54582977294922,68.62606048583984,77.08594512939453,85.25730751957586
6,0.01,0.003,2.707861744495572,0.3921004884145304,0.3921004884145304,0.0,0.12245542175836396,7.7151220873546675,0.0,0.0,4.048961750056407,75.94035603028618,65.7561411448105,70.84824858754834,75.76219746413663,7.329259008169174,0.34144341945648193,0.34144341945648193,0.0,0.1390955150127411,6.848720073699951,0.0,0.0,4.22682523727417,92.31695556640625,77.73318481445312,85.02507019042969,92.06826763640949
7,0.01,0.003,2.6258976477551044,0.31651985631291535,0.31651985631291535,0.0,0.1255444738867077,7.693740860409538,0.0,0.0,4.837767243416432,78.38824006441335,71.7408277471269,75.06453390577013,78.26418363590584,7.202174738049507,0.27324336767196655,0.27324336767196655,0.0,0.13490356504917145,6.794027805328369,0.0,0.0,4.9926371574401855,86.87374114990234,76.72135162353516,81.79754638671875,86.70061879500693
8,0.01,0.003,2.5468913256670844,0.25601259534787146,0.25601259534787146,0.0,0.12371937609689723,7.6321381360051275,0.0,0.0,5.480055999706072,73.12763455479801,71.77559903233707,72.45161679356754,73.08434112835603,7.096285715699196,0.2219805121421814,0.2219805121421814,0.0,0.13193173706531525,6.742373466491699,0.0,0.0,5.580506324768066,78.86807250976562,78.06389617919922,78.46598434448242,78.85435939328825
9,0.01,0.003,2.4843753844196197,0.20542711688531842,0.20542711688531842,0.0,0.12112045811629737,7.592456958524803,0.0,0.0,5.905671340994162,64.74294493896038,70.95822923421798,67.85058708658917,64.8235496813745,7.0239197909832,0.1590295433998108,0.1590295433998108,0.0,0.12535443902015686,6.739535808563232,0.0,0.0,5.9664764404296875,67.69625091552734,73.38851165771484,70.5423812866211,67.79331748116758
10,0.01,0.003,2.429995342136145,0.1507643150679594,0.1507643150679594,0.0,0.11664319504173952,7.593547940409796,0.0,0.0,6.330716842585648,56.44964395183025,66.8865411808708,61.66809256635052,56.599492439742,6.987952321767807,0.12311546504497528,0.12311546504497528,0.0,0.12002722918987274,6.744809627532959,0.0,0.0,6.4184675216674805,57.97502899169922,69.61636352539062,63.79569625854492,58.17354139544061
11,0.01,0.003,2.398160856468999,0.11908026456957353,0.11908026456957353,0.0,0.11291814550730181,7.593171056335696,0.0,0.0,6.84556088638007,48.36759184894846,63.738520746472545,56.0530562977105,48.5973481298022,6.939564652740955,0.09643452614545822,0.09643452614545822,0.0,0.1156468540430069,6.72748327255249,0.0,0.0,6.928873062133789,49.59488296508789,66.798828125,58.196855545043945,49.88825109205351
12,0.01,0.003,2.37494306619097,0.10110099638171184,0.10110099638171184,0.0,0.10973721996233687,7.575815495297107,0.0,0.0,7.306663469619771,42.08708391660065,61.69149219270974,51.88928805465519,42.38529395708618,6.938994079828262,0.1112302914261818,0.1112302914261818,0.0,0.11166977137327194,6.716094017028809,0.0,0.0,7.372572898864746,43.33256149291992,64.43458557128906,53.88357353210449,43.692401123976154
13,0.01,0.003,2.3686921724729206,0.09698252473634268,0.09698252473634268,0.0,0.10591003021234571,7.568834768950986,0.0,0.0,7.73269063142534,36.43228589433567,58.120867102614774,47.27657649847522,36.76693477545977,6.916535668075085,0.09018943458795547,0.09018943458795547,0.0,0.10645897686481476,6.7198872566223145,0.0,0.0,7.795864105224609,37.16106033325195,58.339866638183594,47.75046348571777,37.52220928364056
