step,mloss,gloss,loss
1.0,1.8266,1.032,2.8586
2.0,5.6786,116.3566,122.0352
3.0,1.6061,1.1668,2.7729
4.0,1.7252,1.0351,2.7603
5.0,1.4134,1.4269,2.8403
6.0,1.4169,1.0326,2.4495
7.0,1.2253,1.0449,2.2702
8.0,1.231,0.9998,2.2308000000000003
9.0,1.2797,1.0273,2.3070000000000004
10.0,1.2168,1.0257,2.2425
11.0,1.269,1.094,2.363
12.0,1.3059,1.0043,2.3102
13.0,1.2284,1.014,2.2424
14.0,1.2179,1.0356,2.2535
15.0,1.2354,1.0243,2.2597
16.0,1.1625,1.0179,2.1804
17.0,1.3008,1.0143,2.3151
18.0,1.1966,1.0032,2.1998
19.0,1.2485,0.9991,2.2476
20.0,1.173,0.992,2.165
21.0,1.1718,0.991,2.1628
22.0,1.2091,0.9876,2.1967
23.0,1.2105,1.0118,2.2222999999999997
24.0,1.2176,0.993,2.2106
25.0,1.1837,1.0102,2.1939
26.0,1.1787,1.0011,2.1798
27.0,1.1531,1.0105,2.1635999999999997
28.0,1.1278,0.9951,2.1229
29.0,1.1278,0.9838,2.1116
30.0,1.1863,1.0109,2.1971999999999996
31.0,1.2105,1.0209,2.2314
32.0,1.2112,1.0082,2.2194000000000003
33.0,1.1956,0.9976,2.1932
34.0,1.1703,1.0051,2.1754
35.0,1.2129,1.0062,2.2191
36.0,1.1393,0.9976,2.1369
37.0,1.2215,1.0048,2.2263
38.0,1.1955,1.0125,2.208
39.0,1.1793,0.99,2.1693
40.0,1.1579,0.9905,2.1484
41.0,1.2714,1.0014,2.2728
42.0,1.146,0.9974,2.1433999999999997
43.0,1.1806,0.995,2.1756
44.0,1.2757,0.9911,2.2668
45.0,1.1769,0.9923,2.1692
46.0,1.1417,1.0158,2.1574999999999998
47.0,1.1868,0.9999,2.1867
48.0,1.156,1.0045,2.1605
49.0,1.1529,1.0013,2.1542000000000003
50.0,1.2441,1.0029,2.247
51.0,1.1675,1.0021,2.1696
52.0,1.2134,0.9916,2.205
53.0,1.1956,1.0031,2.1987
54.0,1.2682,0.998,2.2662
55.0,1.2599,1.0048,2.2647
56.0,1.1842,1.003,2.1872
57.0,1.1772,0.9981,2.1753
58.0,1.216,1.0012,2.2172
59.0,1.3323,1.0098,2.3421000000000003
60.0,1.1561,1.0122,2.1683
61.0,1.2475,1.0036,2.2511
62.0,1.2118,1.0032,2.215
63.0,1.1944,0.9988,2.1932
64.0,1.1322,1.0079,2.1401000000000003
65.0,1.2127,1.0101,2.2228
66.0,1.22,0.993,2.213
67.0,1.2154,1.0164,2.2318
68.0,1.1116,0.9999,2.1115
69.0,1.1608,1.0155,2.1763000000000003
70.0,1.3005,1.0119,2.3124000000000002
71.0,1.1839,1.0003,2.1841999999999997
72.0,1.1458,0.9958,2.1416
73.0,1.1585,1.0027,2.1612
74.0,1.1763,1.003,2.1792999999999996
75.0,1.1251,1.008,2.1330999999999998
76.0,1.255,1.0084,2.2634
77.0,1.1914,0.9978,2.1892
78.0,1.2199,1.009,2.2289
79.0,1.1777,1.0186,2.1963
80.0,1.1499,0.9997,2.1496
81.0,1.1617,1.0303,2.192
82.0,1.1766,1.0003,2.1769
83.0,1.2071,0.9911,2.1982
84.0,1.1449,0.9983,2.1432
85.0,1.119,0.9858,2.1048
86.0,1.2482,1.0006,2.2488
87.0,1.2075,1.002,2.2095000000000002
88.0,1.2268,0.9964,2.2232
89.0,1.1406,1.0011,2.1417
90.0,1.3068,0.9977,2.3045
91.0,1.2018,0.9983,2.2001
92.0,1.3294,0.9961,2.3255
93.0,1.1293,1.0024,2.1317
94.0,1.2102,0.9918,2.202
95.0,1.193,0.998,2.191
96.0,1.1996,0.9961,2.1957
97.0,1.2615,0.9929,2.2544
98.0,1.2495,1.0054,2.2549
99.0,1.208,0.9896,2.1976
100.0,1.3391,0.9838,2.3228999999999997
101.0,1.2079,1.0046,2.2125
102.0,1.1873,1.0236,2.2109
103.0,1.2472,1.0097,2.2569
104.0,1.2141,1.0036,2.2177
105.0,1.0596,0.9965,2.0561000000000003
106.0,1.1182,0.9857,2.1039000000000003
107.0,1.1972,1.0119,2.2091000000000003
108.0,1.2992,1.0013,2.3005
109.0,1.1419,0.9965,2.1384
110.0,1.1543,0.9979,2.1522
111.0,1.181,0.9893,2.1703
112.0,1.2312,0.9873,2.2185
113.0,1.2775,1.0218,2.2993
114.0,1.1834,0.9989,2.1823
115.0,1.2416,0.9912,2.2328
116.0,1.1937,1.0047,2.1984
117.0,1.2129,0.9928,2.2057
118.0,1.1904,0.9916,2.182
119.0,1.1435,1.0034,2.1469
120.0,1.1884,1.0266,2.215
121.0,1.2603,1.0205,2.2808
122.0,1.2264,1.0062,2.2325999999999997
123.0,1.2141,1.0181,2.2321999999999997
124.0,1.2297,0.9833,2.213
125.0,1.2171,1.0014,2.2185
126.0,1.2398,0.9909,2.2307
127.0,1.1155,0.9943,2.1098
128.0,1.1939,0.9961,2.19
129.0,1.1634,1.0162,2.1795999999999998
130.0,1.1763,0.9735,2.1498
131.0,1.1395,0.9921,2.1315999999999997
132.0,1.1619,0.9914,2.1532999999999998
133.0,1.2014,0.9996,2.201
134.0,1.1853,1.0036,2.1889000000000003
135.0,1.329,0.9944,2.3234
136.0,1.1713,0.9928,2.1641
137.0,1.231,1.0044,2.2354000000000003
138.0,1.2278,0.9982,2.226
139.0,1.155,1.0071,2.1621
140.0,1.2172,1.0148,2.232
141.0,1.1759,1.0132,2.1891
142.0,1.1681,0.9896,2.1577
143.0,1.1974,1.0015,2.1989
144.0,1.2442,1.0098,2.254
145.0,1.1652,0.9808,2.146
146.0,1.176,0.9982,2.1742
147.0,1.1901,0.9958,2.1859
148.0,1.1848,0.9923,2.1771000000000003
149.0,1.1604,0.9982,2.1586
150.0,1.2193,1.001,2.2203
151.0,1.1901,0.9956,2.1856999999999998
152.0,1.2785,0.9847,2.2632
153.0,1.2131,0.9971,2.2102
154.0,1.2069,1.0079,2.2148000000000003
155.0,1.2583,0.986,2.2443
156.0,1.2323,0.9968,2.2291
157.0,1.2193,0.9916,2.2109
158.0,1.1514,1.0024,2.1538
159.0,1.1944,0.9829,2.1773
160.0,1.2104,0.9904,2.2008
161.0,1.2273,0.9924,2.2197
162.0,1.1415,0.9969,2.1384
163.0,1.1761,1.0124,2.1885
164.0,1.1716,0.9796,2.1512000000000002
165.0,1.1638,0.9939,2.1577
166.0,1.2807,0.9924,2.2731
167.0,1.1626,0.9898,2.1524
168.0,1.1145,1.011,2.1254999999999997
169.0,1.1325,1.0041,2.1366
170.0,1.1609,1.0123,2.1732
171.0,1.1158,1.0112,2.127
172.0,1.2254,1.0013,2.2267
173.0,1.1752,1.0013,2.1765
174.0,1.1499,1.0061,2.1559999999999997
175.0,1.1803,0.9801,2.1604
176.0,1.17,0.9798,2.1498
177.0,1.1907,1.0071,2.1978
178.0,1.2158,0.9956,2.2114000000000003
179.0,1.1542,1.0171,2.1712999999999996
180.0,1.2088,0.9983,2.2071
181.0,1.2285,1.0197,2.2481999999999998
182.0,1.1667,1.0017,2.1684
183.0,1.2008,0.9932,2.194
184.0,1.1398,1.0005,2.1403
185.0,1.1589,1.0077,2.1666
186.0,1.183,1.0148,2.1978
187.0,1.1992,0.9971,2.1963
188.0,1.1563,0.9987,2.1550000000000002
189.0,1.2122,1.0036,2.2157999999999998
190.0,1.1271,0.9999,2.127
191.0,1.1615,1.005,2.1665
192.0,1.1515,0.9903,2.1418
193.0,1.1136,1.0009,2.1144999999999996
194.0,1.1303,0.9928,2.1231
195.0,1.2281,0.9754,2.2035
196.0,1.1767,1.011,2.1877
197.0,1.2664,1.0026,2.269
198.0,1.2059,1.0112,2.2171000000000003
199.0,1.1106,0.9759,2.0865
200.0,1.2034,0.9824,2.1858
201.0,1.1117,0.9988,2.1105
202.0,1.2164,1.004,2.2203999999999997
203.0,1.1342,1.0001,2.1343
204.0,1.036,0.9881,2.0241
205.0,1.0967,1.0086,2.1052999999999997
206.0,1.1488,0.9929,2.1417
207.0,1.1255,0.9957,2.1212
208.0,1.1405,1.0101,2.1506
209.0,1.1335,1.0094,2.1429
210.0,1.1237,0.9908,2.1145
211.0,1.1055,0.9816,2.0871
212.0,1.1428,0.9852,2.128
213.0,1.1215,1.0093,2.1308
