Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
27.0,3398.75,16.0,0.0,0.0,0.0,0.2,0.2,361.76373,0.0,Nov,2,1,1,2,Returning_Visitor,False,True
2.0,31.47849,1.0,35.57476,38.0,2143.4944,0.0,0.0029408452,27.774841,0.0,May,1,1,1,2,New_Visitor,False,True
5.0,417.50806,0.0,0.0,12.0,328.99008,0.0076064053,0.033336803,0.0,0.0,Nov,2,5,1,1,Returning_Visitor,True,True
4.0,69.006714,0.0,0.0,21.0,1882.1455,0.0,0.012030711,30.988457,0.0,Nov,2,10,5,2,Returning_Visitor,False,True
16.672455,669.3691,4.0,98.6738,160.68399,4977.3687,0.0,0.013333333,6.273407,0.0,Nov,2,4,1,2,Returning_Visitor,True,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
1.0,34.43813,0.0,0.0,50.0,2486.3896,0.009973099,0.019413276,16.342896,0.0,Dec,2,4,4,1,Returning_Visitor,False,True
4.0,139.75696,0.0,0.0,94.686104,2946.2048,0.0055085868,0.0110937245,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,77.53742,4983.867,0.003124098,0.018031886,10.591496,0.0,May,2,2,1,4,Returning_Visitor,False,True
3.0,136.28175,0.0,0.0,42.399887,1645.9675,0.0,0.0035563004,1.5092012,0.0,May,1,1,2,1,New_Visitor,True,True
0.0,0.0,0.0,0.0,11.0,413.2489,0.0,0.01959028,41.784027,0.6,May,2,2,1,2,New_Visitor,False,True
0.0,0.0,0.0,0.0,30.0,609.25464,0.010638071,0.029382575,0.0,0.0,Nov,2,2,3,2,Returning_Visitor,True,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,3,Returning_Visitor,False,True
2.0,14.564929,3.0,51.493237,28.0,2565.598,0.0146989245,0.04,18.467234,0.0,Nov,1,1,1,2,Returning_Visitor,False,True
6.0,237.99278,0.0,0.0,32.0,1158.3741,0.0,0.014285714,21.77534,0.0,Nov,1,1,1,2,Returning_Visitor,False,True
27.0,3398.75,0.0,2549.375,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,3,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
27.0,3398.75,16.0,2549.375,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,9,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
9.0,261.18024,2.0,11.658506,103.48207,3507.8706,0.0,0.0028326772,294.20914,0.0,Nov,4,2,2,2,New_Visitor,False,True
0.0,0.0,1.0,0.0,15.0,431.95328,0.0,0.016666668,27.487093,0.0,May,2,2,1,3,Returning_Visitor,False,True
2.0,135.05638,1.0,48.59688,46.233086,2486.073,0.0,0.0084521985,44.2245,0.0,Nov,2,2,6,2,Returning_Visitor,False,True
1.0,39.227325,0.0,0.0,8.0,179.7158,0.0,0.049739394,7.4128017,0.0,Aug,3,2,1,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,5.0569067,330.82617,0.0,0.021507964,87.66848,0.0,May,2,2,2,2,Returning_Visitor,False,True
1.0,105.07915,0.0,0.0,10.0,737.0161,0.0,0.020611115,48.1209,0.0,Dec,2,2,2,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,3.0,86.43537,0.0,0.099348634,0.0,0.0,Dec,1,1,1,8,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
6.9401054,307.27786,2.0,0.0,47.22662,1712.4662,0.004793449,0.019370422,25.453125,0.0,Nov,2,2,6,2,Returning_Visitor,False,True
0.0,3398.75,16.0,0.0,0.0,0.0,0.2,0.2,361.76373,0.0,Nov,2,1,1,20,Returning_Visitor,False,True
0.0,0.0,2.0,32.368595,22.0,929.44556,0.0,0.019882789,21.49257,0.0,Nov,2,5,1,2,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
3.0,163.85341,0.0,0.0,20.0,635.56024,0.0,0.009743893,73.19968,0.0,Sep,2,2,4,3,Returning_Visitor,False,True
27.0,3398.75,0.0,2549.375,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,3,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,14.0,732.1624,0.0,0.0,46.495766,0.0,Aug,1,1,1,3,Returning_Visitor,False,True
14.889425,313.9155,0.0,0.0,108.82973,3375.28,0.002684044,0.008789527,4.3998837,0.0,Nov,2,2,1,1,Returning_Visitor,False,True
0.0,0.0,2.0,47.003624,2.6671412,229.44095,0.0,0.0,41.10766,0.0,Aug,1,1,1,2,New_Visitor,False,True
5.0,90.276825,2.0,169.17444,87.79163,4539.4194,0.0013452321,0.022222223,12.656836,0.0,May,2,2,1,13,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
0.0,46.034203,0.0,0.0,20.0,1293.8751,0.0,0.018181818,26.420588,0.6,May,2,2,8,4,Returning_Visitor,False,True
6.0,176.8146,0.0,0.0,19.0,394.8061,0.0,0.015384615,57.20385,0.0,Nov,2,2,1,2,Returning_Visitor,True,True
5.0,148.02924,2.0,33.242207,26.741964,594.6319,0.0125,0.025723595,16.935135,0.0,May,1,1,1,4,Returning_Visitor,False,True
4.0,91.9547,0.0,0.0,31.0,1421.0227,0.0,0.009058929,10.693823,0.0,May,2,2,2,1,Returning_Visitor,False,True
6.0,204.63837,0.0,0.0,80.57214,4823.3403,0.004886787,0.014887309,8.296624,0.0,Nov,3,2,1,2,Returning_Visitor,False,True
0.0,439.2509,16.0,0.0,0.0,0.0,0.2,0.0,361.76373,0.0,May,2,5,1,5,New_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,3,Returning_Visitor,False,True
13.0,1021.1759,4.0,721.45197,68.57899,1785.4153,0.005767497,0.0058248118,2.4170468,0.0,Nov,2,2,4,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,19.0,545.6333,0.0,0.009275796,44.39856,0.0,Mar,1,2,1,2,Returning_Visitor,False,True
3.0,126.78826,1.0,31.63404,30.415073,1691.367,0.0,0.01728535,18.461336,0.0,Sep,2,2,7,4,Returning_Visitor,False,True
6.0,86.00619,0.0,74.41357,109.434265,5138.471,0.0060830754,0.01731824,3.4678304,0.0,Dec,2,2,3,1,Returning_Visitor,False,True
4.0,174.97282,0.0,0.0,40.0,4762.272,0.007015708,0.017912963,13.93876,0.0,Nov,2,2,2,1,Returning_Visitor,False,True
1.0,0.0,0.0,0.0,1.8466448,0.0,0.2,0.2,0.0,0.0,Nov,3,2,1,8,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,True
