Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,6.0,163.97623,0.0,0.027830377,0.0,0.0,Mar,4,1,6,3,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,2.0,17.145329,0.0,0.1196102,0.0,0.0,Nov,2,2,4,2,Returning_Visitor,False,True
5.0,61.19198,0.0,0.0,75.346634,4186.041,0.004699153,0.01646967,6.8128896,0.0,Dec,2,2,3,2,Returning_Visitor,False,True
2.0,136.57774,0.0,0.0,20.0,593.5635,0.0,0.011452482,46.853848,0.0,May,2,2,5,1,New_Visitor,True,True
4.0,78.24969,0.0,0.0,49.319885,1417.3859,0.0,0.013333333,27.2396,0.0,Nov,3,2,1,3,Returning_Visitor,False,True
1.0,22.334866,0.0,0.0,15.0,1359.4803,0.0,0.021322452,0.0,0.0,Nov,2,6,1,2,Returning_Visitor,False,True
1.0,27.476479,1.0,479.7452,26.0,1379.3798,0.0,0.00575316,25.002247,0.7682061,May,2,2,1,2,New_Visitor,False,True
10.905369,264.59366,0.0,0.0,48.48539,1160.7268,0.0,0.01102359,94.91063,0.8,May,2,2,3,4,Returning_Visitor,False,True
0.0,0.0,1.0,44.5317,10.0,2248.1904,0.018334966,0.03333333,54.246494,0.0,Mar,2,2,3,2,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,81.22002,2180.7292,0.0054271547,0.021410411,8.814822,0.0,Aug,2,4,3,4,Returning_Visitor,False,True
10.729175,122.7686,1.0,54.28832,66.77252,1731.6152,0.0037836242,0.0124285845,14.496892,0.0,Nov,2,2,3,13,Returning_Visitor,False,True
4.0,29.172264,0.0,0.0,8.0,131.46281,0.0,0.0032916411,22.602806,0.0,Aug,2,2,6,3,Returning_Visitor,False,True
6.0,288.6414,0.0,39.893856,26.023912,1723.8342,0.0,0.01,12.523246,0.0,Dec,1,1,8,3,Returning_Visitor,True,True
5.0,48.186214,5.0,124.999016,238.67398,6362.546,0.0,0.008768536,20.71999,0.0,June,2,2,1,2,Returning_Visitor,True,True
2.0,142.83305,0.0,0.0,14.890851,586.4742,0.006004766,0.0148478085,57.553276,0.0,Nov,1,1,7,2,Returning_Visitor,False,True
1.0,0.0,0.0,0.0,38.49211,1421.3662,0.0047026468,0.028571429,82.77382,0.0,Nov,2,5,1,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,24.0,2570.8076,0.0,0.005509423,39.086727,0.0,May,2,4,1,4,Returning_Visitor,True,True
8.525961,168.5686,4.0,174.9611,50.0,953.7769,0.0,0.012071838,6.303958,0.0,Nov,1,1,3,2,New_Visitor,True,True
