step,mloss,gloss,loss
1.0,0.6977,1.0261,1.7238
2.0,0.4572,1.973,2.4302
3.0,0.1422,4.1525,4.2947
4.0,0.3679,1.2403,1.6082
5.0,0.1204,1.0708,1.1912
6.0,0.2466,1.0299,1.2765
7.0,0.3645,1.0438,1.4083
8.0,0.1538,1.0245,1.1783
9.0,0.153,1.0062,1.1592
10.0,0.1378,0.997,1.1348
11.0,0.1859,1.0236,1.2095
12.0,0.1765,1.0065,1.1829999999999998
13.0,0.1046,1.0147,1.1193
14.0,0.0907,1.0194,1.1101
15.0,0.1218,1.0251,1.1468999999999998
16.0,0.1758,0.9997,1.1755
17.0,0.1725,0.9987,1.1712
18.0,0.1225,0.9979,1.1204
19.0,0.138,1.0131,1.1511
20.0,0.1164,0.9967,1.1131
21.0,0.1745,1.0003,1.1747999999999998
22.0,0.1724,1.0083,1.1806999999999999
23.0,0.1733,1.0098,1.1831
24.0,0.0844,1.0067,1.0911
25.0,0.087,1.0051,1.0921
26.0,0.2122,0.9783,1.1905
27.0,0.2162,1.004,1.2202
28.0,0.1201,0.9866,1.1067
29.0,0.1335,0.9573,1.0908
30.0,0.0935,1.0022,1.0957
31.0,0.193,0.9892,1.1822
32.0,0.1199,1.0001,1.12
33.0,0.1131,0.9579,1.071
34.0,0.15,1.0081,1.1581
35.0,0.1291,1.0024,1.1315
36.0,0.1836,0.9873,1.1709
37.0,0.1635,0.9749,1.1384
38.0,0.1381,0.9825,1.1206
39.0,0.3208,0.9779,1.2987
40.0,0.1781,1.0097,1.1878
41.0,0.1347,0.9775,1.1122
42.0,0.1017,0.9838,1.0855
43.0,0.1138,0.9623,1.0761
44.0,0.17,0.9805,1.1505
45.0,0.1853,0.9552,1.1405
46.0,0.1088,0.9446,1.0534
47.0,0.0991,0.975,1.0741
48.0,0.1098,0.9542,1.064
49.0,0.1225,0.9451,1.0676
50.0,0.1116,0.9893,1.1009
51.0,0.1808,0.9662,1.147
52.0,0.1967,0.9433,1.1400000000000001
53.0,0.0994,0.9528,1.0522
54.0,0.124,0.9326,1.0566
55.0,0.2756,0.94,1.2156
56.0,0.1318,0.9364,1.0682
57.0,0.0864,0.9375,1.0239
58.0,0.1984,0.9178,1.1161999999999999
59.0,0.1561,0.9384,1.0945
60.0,0.1446,0.9219,1.0665
61.0,0.1153,0.9344,1.0497
62.0,0.1343,0.9039,1.0382
63.0,0.1122,0.8883,1.0005
64.0,0.097,0.9226,1.0196
65.0,0.1227,0.9017,1.0244
66.0,0.1288,0.911,1.0398
67.0,0.1234,0.9195,1.0429
68.0,0.1266,0.8893,1.0159
69.0,0.1013,0.872,0.9733
70.0,0.1051,0.9173,1.0224
71.0,0.0785,0.8977,0.9762000000000001
72.0,0.1729,0.9086,1.0815
73.0,0.1137,0.826,0.9397
74.0,0.122,0.8443,0.9663
75.0,0.1041,0.8228,0.9269
76.0,0.1061,0.8645,0.9706
77.0,0.0979,0.8637,0.9616
78.0,0.1209,0.8183,0.9392
79.0,0.1243,0.8137,0.938
80.0,0.2017,0.824,1.0257
81.0,0.1142,0.806,0.9202
82.0,0.1096,0.7928,0.9024
83.0,0.0789,0.798,0.8769
84.0,0.1351,0.7794,0.9145
85.0,0.1109,0.7884,0.8993
86.0,0.0909,0.7605,0.8513999999999999
87.0,0.2441,0.8035,1.0476
88.0,0.1461,0.9336,1.0796999999999999
89.0,0.1343,0.8711,1.0054
90.0,0.0987,0.7638,0.8625
91.0,0.1105,0.8167,0.9272
92.0,0.1142,0.7878,0.9019999999999999
93.0,0.154,0.7463,0.9003
94.0,0.1263,0.7793,0.9056
95.0,0.124,0.7584,0.8824
96.0,0.1438,0.8068,0.9506
97.0,0.1543,0.7721,0.9264
98.0,0.101,0.8171,0.9181
99.0,0.1031,0.7867,0.8897999999999999
100.0,0.129,0.7423,0.8713
101.0,0.2033,0.8324,1.0357
102.0,0.1431,0.7871,0.9302
103.0,0.0952,0.7334,0.8286
104.0,0.223,0.752,0.975
105.0,0.1134,0.7981,0.9115
106.0,0.1022,0.7542,0.8563999999999999
107.0,0.0886,0.7319,0.8205
108.0,0.0863,0.7147,0.801
109.0,0.3001,0.7326,1.0327
110.0,0.1199,0.7213,0.8412000000000001
111.0,0.1603,0.735,0.8953
112.0,0.1886,0.7047,0.8933
113.0,0.1009,0.7241,0.825
114.0,0.1202,0.7236,0.8438
115.0,0.0705,0.7264,0.7969
116.0,0.0695,0.6695,0.739
117.0,0.1427,0.6999,0.8426
118.0,0.1151,0.6881,0.8032
119.0,0.1155,0.6504,0.7659
120.0,0.1349,0.6581,0.793
121.0,0.157,0.6546,0.8116
122.0,0.0689,0.6604,0.7293
123.0,0.0874,0.6282,0.7156
124.0,0.0889,0.6918,0.7807
125.0,0.1017,0.6834,0.7851
126.0,0.1085,0.6406,0.7491
127.0,0.1216,0.6517,0.7733
128.0,0.1094,0.6474,0.7567999999999999
129.0,0.1282,0.6492,0.7774
130.0,0.157,0.6293,0.7863
131.0,0.0709,0.6377,0.7086
132.0,0.077,0.6403,0.7172999999999999
133.0,0.1298,0.6225,0.7523000000000001
134.0,0.1228,0.6359,0.7587
135.0,0.1227,0.6738,0.7965
136.0,0.1826,0.6155,0.7981
137.0,0.1698,0.633,0.8028
138.0,0.1392,0.664,0.8032
139.0,0.1089,0.7169,0.8258
140.0,0.086,0.6627,0.7486999999999999
141.0,0.1108,0.6419,0.7527
142.0,0.1319,0.6699,0.8018000000000001
143.0,0.0828,0.6647,0.7474999999999999
144.0,0.1214,0.6726,0.7939999999999999
145.0,0.1048,0.6907,0.7955
146.0,0.1361,0.6503,0.7864
147.0,0.1094,0.6579,0.7673000000000001
148.0,0.2035,0.6319,0.8354
149.0,0.137,0.6287,0.7657
150.0,0.0917,0.632,0.7237
151.0,0.1476,0.6271,0.7746999999999999
152.0,0.08,0.5985,0.6785
153.0,0.0662,0.621,0.6872
154.0,0.0947,0.5916,0.6863
155.0,0.1419,0.6199,0.7618
156.0,0.4205,0.6018,1.0223
157.0,0.0765,0.6407,0.7172000000000001
158.0,0.1607,0.6298,0.7905
159.0,0.1464,0.6177,0.7641
160.0,0.1665,0.5728,0.7393
161.0,0.093,0.631,0.724
162.0,0.1018,0.625,0.7268
163.0,0.0588,0.647,0.7058
164.0,0.1312,0.6913,0.8225
165.0,0.1128,0.6196,0.7324
166.0,0.1354,0.5885,0.7239
167.0,0.1769,0.6372,0.8141
168.0,0.1137,0.6402,0.7539
169.0,0.1898,0.6361,0.8259
170.0,0.0798,0.5958,0.6756
171.0,0.1505,0.5782,0.7287
